;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
717;NZZ_1993_04_01_a35_seg5_s6;Auf zwei Herren , die am Nebentisch fleissig darüber schwatzen , wie ein paar Millionen am besten zu verschieben wären , gibt es keine adäquate Reaktion , keinen Hass , keine Verachtung .;ADJD;schwatzen;10;Full|3|Pl|Pres|Ind;VVFIN;8
6583;NZZ_1993_04_02_a65_seg2_s1;Langjährige Solothurn-Besucher erinnern sich : Vor vielen Jahren hat einer einmal besonders raffiniert das wohlige Wir-Gefühl gesprengt , das an den Filmtagen von jeher fleissig gedeiht .;ADJD;gedeihen;26;Full|3|Sg|Pres|Ind;VVFIN;25
13781;NZZ_1993_04_03_a74_seg13_s10;Deshalb zogen August Reichensperger , Zentrumspolitiker und Neugotiker , und der Kulturhistoriker Janssen mit Pamphleten gegen Lübke zu Felde : Jeden kleinsten Fehler , der Lübke in seinem umfangreichen Schrifttum unterlaufen war , suchten sie fleissig auf , um ihn vor seinen Lesern blosszustellen .;ADJD;suchen;34;Full|3|Pl|Past|Ind;VVFIN;36
41527;NZZ_1993_04_10_a54_seg3_s4;Trotzdem überzeugt das Konzept der Darstellung kaum , denn die streng chronologische Anordnung des fleissig zusammengetragenen Materials erweist sich bald als Korsett , in dem vertiefende Themen wie die Schallplattenaufnahmen oder das gesellschaftliche und kulturelle Umfeld nicht adäquat als Komplex erläutert , sondern nur wiederholt gestreift werden können .;ADJD;zusammengetragen;16;Pos|Gen|Sg|Neut;ADJA;15
43021;NZZ_1993_04_10_a91_seg5_s14;Ihnen waren die für sich selbst in Anspruch genommenen charakteristischen Tugenden eigen , sie waren fleissig , genügsam und frei von grösseren Klassenunterschieden - die Sklaverei stand nicht zur Diskussion .;ADJD;und;19;Coord|-2;KON;16
55389;NZZ_1993_04_13_a187_seg2_s12;Die paar Erwachsenen , die stolz ihre mit Münzen gelöcherten Trophäen herumzeigen , geben denn auch fleissig Tips ab , welcher Dreh und welche schwungvolle Handbewegung zum Erfolg führen könnten .;ADJD;geben;14;Full|3|Pl|Pres|Ind;VVFIN;17
60417;NZZ_1993_04_15_a29_seg10_s13;Gerichtsakten bewegen sich schneller an die Oberfläche eines überladenen Schreibtisches und zum Richter , wenn beim zuständigen Sekretär fleissig hofiert und geschmiert wird .;ADJD;hofieren;20;Full|Psp;VVPP;19
97809;NZZ_1993_04_23_a71_seg2_s1;Gegenwärtig wird im Hinblick auf die gegen die Armee gerichteten Initiativen vom 6. Juni wieder fleissig mit sogenannten Umfrageergebnissen gearbeitet .;ADJD;arbeiten;20;Full|Psp;VVPP;16
205876;NZZ_1993_08_19_a116_seg2_s42;Malta will , das betonte der Tourismusminister in einem Gespräch mit Presseleuten , vom Image einer « Sea and Sun Destination » wegkommen , und der Slogan von « mehr Qualität statt Quantität » wird fleissig repetiert .;ADJD;repetieren;37;Full|Psp;VVPP;36
207817;NZZ_1993_08_20_a37_seg2_s5;So möge also die Handelskammer den Messeleitungen , die fleissig Einladungen zu den Veranstaltungen auch an Drittländer verschicken , empfehlen , gleichzeitig Antragsformulare zur Beschaffung von Arbeitsbewilligungen beizulegen , damit die Leute nicht mit entsprechendem Eintrag im Reisepass gleich wieder an die Grenze gestellt werden .;ADJD;verschicken;18;Full|3|Pl|Pres|Ind;VVFIN;10
