;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
34;NZZ_1993_04_01_a3_seg6_s5;Die Massnahme war schon länger angedroht worden für den Fall , dass der Hongkonger Gouverneur Chris Patten seine von Peking seit Monaten vehement bekämpften Demokratisierungsvorschläge für die Kolonie nicht zurückzieht .;ADJD;bekämpft;24;Pos|Acc|Pl|Masc;ADJA;23
5714;NZZ_1993_04_02_a20_seg6_s1;Der 45jährige Präsidialminister Lacayo , der in der Regierung Chamorro eine Schlüsselstellung einnimmt und gleichzeitig zu den erfolgreichsten Unternehmern des Landes gehört , weist die zunehmenden Kritiken am schleppenden Demokratisierungsprozess vehement zurück .;ADJD;weisen;24;Full|3|Sg|Pres|Ind;VVFIN;31
7494;NZZ_1993_04_02_a90_seg45_s8;Mehr noch : dank diesem vehement verteidigten Grüngürtel ist die Zersiedelung im Kanton Genf weniger ausgeprägt als in der deutschsprachigen Schweiz .;ADJD;verteidigt;7;Pos|Gen|Pl|Masc;ADJA;6
24690;NZZ_1993_04_06_a44_seg4_s6;Viele Ärzte wehren sich mehr oder weniger vehement gegen solche Eingriffe .;ADJD;wehren;3;Full|3|Pl|Pres|Ind;VVFIN;8
28469;NZZ_1993_04_06_a172_seg2_s26;Noch nicht lange ist es her , da sprach er als Regierungsratskandidat von einer Konzentration auf staatliche Grundaufgaben , sprach sogar wohlwollend von Privatisierung - um am Montag mit einem kunstvollen Linksumkehrt vehement gegen die Privatisierung des Staatskellers anzutreten .;ADJD;antreten;39;Full|zu;VVIZU;33
29131;NZZ_1993_04_07_a24_seg4_s10;Diese Faktion , die stark unter dem Einfluss des ehemaligen LDP-Generalsekretärs Ozawa steht , tritt ( zumindest verbal ) besonders vehement für politische Reformen ein und hat sogar schon mit der Bildung einer neuen Partei gedroht , falls die demnächst im Parlament zur Diskussion stehenden Reformen in bezug auf Wahlrecht und Parteienfinanzierung nicht weit genug gehen sollten .;ADJD;treten;15;Full|3|Sg|Pres|Ind;VVFIN;21
33779;NZZ_1993_04_08_a26_seg8_s7;Der blinde Geistliche dementierte am Mittwoch an einer Pressekonferenz vehement , irgend etwas mit dem Attentat in New York zu tun zu haben , das er verurteilte .;ADJD;dementieren;4;Full|3|Sg|Past|Ind;VVFIN;10
41032;NZZ_1993_04_10_a32_seg8_s7;Ein solches Majorzsystem wird von den Oppositionsparteien - vor allem von den kleineren - vehement abgelehnt , weil es die stärkste Partei begünstigen und die Herrschaft der LDP festigen würde .;ADJD;ablehnen;16;Full|Psp;VVPP;15
48241;NZZ_1993_04_10_a202_seg11_s3;Balladur sprach sich deshalb auch am Donnerstag wieder vehement für die Aufrechterhaltung einer fixen D-Mark-Franc-Wechselkursrelation und gegen eine Abwertung der französischen Valuta aus .;ADJD;sprechen;2;Full|3|Sg|Past|Ind;VVFIN;9
56763;NZZ_1993_04_14_a47_seg7_s4;Während indessen Lothringen die auf anderthalb Stunden halbierten Reisezeiten von Metz und Nancy nach Paris einstweilen genügen , hat das Elsass ( das Unterelsass zumindest ) gegen die Beschränkung auf die Etappe bis vor die Vogesen ( die Fortsetzung blieb unerwähnt ) vehement protestiert .;ADJD;protestieren;44;Full|Psp;VVPP;43
60205;NZZ_1993_04_15_a15_seg3_s9;Peking ist aber den Briten insofern entgegengekommen , als es nun die zuvor vehement abgelehnte Anwesenheit von Delegierten aus Hongkong bei den Gesprächen duldet - allerdings werden diese Teilnehmer lediglich den britischen Delegationsführer , den Botschafter in Peking , Sir Robin McLaren , in den Verhandlungen « unterstützen » .;ADJD;abgelehnt;15;Pos|Acc|Sg|Fem;ADJA;14
75752;NZZ_1993_04_17_a161_seg1_s11;Auch die Belegschaft lehnt eine allfällige Fusion ihrer Gesellschaft vehement ab und droht mit Kampfmassnahmen .;ADJD;lehnen;4;Full|3|Sg|Pres|Ind;VVFIN;10
77254;NZZ_1993_04_19_a31_seg2_s9;Wenn man sich in diesen riesigen « Zettelkasten » eingelesen hat , entfalten sich Wesen und Wirken des ebenso vielseitigen wie in manchen Lebenslagen vehement untüchtigen Gould in bemerkenswerter Transparenz - durchsichtiger zumindest , als es in der zuletzt erschienenen Biographie von Otto Friedrich der Fall ist .;ADJD;--;26;Pos|Dat|Sg|Masc;ADJA;25
77888;NZZ_1993_04_19_a56_seg4_s4;"Es gelte , diesen ersten von weiteren geplanten Schritten zur Abschaffung der Armee auf Raten vehement zu stoppen ; eine Denkzettelparole einzulegen , wie beim ersten Radikalversuch zur Abschaffung der Armee 1989 noch in grosser Zahl beobachtet , wäre jetzt angesichts der verdüsterten strategischen Wetterlage und der zahlreichen neuen Konfliktherde zutiefst verantwortungslos , warnte Däniker .";ADJD;stoppen;18;Full|-2;VVINF;16
90857;NZZ_1993_04_22_a9_seg7_s5;Gegen diese Beurteilung wehrten sich lediglich drei griechische Abgeordnete vehement .;ADJD;wehren;4;Full|3|Pl|Past|Ind;VVFIN;10
100921;NZZ_1993_04_23_a187_seg9_s5;Während die Autoren jegliche Art von Arbeitszeitverkürzung , etwa über Frühpensionierung oder längere Ausbildung , vehement ablehnen , wird die Arbeitsteilung als wirksame Lösung hervorgehoben .;ADJD;ablehnen;17;Full|3|Pl|Pres|Ind;VVFIN;16
110486;NZZ_1993_04_26_a6_seg3_s6;Die Regierung hat diese Forderung zwar vehement und sogar mit einem Anflug von beissendem Spott zurückgewiesen , sah sich jedoch zugleich gezwungen , eine Alternative anzubieten , zumal - und dies ist ein weiterer Faktor - die Fernsehberichte vom Kriegsschauplatz die britische Öffentlichkeit täglich stärker aufwühlten .;ADJD;und;8;Coord|-2;KON;7
117594;NZZ_1993_04_26_a260_seg6_s2;So wurde er in den achtziger Jahren als « Vertreter des Apartheidregimes » denunziert , wenn er vehement gegen Sanktionen eintrat .;ADJD;eintreten;21;Full|3|Sg|Past|Ind;VVFIN;18
117597;NZZ_1993_04_26_a260_seg6_s5;Heute müsse er in Europa einen genauso gravierenden Mangel an Interesse - an Afrika generell wie an Südafrika im besonderen - konstatieren , und zwar gerade auch bei jenen Kreisen , die damals so vehement eine sofortige Herrschaft durch die schwarze Mehrheit forderten .;ADJD;fordern;43;Full|3|Pl|Past|Ind;VVFIN;35
137339;NZZ_1993_03_31_a132_seg8_s2;Bereits während des Wahlkampfes hatte sich Balladur vehement für einen starken Franc und die Aufrechterhaltung einer stabilen DM-Franc-Relation ausgesprochen .;ADJD;aussprechen;19;Full|Psp;VVPP;8
138325;NZZ_1993_03_31_a181_seg2_s6;Eine Beteiligung an Vergewaltigungen stritt er jedoch vehement ab .;ADJD;streiten;5;Full|3|Sg|Past|Ind;VVFIN;8
138743;NZZ_1993_08_02_a12_seg8_s3;Doch derartige Argumente werden die Abgeordneten , denen es lediglich um die Bekämpfung der Reformer geht , genausowenig anfechten wie die Tatsache , dass die Reformer den Rubelumtausch von allem Anfang an vehement bekämpft haben .;ADJD;an;32;An;APPR;33
140110;NZZ_1993_08_02_a62_seg3_s3;Nachdem sich Dublin als Kandidat kurzfristig zurückgezogen hatte und die Vertreter von Hickstead sowie Rom gar nicht erschienen waren , stiegen die Schweizer « Aktien » nicht zuletzt auch noch durch ein Votum von David Broome , der sich vehement für St. Gallen einsetzte .;ADJD;einsetzen;44;Full|3|Sg|Past|Ind;VVFIN;40
143797;NZZ_1993_08_03_a19_seg10_s9;So dürfte Ankara Schwierigkeiten haben , zu begründen , warum es die Souveränität Nordzyperns befürwortet , die Unabhängigkeit der Armenier in Nagorni Karabach aber vehement ablehnt .;ADJD;ablehnen;26;Full|3|Sg|Pres|Ind;VVFIN;25
143951;NZZ_1993_08_03_a25_seg2_s19;Der Verfasser geisselt nicht nur die Heilsvisionen der Utopisten , er tadelt auch reaktionäre Vergangenheitssehnsüchte , insbesondere der Deutschen , und geht mit allen gegenaufklärerischen Strömungen vehement ins Gericht .;ADJD;gehen;22;Full|3|Sg|Pres|Ind;VVFIN;27
160916;NZZ_1993_08_06_a138_seg4_s2;Im Mittelpunkt der Diskussion steht nun die Frage , wie der neugewonnene Handlungsspielraum am besten zu nutzen sei , um die weiterhin rezessive Konjunktur des Landes wieder in Schwung zu bringen , ohne den Franc zusätzlich zu schwächen und ohne Frankreichs europapolitische Vorstellungen - vor allem die von Paris vehement verteidigte Europäische Währungsunion - über den Haufen zu werfen .;ADJD;verteidigen;51;Full|3|Sg|Past|Ind;ADJA;50
163830;NZZ_1993_08_07_a73_seg15_s4;Wenn er sich also vehement etwa gegen Lavaters Gesichtslektüre wandte , hiess das nicht , dass er an der physiognomischen Lesbarkeit des menschlichen Gesichts überhaupt gezweifelt hätte .;ADJD;wenden;10;Full|3|Sg|Past|Ind;VVFIN;5
169702;NZZ_1993_08_09_a46_seg4_s5;"Franz Hotz , der Titelhalter , wehrte sich zwar vehement ; eingangs der Schlussrunde fehlten ihm bloss noch 40 Sekunden zu den Führenden .";ADJD;wehren;7;Full|3|Sg|Past|Ind;VVFIN;10
177622;NZZ_1993_08_11_a27_seg2_s3;Eine Jugend im abgelegenen Lavanttal Kärntens , die frühe Erfahrung von böser Armut und körperlicher Behinderung , eine aufkeimende reiche Innenwelt , die vehement zur Gestaltung im Wort drängte , gleichzeitig die Schwermut , der Hader mit Gott , immer wieder Krankheiten , die den schwachen Körper anfielen , eine Ehe aus Mitleid mit dem dreissig Jahre älteren Landschaftsmaler Josef Habernig , schliesslich das Verstummen .;ADJD;drängen;29;Full|3|Sg|Past|Ind;VVFIN;24
180756;NZZ_1993_08_11_a138_seg5_s3;Doch als sich plötzlich die französischen Gerichte infolge einer Strafklage der linksextremen französischen Gewerkschaft CGT , welche gegen Bransons Ansinnen vehement Sturm läuft , mit der Affäre zu beschäftigen begannen , zog der Virgin-Vorsitzende seine Drohung zurück .;ADJD;laufen;23;Full|3|Sg|Pres|Ind;VVFIN;21
181216;NZZ_1993_08_12_a1_seg4_s1;Am Mittwoch hat die Pekinger « Volkszeitung » , das Sprachrohr der chinesischen KP , zum zweitenmal in vier Tagen die amerikanische Regierung vehement angegriffen und des Hegemoniestrebens bezichtigt .;ADJD;angreifen;25;Full|Psp;VVPP;24
185037;NZZ_1993_08_13_a47_seg4_s5;Umwelt- und Landschaftsschützer wehren sich jedoch vehement gegen eine solche Beschneidung ihrer Rechte - so vertrat vor kurzem die Präsidentin der Schweizerischen Stiftung für Landschaftsschutz und -pflege , die Zürcher FDP-Nationalrätin Lili Nabholz-Haidegger , in einem NZZ-Artikel die Überzeugung , dass die Organisationen nicht nur massvollen Gebrauch von dieser Möglichkeit machten , sondern dass eine Einschränkung auch staatspolitisch fragwürdig wäre ( vgl. NZZ Nr. 160 ) .;ADJD;wehren;4;Full|3|Pl|Pres|Ind;VVFIN;7
