;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
10193;NZZ_1993_04_02_a187_seg12_s4;"Die Bilanzsumme wurde über das Umlaufvermögen reduziert ; der - auch gemäss Hahnloser nicht genügende - Eigenkapitalanteil verminderte sich damit nur geringfügig .";ADJD;vermindern;18;Full|3|Sg|Past|Ind;VVFIN;22
17741;NZZ_1993_04_03_a174_seg28_s2;"Das Monatsmittel der Temperatur ist im März nur wenig von der Norm abgewichen ; in den Niederungen der Alpennordseite lag es um einen halben , im Süden um einen ganzen Grad zu hoch , in den Bergen dagegen geringfügig zu tief .";ADJD;tief;41;Pos;ADJD;39
23212;NZZ_1993_04_05_a173_seg6_s4;"Für 1992 schätzt Flemings das wahre Ausmass des Fehlbetrages der öffentlichen Hand Deutschlands auf 6% des Bruttoinlandproduktes - unter Einbeziehung aller Schattenhaushalte und einschliesslich einer den Konjunkturzyklus berücksichtigenden rechnerischen Korrektur - , was nur geringfügig unter der auf gleiche Weise berechneten Defizitquote Italiens liegt ( 8% ) ; die USA weisen dagegen ein zyklisch angepasstes Defizitverhältnis von lediglich 1% auf .";ADJD;unter;36;Unter;APPR;35
27688;NZZ_1993_04_06_a145_seg6_s13;Schwächere Kautschukpreise ( -10% im Zug einer nachlassenden Nachfrage der Autoindustrie in Japan und Europa ) haben dem nur geringfügig entgegenwirken können .;ADJD;entgegenwirken;21;Full|-2;VVINF;20
38949;NZZ_1993_04_08_a183_seg5_s7;Nur geringfügig mehr Spielraum nach unten sahen die professionellen Marktbeobachter bei den Geldmarktsätzen , die nach der Versteifung zum Quartalsultimo im dreimonatigen Laufzeitenbereich wieder etwas nachgaben und sich der 5%-Marke anschmiegten .;ADJD;mehren;3;Indef|Attr|-3|*4|*5|*6;PIAT;2
38961;NZZ_1993_04_08_a183_seg7_s8;"Zu nahezu identischen Konditionen wurden die Titel des Staates Finnland und der Stadt Stockholm lanciert ; die Notes der Stadt Stockholm profitierten vom Umstand , dass der Markt für 5jährige Laufzeiten ausgetrocknet war , und stiess deshalb auf mehr Interesse als die später emittierten Finnland- « Zwillingspapiere » , die zudem mit dem Nachteil eines geringfügig schlechteren Ratings fertig werden mussten .";ADJD;schlecht;57;Comp|Gen|Sg|Neut;ADJA;56
47860;NZZ_1993_04_10_a181_seg2_s4;Damit wurde die vorläufige Berechnung auf Basis der Ergebnisse aus vier Bundesländern von 3% bzw. 4% geringfügig korrigiert .;ADJD;korrigieren;18;Full|Psp;VVPP;17
48289;NZZ_1993_04_10_a205_seg3_s1;Die SociétéA Généralee , die seit der letzten Privatisierungswelle von 1987 unter den drei führenden Grossbanken am Finanzplatz Paris die einzige in privater Hand ist , hat das für die meisten hiesigen Banken äusserst schwierige Jahr 1992 verhältnismässig gut zu meistern vermocht und einen im Vergleich mit dem Vorjahr bloss geringfügig reduzierten Reingewinn von 27 ( i. V. 36 ) Mrd. fFr. erwirtschaftet .;ADJD;reduziert;52;Pos|Acc|Sg|Masc;ADJA;51
54754;NZZ_1993_04_13_a149_seg2_s4;Die gemessene Radioaktivität von 35 Milliröntgen pro Stunde liege jedoch nur geringfügig über der natürlichen Strahlung .;ADJD;liegen;9;Full|3|Sg|Pres|Subj;VVFIN;12
55785;NZZ_1993_04_14_a11_seg4_s5;Die Volksrechte erweisen sich bei geschicktem Umgang als nicht so geringfügig , wie der blosse Anschein vermuten liesse .;ADJD;erweisen;3;Full|3|Pl|Pres|Ind;VVFIN;11
