;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
1045;NZZ_1993_04_01_a50_seg3_s2;"ist für die Verlängerung ; am besten würde man die diesbezüglichen Bestimmungen gänzlich abschaffen .";ADJD;abschaffen;14;Full|-2;VVINF;13
1129;NZZ_1993_04_01_a55_seg10_s5;Eine Entschädigung kann um so weniger gänzlich verweigert werden , als der Kanton mit dem Sondierstollen in die hydrogeologische Situation eingegriffen hatte , um die allfälligen Kosten eines Strassentunnelbaus zu senken .;ADJD;um;4;Acc;APPR;7
6513;NZZ_1993_04_02_a59_seg3_s10;Die Sopranistin Roberta Alexander hatte bei Mahler ihrerseits grosse Momente , und obwohl sie insgesamt nicht ( mehr ) über die engelhafte Leichtigkeit der Stimme verfügt , um dieser Musik voll gerecht zu werden , war man froh , ihrer Kunst nach einer stilistisch gänzlich verunglückten Bach-Kantate in einem für sie günstigeren Umfeld ein zweites Mal zu begegnen .;ADJD;verunglückt;46;Pos|Dat|Sg|Fem;ADJA;45
7170;NZZ_1993_04_02_a86_seg4_s4;Wie er in seinem Gastreferat an der Generalversammlung des Redressement national weiter ausführte , haben zwar wichtige EG-Staaten dereguliert und hemmende Steuern im Finanzbereich gänzlich beseitigt , nicht aber die Schweiz .;ADJD;beseitigen;26;Full|Psp;VVPP;25
7243;NZZ_1993_04_02_a90_seg3_s2;An zwei Grenzstrassen , in Cassinone di Monteggio im Malcantone und in San Pietro di Stabio im Mendrisiotto , stellt das Zollbüro den Betrieb gar gänzlich ein .;ADJD;stellen;20;Full|3|Sg|Pres|Ind;VVFIN;26
20749;NZZ_1993_04_05_a99_seg3_s20;Deshalb erstatten Buchmacher und Wettbüros den Rekordbetrag von 75 Millionen Pfund gänzlich zurück , womit dem Staat 6 Millionen Pfund an Steuereinnahmen verlorengehen .;ADJD;erstatten;2;Full|1|Pl|Pres|Ind;VVFIN;12
23272;NZZ_1993_04_05_a177_seg3_s2;Die DEI soll zwar nicht gänzlich privatisiert werden .;ADJD;privatisieren;7;Full|Psp;VVPP;6
23911;NZZ_1993_04_06_a3_seg4_s3;Die Verluste im fast gänzlich lahmgelegten Wohnungsbau belaufen sich nach Berechnung der Bauunternehmervereinigung im ganzen Land auf etwa eine Million Dollar täglich , und die finanziellen Einbussen bei der Gemüse- und Blumenernte konnten noch gar nicht genau beziffert werden .;ADJD;lahmgelegt;6;Pos|Dat|Sg|Masc;ADJA;5
34154;NZZ_1993_04_08_a45_seg3_s14;In ihrer Monographie erzählt Jacqueline Duchêne das Leben dieses Aussenseiters anschaulich , lebhaft und unter gänzlich unpedantischer Auswertung aller vorhandenen Dokumente .;ADJD;--;17;Pos|Dat|Sg|Fem;ADJA;16
50362;NZZ_1993_04_13_a55_seg4_s8;Der innere und äussere Verfall der Sowjetunion und des Kommunismus hat die Ost-West-Konfrontation vorläufig beendet und den politischen Osten wenn schon nicht gänzlich verschwinden lassen , so doch zumindest suspendiert .;ADJD;verschwinden;24;Full|-2;VVINF;23
50370;NZZ_1993_04_13_a55_seg4_s16;"Durch die Gewöhnung an die Zustände wäre aber seinerzeit sogar die schwedische Westintegration nicht unproblematisch , weil destabilisierend gewesen ; die Österreichs oder Finnlands aber war gänzlich ausgeschlossen , da sie nicht nur die Machtverhältnisse in Europa berührt , sondern vor allem die geostrategische Situation bedeutend verändert hätte .";ADJD;ausschließen;28;Full|Psp;VVPP;27
60678;NZZ_1993_04_15_a42_seg4_s2;Als erster Grossserienhersteller bringt diese Firma die Achsschenkellenkung , eine Anleihe aus dem Automobilbau , die gänzlich auf die Telegabel verzichtet .;ADJD;verzichten;21;Full|3|Sg|Pres|Ind;VVPP;17
63999;NZZ_1993_04_15_a142_seg13_s15;Dazu ist immerhin festzuhalten , dass die akademischen Verfechter dieser These vereinzelt selbst Verwaltungsratspräsidien oder -mandate in mehreren an der Materie direkt interessierten Publikumsgesellschaften bekleiden und von daher in ihrer Meinungsfindung wohl nicht als gänzlich unabhängig gelten können .;ADJD;unabhängig;36;Pos;ADJD;35
65826;NZZ_1993_04_16_a39_seg9_s3;Bescheiden und zugleich gänzlich verwundert über seine plötzliche Popularität äusserte er sich anlässlich einer ihm aufgezwungenen Pressekonferenz in Brüssel : « Ich bin froh darüber , dass meine Musik Menschen geholfen hat , ihre musikalischen Grenzen zu erweitern .;ADJD;verwundert;5;Pos;ADJD;4
71588;; , wobei nur die laufenden Beitragsleistungen und die Finanzzuweisungen an die Gemeinden im Rahmen des Finanzausgleichs die Budgetlimiten übertrafen , während beim Sach- und Personalaufwand die budgetierten Beträge nicht gänzlich ausgeschöpft werden mussten .;ADJD;ausschöpfen;31;Full|Psp;VVPP;30
72262;NZZ_1993_04_17_a77_seg8_s7;"Karl Schlögel hat in seiner Einleitung « Wiedergelesen am Ende des 20. Jahrhunderts : T. G. Masaryks &lt;Russland und Europa&gt; » genau dies verdeutlicht : Die « Nichtvertrautheit der Europäer mit sich selbst » in Ost und West kann durch die reflektierte Kenntnisnahme dieses Werkes wenn nicht gänzlich abgebaut , so doch vermindert werden .";ADJD;abbauen;49;Full|Psp;VVPP;48
82129;NZZ_1993_04_20_a37_seg2_s5;Heideggers « metaphysische » Kant-Interpretation , seine « Grundlegung der Metaphysik in der Anthropologie » , kommt zu einem gänzlich anderen Ergebnis - das kaum möglich gewesen wäre ohne Benno Erdmanns Kärrnerarbeit am Buchstaben , die Edition von Kants « Reflexionen zur kritischen Philosophie » aus dem Nachlass ( 1882/84 ) .;ADJD;ander;21;Pos|Dat|Sg|Neut;ADJA;20
91887;NZZ_1993_04_22_a64_seg2_s2;Die Moratoriumsinitiative ist ein wesentliches Element eines Gesamtkonzepts mit dem Ziel , die Armee gänzlich abzuschaffen .;ADJD;abschaffen;16;Full|zu;VVIZU;15
98770;NZZ_1993_04_23_a122_seg2_s10;Leider fehlten die Philatelisten aus der Westschweiz und aus dem Tessin gänzlich .;ADJD;und;8;Coord|-2;KON;12
108307;NZZ_1993_04_24_a132_seg7_s9;Die « Anmache » der Männer fehlt beinahe gänzlich , Frauen können unbesorgt in Kneipen verkehren und auf einsamen Strassen gehen .;ADJD;fehlen;7;Full|3|Sg|Pres|Ind;VVFIN;9
109423;NZZ_1993_04_24_a171_seg8_s5;- Ob das so gänzlich « an der Sache vorbei » geredet war ?;ADJD;reden;12;Full|Psp;VVPP;5
109901;NZZ_1993_04_24_a181_seg2_s9;Nach zweimonatiger Auffrische empfängt es den Besucher mit einer gänzlich neuen Raumerfahrung und Atmosphäre .;ADJD;neu;11;Pos|Dat|Sg|Fem;ADJA;10
113306;NZZ_1993_04_26_a115_seg9_s12;Aber seit dem US-Sparkassen-Debakel sind auch Banken und andere Kreditgeber vorsichtiger geworden und meiden diese Art des Immobilien-Investments gänzlich .;ADJD;meiden;14;Full|3|Pl|Pres|Ind;VVFIN;19
114632;NZZ_1993_04_26_a158_seg5_s11;Bei einer Arbeitslosigkeit von über vierzig Prozent auf dem Gebiet der ehemaligen DDR sei der Sportbetrieb , und somit auch die Leichtathletik von einstiger Weltgeltung , beinahe gänzlich zum Erliegen gekommen .;ADJD;kommen;31;Full|Psp;VVPP;28
125582;NZZ_1993_04_28_a134_seg11_s13;"Leistungen körperlicher und geistiger Art beeinträchtigt ; 7. das allgemeine seelische Wohlbefinden stört , weil die mitmenschlichen Umstände einer Belastung oftmals zu erheblichem Ärger führen ; 8. das allgemeine körperliche Wohlbefinden insbesondere durch das Vegetativum vermittelt , gefährdet oder gänzlich verhindert ( vgl. Schick 1993 ) .";ADJD;verhindern;41;Full|Psp;VVPP;40
133049;NZZ_1993_04_29_a206_seg6_s4;Zwar wäre es wünschenswert gewesen , die Vermischung von kommerziellen Banken und Anlagehäusern gänzlich zu verbieten , doch hätte dies die Bemühungen der Regierung zur Reprivatisierung beeinträchtigt .;ADJD;verbieten;16;Full|-2;VVINF;14
141283;NZZ_1993_08_02_a90_seg2_s2;Die zweite Goldmedaille im Teamwettbewerb ( die erste wurde vor zehn Jahren in Hickstead gewonnen ) sowie die erste im Einzel ( an den Olympischen Spielen hatte Alphons Gemuseus 1924 ebenfalls eine Goldmedaille erzielt ) sind glanzvoller Spiegel eines Potentials , das schon länger vorhanden war , aber erst in diesem Jahr gänzlich zur Geltung gekommen ist .;ADJD;kommen;56;Full|Psp;VVPP;53
143164;NZZ_1993_08_02_a150_seg2_s14;"Wenn Depp den Brötchentanz aus « The Gold Rush » kopiert , vermisst man unwillkürlich die versponnene Melancholie des Originals ; die Buster-Keaton-Performance im Park bleibt gänzlich an der Oberfläche haften , weil die stoisch-skeptizistische Weltsicht des Stummfilmkomikers als heimliche Legitimierung der Hut-Blödeleien fehlt .";ADJD;bleiben;26;Full|3|Sg|Pres|Ind;VVFIN;27
148461;NZZ_1993_08_04_a30_seg2_s3;Demgegenüber erfolgte am 30. Juli das Schweizer Début eines doppelt so alten russischen Baritons , der nach seinem letztjährigen Auftritt an den Salzburger Festspielen bereits zu den grossen Stars von heute zu zählen ist : Dmitri Hvorostovsky , im sibirischen Krasnoyarsk geboren und an der dortigen Musikhochschule ausgebildet , machte in den ausgewählten Liedern von Tschaikowsky und Rachmaninow zunächst einmal deutlich , wie ungekünstelt-unforciert sich hier eine gänzlich unverbrauchte Stimme das gängige russische Repertoire angeeignet hat .;ADJD;unverbraucht;69;Pos|Nom|Sg|Fem;ADJA;68
148719;NZZ_1993_08_04_a40_seg5_s6;Die Pest in der Mitte des 14. Jahrhunderts war eine gänzlich neue Krankheit , und das gleiche gilt für die Syphilis 150 Jahre später .;ADJD;neu;12;Pos|Nom|Sg|Fem;ADJA;11
151845;NZZ_1993_08_04_a127_seg10_s2;Bundesbankpräsident Schlesinger hatte am Montag vor der Presse angedeutet , dass die Währungsbehörde sich den durch die starke Verflüssigung ergebenden Zinsdämpfungs-Effekten nicht gänzlich entgegenstellen werde , obgleich die hohe Liquidität in den nächsten Wochen wieder kompensiert werden müsse .;ADJD;entgegenstellen;24;Full|-2;VVINF;23
152720;NZZ_1993_08_05_a34_seg2_s3;Und jetzt ist da die Mexikanerin Carmen Boullosa , deren Vorstellung von Literatur allerdings eine gänzlich andere ist als jene der schmalzigen Engländerin .;ADJD;ander;17;Pos|Acc|Sg|Fem;ADJA;16
157478;NZZ_1993_08_06_a21_seg6_s15;Er sagte , Libanon sei noch vom Bürgerkrieg her derart mit Waffen vollgestopft , dass die Gottespartei sich gänzlich lokal eindecken könne .;ADJD;eindecken;21;Full|-2;VVINF;19
161102;NZZ_1993_08_06_a151_seg4_s9;Während die Linksopposition ( Pasok , Linksallianz und Kommunisten ) die Teilprivatisierung als « Ausverkauf des nationalen Vermögens » hinstellt und diese gänzlich ablehnt , opponieren die vereinzelten Neodemokraten , von denen die Rede war , gegen die Übernahme des Managements durch den ausländischen Investor .;ADJD;ablehnen;24;Full|3|Sg|Pres|Ind;VVFIN;23
162545;NZZ_1993_08_07_a23_seg5_s2;"Die Idee , in einem ersten Stadium dem Gazastreifen und der Stadt Jericho eine beschränkte Autonomie zu gewähren , sei ungenügend ; Israel müsse sich gänzlich aus diesen Gebieten zurückziehen und auch die freie Passage zwischen dem Gazastreifen und der Stadt am Toten Meer zulassen .";ADJD;zurückziehen;30;Full|-2;VVINF;26
168586;NZZ_1993_08_09_a13_seg6_s5;Dem Treffen in Jerusalem vorangegangen war ein Versuch von Yasir Arafat , die Mitglieder der Verhandlungsdelegation gänzlich zu übergehen .;ADJD;übergehen;19;Full|-2;VVINF;17
169174;NZZ_1993_08_09_a35_seg5_s5;Der einfache , einschiffige Bau mit einer halbrunden Apsis und ohne Kirchturm hatte früher einmal eine rote , heute allerdings fast gänzlich abgeblätterte Aussenfassade .;ADJD;--;23;Pos|Acc|Sg|Fem;ADJA;22
177510;NZZ_1993_08_11_a19_seg8_s5;Nur wenige scheinen allerdings auf den Besuch von Prostituierten und Bordellen gänzlich verzichten oder , wenn sie dem Drang nicht standzuhalten vermögen , wenigstens Kondome benützen zu wollen .;ADJD;verzichten;13;Full|-2;VVINF;12
180356;NZZ_1993_08_11_a106_seg6_s6;Besonders Barclays , nach Bilanzsumme die grösste der vier Geschäftsbanken , hat aus dem damaligen Desaster Lehren gezogen und eine gänzlich neue Risikobewertungseinheit für den Gesamtkonzern etabliert .;ADJD;neu;22;Pos|Acc|Sg|Fem;ADJA;21
181833;NZZ_1993_08_12_a27_seg3_s6;Kommt dazu , dass der Arrangeur Quincy Jones ( oder sonst jemand ) auf die fatale Idee gekommen war , die unerhört transparenten kammermusikalischen Arrangements des Meisters Gil Evans auf einen riesigen Orchesterapparat zu übertragen , um dem hier gänzlich kontraindizierten Glamour des Montreux-Festivals Genüge zu tun .;ADJD;--;41;Pos|Dat|Sg|Masc;ADJA;40
192558;NZZ_1993_08_16_a24_seg10_s10;Akzente im Bereich der linken Hand vitalisieren auf gänzlich unakademische Art die Eröffnung der Es-Dur-Sonate KV 282 .;ADJD;unakademisch;10;Pos|Acc|Sg|Fem;ADJA;9
202900;NZZ_1993_08_18_a138_seg5_s5;Und die kantonalen Finanzen verschlechterten sich derart , dass auf die Ausrichtung finanzieller Mittel als Anreizinstrument fast gänzlich verzichtet werden muss .;ADJD;verzichten;19;Full|Psp;VVPP;18
211102;NZZ_1993_08_21_a59_seg2_s25;Wie weit kann im Zusammenspiel zwischen Kultur und Natur die Kultur zulasten der Natur überhandnehmen , ohne dass der Mensch gänzlich entwurzelt wird ?;ADJD;entwurzeln;22;Full|Psp;VVPP;21
218525;NZZ_1993_08_23_a195_seg2_s13;Lagrene hat sich gänzlich von der Zigeunertradition gelöst ( obwohl er in Dübendorf Reinhardts wunderschöne Ballade « Nuages » regelrecht sezierte ) , ist ein kompletter Gitarrist geworden , hat aber leider - vielleicht gerade wegen der vielen Möglichkeiten , die ihm offenstehen - ( noch ) keine persönliche Ausdrucksweise gefunden .;ADJD;lösen;8;Full|Psp;VVPP;4
222161;NZZ_1993_08_25_a35_seg2_s16;Das Lithuanian Young Composers ' Orchestra aus Vilnius , das am Jazzfestival Willisau ein gänzlich anderes Programm präsentieren wird , hat eine lebendige , direkt berührende Musik nach Luzern gebracht , für die es noch keine Etikette gibt , die sich in keiner Weise mit dem immer wieder überschätzten , auch hierzulande sattsam bekannten « Soviet Jazz » vergleichen lässt , die es aber verdient , entdeckt zu werden .;ADJD;ander;16;Pos|Acc|Sg|Neut;ADJA;15
227997;NZZ_1993_08_26_a129_seg10_s2;Er vermied es sogar gänzlich , vom Franc und erst recht vom « Franc fort » zu sprechen , wohl nicht zuletzt auch deshalb , weil er mit einem Mitte August während der Ferien gewährten Fernsehinterview , in welchem er sich gegen eine rasche Zinssenkung in Frankreich aussprach , zu einer Verunsicherung der Märkte und zu einer Schwächung der französischen Währung beigetragen hatte .;ADJD;vermeiden;2;Full|3|Sg|Past|Ind;VVFIN;5
236236;NZZ_1993_08_28_a135_seg2_s3;Käme ich von einem andern Planeten , würde ich es für eine gänzlich unbewohnte Mondlandschaft halten .;ADJD;unbewohnt;14;Pos|Acc|Sg|Fem;ADJA;13
242235;NZZ_1993_07_31_a13_seg6_s10;Bei einem von Zivilisten freien Schussfeld könnte man mit gelegentlichen Artillerieeinsätzen die Aktionen des Hizbullah doch nicht gänzlich verhindern , stünde aber wegen des Flüchtlingsproblems unter internationalem Druck .;ADJD;verhindern;19;Full|-2;VVINF;18
250523;NZZ_1993_12_01_a68_seg3_s15;Künstlich hochgehalten wird der Personalbedarf durch die verlangsamte Einführung der durchgehenden Zugsbegleitung im Fernverkehr ( beispielsweise Genf-Zürich ) und durch die gänzlich überflüssige , zum Teil bereits realisierte Aufstockung der « Bemannung » der Eurocity- , Intercity- und Schnellzüge .;ADJD;überflüssig;23;Pos|Acc|Sg|Fem;ADJA;22
266077;NZZ_1993_12_04_a17_seg4_s6;Drei Kabinettsmitglieder verweigerten dies gänzlich .;ADJD;verweigern;3;Full|3|Pl|Past|Ind;VVFIN;5
267728;NZZ_1993_12_04_a67_seg24_s6;"In der letzten Textsequenz beschleunigt sich zwar der Rhythmus ; jedoch entwickelt sich die Bewegung nicht als Fortschritt , sondern bleibt im Gegenteil als wiederkehrende Figur des Immergleichen stehen : « un cortège composé de ma grand-mere à l ' avant , de ma grand-mere au milieu et de ma grand-mere à l ' arrière marcha de plus en plus vite vers le boulanger » ; der Umzug der toten Grossmutter wird vom Kreis des Rades verschluckt und lässt lediglich eine Mehlwolke zurück , die sich metonymisch-metaphorisch in ein Gefühl - « eine Traurigkeit » - verwandelt , bevor sie gänzlich verschwindet : « Alors d ' un essaim de tristesses j ' en vis une se détacher , une jolie , et elle monta au nuage de fohn pour égayer son voyage et se dissoudre avec lui où tout est déjà oublié . »";ADJD;verschwinden;102;Full|3|Sg|Pres|Ind;VVFIN;101
272929;NZZ_1993_12_06_a15_seg8_s5;Am Sonntag erklärte Wohnungsbauminister Ben-Eliezer , wenn die Siedler so weitermachten , dann sei er dafür , die Armee gänzlich aus Cisjordanien abzuziehen und die Siedler ihrem Schicksal zu überlassen .;ADJD;abziehen;23;Full|zu;VVIZU;20
278496;NZZ_1993_12_07_a26_seg5_s6;Nach der veröffentlichten Position Syriens ist Asad im Grunde nur an einem einzigen Punkt interessiert , nämlich ob Israel sich gänzlich aus dem besetzten Golan zurückziehen will .;ADJD;zurückziehen;26;Full|-2;VVINF;21
279257;NZZ_1993_12_07_a62_seg2_s21;"Die ruhige Martine Chevallier mit ihrer humorvollen Souveränität ( Gina ) ; die junge Anne Kessler , deren Körper mühelos in den ungelenken Reiz einer 14jährigen zurückfindet ( Hedwig ) ; Alain Pralon , der sich als störrischer , aber harmloser Trinker in seine senilen Kinderspiele zurückzieht ( der alte Ekdal ) ; Jean-Baptiste Malartre , der durchscheinen lässt , dass er sich nicht gänzlich unwissend vor der Verantwortung drückt ( Hjalmar ) : sie führen vor , wie das Zusammenleben auf der Basis von gegenseitigem Respekt und kleinen Kompromissen im Gleichgewicht bleiben kann .";ADJD;unwissend;66;Pos;ADJD;65
288111;NZZ_1993_12_08_a196_seg3_s1;Es ist dem Regierungsrat hoch anzurechnen , dass er trotz angespannter finanzieller Lage des Kantons dessen Parlament beantragt hat , mit dem Opernhaus Zürich einen Subventionsvertrag abzuschliessen und die Stadt Zürich von ihrem entsprechenden Subventionsvertrag gänzlich zu entlasten .;ADJD;entlasten;38;Full|-2;VVINF;36
293961;NZZ_1993_12_10_a29_seg10_s1;Das Zedernland liess Christopher diesmal gänzlich beiseite .;ADJD;lassen;3;Full|3|Sg|Past|Ind;VVFIN;6
297094;NZZ_1993_12_10_a140_seg2_s10;Die Crew von Lawrie Smith büsste in dieser Zone am letzten Wochenende den komfortablen Vorsprung vor Tokio beinahe gänzlich ein und musste auf den letzten Meilen nochmals um die Führung bangen .;ADJD;büßen;6;Full|3|Sg|Past|Ind;VVFIN;19
299672;NZZ_1993_12_10_a213_seg2_s23;Eine Kritik , die in unserer Zeit keineswegs marginal ist , sei doch angebracht : Die preislosen Speisekarten für Damen sind an einem Ort , wo auch Geschäftsfrauen ihre männlichen Kunden einladen , gänzlich fehl am Platz .;ADJD;fehlen;35;Pos;PTKVZ;34
307330;NZZ_1993_12_13_a27_seg2_s16;Damit wirken sie irritierend und in ihrer oft so gänzlich andersartigen Stimmung immer wieder auch störend .;ADJD;andersartig;11;Pos|Gen|Sg|Fem;ADJA;10
328050;NZZ_1993_12_16_a200_seg2_s5;Entlastung dringend nötig hat auch die Stadt Zürich , deren Haushalt aus politischen und konjunkturellen Gründen gänzlich aus den Fugen geraten ist .;ADJD;geraten|raten;21;Full|Psp;VVPP;17
328756;NZZ_1993_12_17_a25_seg8_s8;In letzter Minute hat die Demokratische Partei bei den Verfassungsverhandlungen durchgesetzt , dass der Staatspräsident und das Kabinett bei der Auswahl der Mehrheit der Verfassungsrichter nicht gänzlich freie Hand haben , sondern an die Vorschläge der Justizkommission gebunden sind .;ADJD;frei;28;Pos|Acc|Sg|Fem;ADJA;27
342879;NZZ_1993_12_21_a22_seg2_s5;Dass dabei die ganze Vegetation , gänzlich dürr , leicht entzündbar ist und öfters Brände durch Selbstentzündung entfacht werden , ist den Fachleuten bekannt .;ADJD;dürr;8;Pos;ADJD;7
347332;NZZ_1993_12_22_a13_seg6_s6;Craxi lebt nach dem Motto : « Ist der Ruf erst ruiniert , lebt sich ' s gänzlich ungeniert . »;ADJD;ungeniert;19;Pos;ADJD;18
349637;NZZ_1993_12_22_a93_seg4_s2;Dennoch scheinen sie völlig gegensätzliche Aspekte unseres Lebens zu repräsentieren , sind doch oft gänzlich konträre Assoziationen damit verbunden .;ADJD;sein;12;Sein|3|Pl|Pres|Ind;VAFIN;15
351823;NZZ_1993_12_22_a173_seg2_s4;Sich inhaltlich mehr oder weniger treu an die alte Mär vom charmanten Haudegen haltend , der von den Kreuzzügen in den Diensten von König Richard Löwenherz zurückkehrt , um das gute alte England aus den Händen des machthungrigen Prinzen John und dessen habgierigen Gehilfen , des Sheriffs von Rottingham , zu befreien , bettet der amerikanische Produzent , Regisseur und Schauspieler in Personalunion eine derartige Menge von Anspielungen in sein Werk ein , dass die Witzkanone an Hollywood-unbelasteten Gemütern gänzlich vorbeizuschiessen droht .;ADJD;--;81;Full|zu;VVIZU;80
358704;NZZ_1993_12_24_a70_seg10_s5;Entsprechend wurde im Baselbiet auch nicht gänzlich unverhohlen nach dem Preis des Laufentals gefragt .;ADJD;unverhohlen;8;Pos;ADJD;7
359226;NZZ_1993_12_24_a83_seg10_s1;"Was verborgen ist , wirkt schöpferisch ; nicht aber das gänzlich Unbekannte .";ADJD;Unbekannte;12;Reg|Nom|Pl|*4;NN;11
374058;NZZ_1993_12_29_a51_seg2_s12;März 1992 trat Ribbeck sein Amt an , und Beckenbauer rühmte den Freund als einen Mann für eine gänzlich neue Ära .;ADJD;neu;20;Pos|Acc|Sg|Fem;ADJA;19
376283;NZZ_1993_12_29_a126_seg6_s8;Dieses Konzept würde es möglich machen , die offene Drogenszene innert eines Monats an die Peripherie zu verlagern und mittelfristig gänzlich aufzulösen , schreibt die Sozialamtsvorsteherin in ihrer Standortbestimmung .;ADJD;auflösen;22;Full|zu;VVIZU;21
376473;NZZ_1993_12_29_a138_seg3_s3;Sich inhaltlich mehr oder weniger treu an die alte Mär vom charmanten Haudegen haltend , der von den Kreuzzügen in den Diensten von König Richard Löwenherz zurückkehrt , um das gute alte England aus den Händen des machthungrigen Prinzen John und dessen habgierigen Gehilfen , des Sheriffs von Rottingham , zu befreien , bettet der amerikanische Produzent , Regisseur und Schauspieler in Personalunion eine derartige Menge von Anspielungen in sein Werk ein , dass die Witzkanone an Hollywood-unbelasteten Gemütern gänzlich vorbeizuschiessen droht .;ADJD;--;81;Full|zu;VVIZU;80
376622;NZZ_1993_12_30_a6_seg8_s7;Es gehe auch nicht an , dass Israel das Gebiet von Jericho gänzlich vom Jordan und von dessen Brücken isolieren wolle .;ADJD;und;16;Coord|-2;KON;13
382163;NZZ_1993_02_01_a54_seg4_s8;In eine gänzlich andere Richtung zielt hingegen das Reststoffverwertungssystem ( RVA ) : Dabei würde der Kehricht geteilt in inerte Stoffe , welche der Wiederverwertung zugeführt werden sollen , und in eine brennbare Fraktion , welche in getrockneter , lager- und transportierbarer Form für die Energiegewinnung genutzt werden kann .;ADJD;ander;4;Pos|Acc|Sg|Fem;ADJA;3
392636;NZZ_1993_02_03_a80_seg5_s12;Auch wenn viele Versuche die Tiere in keiner Weise belasten , beispielsweise Fütterungsuntersuchungen und Verhaltensbeobachtungen , lässt sich das Leiden der Tiere nicht gänzlich vermeiden .;ADJD;vermeiden;25;Full|-2;VVINF;24
402352;NZZ_1993_02_05_a72_seg11_s7;Dieser muss gemäss Artikel 36 t er der Bundesverfassung reduziert oder gänzlich abgebaut werden , wenn er nicht mehr benötigt wird .;ADJD;abbauen;13;Full|Psp;VVPP;12
410525;NZZ_1993_02_06_a160_seg2_s89;Nehmen wir die Schlägerei zwischen alumnis und praeceptoribus von 1630 : Den Rädelsführern wurde « das Testimonium abverlangt , dann wurden sie der Reihe nach von den Lehrern mit Ruten kastigiret und direkt ins Gefängnis bei Wasser und Brot gelegt , ... endlich aus der Schule gestossen und gänzlich exkludiret ... » .;ADJD;--;50;Full|Psp;ADJD;49
417245;NZZ_1993_02_08_a177_seg5_s13;Im laufenden Jahr will die Regierung die Inflation unterhalb einer Grenze von 30% halten und das Defizit durch Rationalisierung der Zentralverwaltung und Einschränkung der Ausgaben gänzlich beseitigen .;ADJD;beseitigen;27;Full|-2;VVINF;26
417483;NZZ_1993_02_08_a181_seg3_s2;Und in der Tat : das kreative und höchst reflektierte Zusammenfügen von uramerikanischen Musiktraditionen wie Rock , Blues und freiem Jazz mit trefflich bearbeiteten Kompositionen von John Phillip Sousa ( « The Washington Post March » ) und Aaron Copland ( « Billy The Kid » ) führt zu einer gänzlich neuen Musikwelt mit eigenem Gesicht .;ADJD;neu;52;Pos|Dat|Sg|Fem;ADJA;51
419561;NZZ_1993_02_09_a91_seg2_s3;Der Pilot muss imstande sein , sie sowohl überlegen und wirkungsvoll einzusetzen wie , im Notfall , gänzlich auf die Automation zu verzichten .;ADJD;verzichten;23;Full|-2;VVINF;18
445517;NZZ_1993_02_15_a10_seg4_s6;"Die syrischen Zeitungen « al-Baath » und « Tishrin » schlossen ihre Kritik mit der Warnung ab , wenn die Uno unter dem Druck der Vereinigten Staaten Israel immer weitere Ausnahmen von der Befolgung des Völkerrechts zugestehe , so werde dieses gänzlich in seiner Politik bestätigt , sich über alle internationalen Regeln hinwegzusetzen ; dann gebe es keine Chance mehr für einen Frieden in der Region .";ADJD;bestätigen;46;Full|Psp;VVPP;42
