;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
10003;NZZ_1993_04_02_a179_seg8_s10;Die nicht gutgeschriebene Differenz sowie der konstant vorhandene Stock an ( noch ) nicht genutzten Gutschriften stellen also eine sofortige , tatsächliche Umweltverbesserung dar .;ADJD;vorhanden;8;Pos|Nom|Sg|Masc;ADJA;7
15162;NZZ_1993_04_03_a113_seg2_s11;"Allein die Kenndaten von Ginas Kindheit zeugen von haarsträubendem Elend ; sie lassen geradezu den weiteren Lebenslauf vorausahnen : Geboren in rohen , ärmlichen Verhältnissen , der Vater ein Trinker , der die fünf Kinder mit der Zuverlässigkeit des konstant Alkoholisierten schlägt und das Mädchen als Hure beschimpft , es sexuell missbraucht ( was dieses verdrängt ) .";ADJD;--;41;Reg|Gen|Sg|Masc;NN;40
23214;NZZ_1993_04_05_a173_seg6_s6;Extrem hohe Lohnkosten und eine unzureichende Produktivitätsentwicklung haben laut Flemings dazu geführt , dass sich die Lohnstückkosten in den letzten zehn Jahren mehr als verdoppelt haben , während sie in den USA praktisch konstant geblieben sind .;ADJD;bleiben;35;Full|Psp;VVPP;34
45335;NZZ_1993_04_10_a144_seg3_s6;Ist die Vermutung vertretbar , dass die « tabuisierte Masse » in jeder Gesellschaft ungefähr konstant bleibt und dass die allgemeine Enttabuisierung , deren Zeugen wir zu sein glauben , auf einer Augentäuschung beruht ?;ADJD;bleiben;17;Full|3|Sg|Pres|Ind;VVFIN;16
48404;NZZ_1993_04_10_a211_seg2_s4;Die Lagerbestände sind gemäss den Statistiken im Monatsvergleich ebenfalls konstant geblieben , während sie sich im Jahresvergleich um 4% auf 24 ( 14 bzw. 42 ) Mrd. $ erhöhten .;ADJD;bleiben;11;Full|Psp;VVPP;10
58918;NZZ_1993_04_14_a114_seg4_s14;Die Einfuhren blieben mit 1 ( 4 ) Mrd. $ praktisch konstant .;ADJD;bleiben;3;Full|3|Pl|Past|Ind;VVFIN;12
59080;NZZ_1993_04_14_a120_seg12_s6;"Die täglichen « Mini » -Abwertungen sind seit dem Herbst letzten Jahres zwar auf das doppelte erhöht worden ( von jährlich 2% auf 6% ) ; doch auch dieses Tempo ist angesichts des internen Inflationsprozesses nicht genügend : Seit 1988 wertet sich der Peso - vor wie nach der Währungsreform - konstant auf .";ADJD;sein;31;Sein|3|Sg|Pres|Ind;VAFIN;52
61800;NZZ_1993_04_15_a90_seg7_s24;Nach Angaben der World Tourism Organisation ( WTO ) blieb der Anteil der Schweiz an den Welttourismuseinnahmen zwischen 1985 und 1991 konstant ( 1985 = 72% , 1991 71% ) .;ADJD;bleiben;10;Full|3|Sg|Past|Ind;VVFIN;22
73395;NZZ_1993_04_17_a108_seg3_s2;Zum erstenmal gelang es den Schweizerinnen , einen auch in Elitekreisen gefürchteten Gegner , die Russinnen , für einmal nicht nur phasenweise zu überraschen , sondern mit konstant druckreichem Spiel gar zu besiegen .;ADJD;--;29;Pos|Dat|Sg|Neut;ADJA;28
91277;NZZ_1993_04_22_a29_seg2_s3;Die Zahl der Gegner sei mit 29 Prozent konstant geblieben , hiess es in der am Mittwoch vorgelegten Umfrage .;ADJD;bleiben;10;Full|Psp;VVPP;9
92641;NZZ_1993_04_22_a80_seg4_s10;"Zurzeit können pro Jahr 6 Millionen Tonnen Erz abgebaut und aufbereitet werden ; die Kapazität soll aber mittelfristig auf 6 Millionen Tonnen vergrössert werden , damit man trotz ärmer werdendem Erz die Diamantförderung konstant auf mindestens 35 Millionen Karat halten kann .";ADJD;halten;40;Full|-2;VVINF;34
95937;NZZ_1993_04_22_a200_seg3_s9;Der Personalbestand der Telekurs-Gruppe blieb mit 1796 ( 1767 ) nahezu konstant .;ADJD;bleiben;5;Full|3|Sg|Past|Ind;VVFIN;12
102618;NZZ_1993_04_23_a250_seg2_s6;Die Patientenzahlen blieben trotz Sanierung des Operationstraktes konstant ( 1992 : 11 889 , 1991 : 11 829 ) , die Auslastung lag bei hohen 80 Prozent , die Zahl der Pflegetage ( 190 314 ) entsprach praktisch jener des Vorjahres .;ADJD;bleiben;3;Full|3|Pl|Past|Ind;VVFIN;8
102622;NZZ_1993_04_23_a250_seg2_s10;"Mit Zufriedenheit konnte der Verwaltungsdirektor feststellen , dass das Betriebsdefizit des Triemlispitals trotz steigender Leistung seit vier Jahren konstant ist ; 1992 lag es bei 1 Mio. Fr .";ADJD;sein;20;Sein|3|Sg|Pres|Ind;VAFIN;19
129980;NZZ_1993_04_29_a90_seg2_s6;Vizepräsidentin Mathilde Jolidon hielt fest , es gehe nicht an , dass ein Teil der Bevölkerung konstant Einkommensausfälle in Kauf nehmen müsse , während andere Teuerungszulagen erhielten .;ADJD;nehmen;21;Full|-2;VVINF;17
132593;NZZ_1993_04_29_a181_seg2_s12;Das Team hatte in letzter Zeit durch konstant gute Leistungen Sambia zu einer der führenden Fussballnationen in Afrika werden lassen .;ADJD;gut;9;Pos|Acc|Pl|Fem;ADJA;8
148935;NZZ_1993_08_04_a43_seg2_s12;So sanken innerhalb von zehn bis zwanzig Jahren die mittleren Temperaturen in Grönland um 10 bis 14 Grad , blieben dann einige zehn bis einige hundert Jahre lang konstant auf diesem Niveau , um dann innerhalb von ein bis zwei Jahrzehnten auf das viel wärmere Niveau zurückzuspringen .;ADJD;No Head;0;No Head;No Head;29
161210;NZZ_1993_08_06_a158_seg5_s11;Die Produktionskosten blieben konstant , wenn man die profitabhängigen Bonuszahlungen ausklammert .;ADJD;bleiben;3;Full|3|Pl|Past|Ind;VVFIN;4
162129;NZZ_1993_08_06_a184_seg7_s4;Zwei ölhydraulisch angetriebene Stauklappen halten den Stauspiegel konstant .;ADJD;halten;5;Full|3|Pl|Pres|Ind;VVFIN;8
173164;NZZ_1993_08_09_a145_seg2_s18;Die Belegung der Krankenheimabteilung blieb mit 7 Prozent konstant .;ADJD;bleiben;5;Full|3|Sg|Past|Ind;VVFIN;9
174929;NZZ_1993_08_10_a71_seg2_s1;Das bolivische Nationalteam hält sich konstant in den Schlagzeilen der Südamerika-Qualifikation zur Fussball-WM .;ADJD;halten;4;Full|3|Sg|Pres|Ind;VVFIN;6
