;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
16648;NZZ_1993_04_03_a129_seg2_s21;Genau erfasst er den günstigsten Augenblick , setzt behutsam die Füsse auf den Boden , tut so , als sitze er unverändert , blickt hellwach zu den Eltern hin , probt gewissermassen den Aufstand , steht auf , setzt sich wieder , spannt Nerven und Gelenke , streckt sich erneut und - unbemerkt schleicht er sich auf Zehenspitzen seitwärts davon , kontrolliert aber pausenlos die halbwegs Dösenden , huscht lautlos weg , gewinnt zusehends Abstand und endlich die Gartenecke , blickt zurück - die Luft ist rein - und eilt um den Garten herum über einen Schneeglöckchenteppich durch die Hofstatt zu einem lädierten Schaukelpferd , das noch nicht ganz erwacht ist aus dem Winterschlaf und einige Schwingungen lang ärgerlich laut aufquietscht .;ADJD;kontrollieren;62;Full|2|Pl;VVIMP;64
21650;NZZ_1993_04_05_a123_seg3_s22;Diese Massierungen lösten sich erst in der zweiten Hälfte , als der Gastklub - die drohende Niederlage vor Augen - das Geschehen vermehrt in die Hände nahm und den Gegner pausenlos unter Druck setzte .;ADJD;setzen;34;Full|3|Sg|Past|Ind;VVFIN;31
60854;NZZ_1993_04_15_a46_seg2_s21;Anstelle erfüllten klassischen Stiles werden pausenlos virtuose Formen vorgeführt , die dadurch zu bloss fulminanten Gags entleert werden .;ADJD;vorführen;9;Full|Psp;VVPP;6
86550;NZZ_1993_04_21_a43_seg8_s9;"Der Rest der Tiere ist unbrauchbar ; sie versuchen pausenlos aus den Zuchtbecken zu entweichen und fressen fast nichts .";ADJD;versuchen;9;Full|3|Pl|Pres|Ind;VVFIN;10
131769;NZZ_1993_04_29_a173_seg1_s8;Das Personal des Krankenhauses ist pausenlos im Einsatz und versorgt die Opfer .;ADJD;sein;5;Sein|3|Sg|Pres|Ind;VAFIN;6
133842;NZZ_1993_04_29_a242_seg3_s13;In der Aufmachung der sechziger Jahre , mit kurzen , engen Kleidchen , weissblondem Haar und tiefschwarzem Augen-Make-up , pausenlos albernes Zeug plappernd , bewegt sie sich durch den Film .;ADJD;albern;21;Pos|Acc|Sg|Neut;ADJA;20
189308;NZZ_1993_08_14_a80_seg7_s19;Der Chor ist dynamisch und im Ambitus fast pausenlos herausgefordert , mit Bezügen zum Dies-irae-Motiv .;ADJD;herausfordern;10;Full|Psp;VVPP;9
192702;NZZ_1993_08_16_a29_seg2_s21;Es gibt auch , besonders im zweiten der drei pausenlos aneinandergehängten Sätze , viel Schönklang - hier aber auch jene Verfremdungen , Störungen , die , fester Bestandteil der Handschrift Schnittkes , den Reiz dieser Partitur ausmachen .;ADJD;aneinandergehängt;11;Pos|Gen|Pl|Masc;ADJA;10
194988;NZZ_1993_08_16_a109_seg3_s5;Doch der kürzeste Wettbewerb ruft - so paradox das klingt - nach den längsten Texten , setzt Mundwerke pausenlos in Gang und liefert Worthülsen , die aneinandergereiht Slogans verblüffend selbstbewussten Inhalts ergeben .;ADJD;setzen;17;Full|3|Sg|Pres|Ind;VVFIN;19
240646;NZZ_1993_08_30_a107_seg3_s17;Als freier Verteidiger war dieser pausenlos auf Positionssuche , brachte seiner Mannschaft weder in offensiver noch in defensiver Hinsicht etwas .;ADJD;bringen;10;Full|3|Sg|Past|Ind;VVFIN;6
