;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
1202;NZZ_1993_04_01_a60_seg10_s3;Vor der Bundeshauspresse machte er dazu am Mittwoch geltend , dass die Lenkungswirkung einer Lenkungsabgabe weiterhin wissenschaftlich geklärt und erhärtet werden müsse .;ADJD;klären;18;Full|Psp;VVPP;17
1415;NZZ_1993_04_01_a70_seg10_s7;Ein Vorwort Bundesrat Kaspar Villigers , mathematische Luftkriegmodelle im Anhang - Stahel arbeitet wissenschaftlich seit längerem auf dem Gebiet des Operations Research - sowie Tabellen , Photographien und ein Literaturverzeichnis ergänzen den Band .;ADJD;arbeiten;13;Full|3|Sg|Pres|Ind;VVFIN;14
19108;NZZ_1993_04_05_a32_seg11_s10;Kommende Ausstellungen sollen aber auch die Begegnung eines interessierten , nicht nur wissenschaftlich ausgerichteten Publikums mit Wissenschaftern , Kuratoren und Restauratoren möglich machen .;ADJD;ausgerichtet;14;Pos|Gen|Sg|Neut;ADJA;13
28492;NZZ_1993_04_06_a174_seg2_s1;af. Was Mitglieder der 1877 gegründeten Antiquarischen Gesellschaft Pfäffikon gesammelt und zum Teil bei Ausgrabungen selber zutage gefördert hatten , ist jetzt durch den Archäologen Beat Eberschweiler wissenschaftlich aufbereitet und didaktisch geschickt in einer neuen urgeschichtlichen Abteilung des Heimatmuseums Pfäffikon vereint worden .;ADJD;aufbereitet;29;Pos;VVPP;28
29725;NZZ_1993_04_07_a56_seg4_s2;Gleichzeitig wurde aber festgehalten , dass die Befruchtung durch In-vitro-Fertilisation und Embryotransfer keine wissenschaftlich anerkannte Therapie zur Überwindung dieser Unfruchtbarkeit ist und deshalb nicht zu den Pflichtleistungen der Krankenkassen gehört ( BGE 113 V 42 ) .;ADJD;anerkannt;15;Pos|Nom|Sg|Fem;VVFIN;14
29733;NZZ_1993_04_07_a56_seg4_s10;Dennoch könne die Befruchtung durch In-vitro-Fertilisation und Embryotransfer auch heute noch immer nicht als eine wissenschaftlich anerkannte und damit kassenpflichtige Massnahme anerkannt werden .;ADJD;anerkannt;17;Pos|Nom|Sg|Fem;VVFIN;16
30010;NZZ_1993_04_07_a68_seg3_s6;Zudem muss es sich wissenschaftlich auswerten lassen .;ADJD;auswerten;6;Full|-2;VVINF;5
30013;NZZ_1993_04_07_a68_seg5_s2;Für den Versuch , der Anfang April startete , drei Jahre dauert und während einer Zeitspanne von fünf Jahren wissenschaftlich begleitet und ausgewertet wird , ist der Direktion der Anstalt St. Johannsen vom EJPD ein Beitrag von einer Million in Aussicht gestellt worden .;ADJD;begleiten;21;Full|Psp;VVPP;20
34133;NZZ_1993_04_08_a44_seg3_s3;Der zuständige Ausschuss im Svendborger Stadtrat hat mit grosser Mehrheit beschlossen , über eine Stiftung jeweils ein Jahr lang Künstler in dem völlig restaurierten Haus wohnen zu lassen , die entweder selbst als Verfolgte im Exil leben müssen oder sich künstlerisch oder wissenschaftlich mit Exil befassen .;ADJD;oder;42;Coord|-2;KON;43
34243;NZZ_1993_04_08_a47_seg7_s6;Diese neue Sicht auf den Raum reflektierte den Glauben an die Schwerkraft , die wissenschaftlich relativiert ist und dennoch verbindlich für das tägliche Tun bleibt .;ADJD;relativieren;16;Full|Psp;VVPP;15
36919;NZZ_1993_04_08_a139_seg3_s2;Zehn Jahre lang werden in insgesamt 40 Sendungen die Lebenswege von 30 Frauen und Männern , die jetzt aus dem Beruf ausscheiden , journalistisch und wissenschaftlich begleitet .;ADJD;und;25;Coord|-2;KON;26
40756;NZZ_1993_04_10_a22_seg2_s6;Die Ungereimtheiten der Berichte wurden zum Auslöser zahlreicher Spekulationen und Interpretationen , für ergebnislose jahrhundertelange theologische Diskussionen , die nur das eine erbrachten , dass sich die Auferstehung Jesu wissenschaftlich nicht beweisen lässt .;ADJD;beweisen;32;Full|-2;VVINF;30
48377;NZZ_1993_04_10_a209_seg7_s18;"Aber dieses Ziel liegt in so weiter Ferne , und seine Erreichbarkeit ist wissenschaftlich überhaupt nicht gesichert ; man kann daher der Auffassung sein , dass der enorme , durch internationale Vereinbarungen dauernd fortgeschriebene Aufwand durchaus reduziert werden könnte .";ADJD;sichern;17;Full|Psp;VVPP;14
61073;NZZ_1993_04_15_a59_seg2_s13;Christian Schmid-Cadalbert ist nicht nur selbst Lyriker und Geschichtenerzähler , er beschäftigt sich auch wissenschaftlich mit den schweizerischen Dialekten und ihren Literaturen .;ADJD;beschäftigen;12;Full|3|Sg|Pres|Ind;VVFIN;15
65879;NZZ_1993_04_16_a41_seg2_s18;Sie erinnert aber auch daran , dass dieses künstlerisch und wissenschaftlich sehr bedeutungsvolle Material in dem von Verunsicherung geprägten postmarxistischen Russland einer starken Gefährdung ausgesetzt ist .;ADJD;bedeutungsvoll;13;Pos|Acc|Sg|Neut;ADJA;11
86577;NZZ_1993_04_21_a43_seg12_s9;Dies setzt eine intensive , wissenschaftlich geführte Pflege und weitgehend automatisierte technische Installationen voraus .;ADJD;geführt;7;Pos|Acc|Sg|Fem;ADJA;6
95164;NZZ_1993_04_22_a140_seg5_s8;Mit Tränen in den Augen berichtet sie , dass Tausende von zum Teil bedeutenden phönizischen und römischen Stücken , welche auf dem Markt landeten , der Öffentlichkeit verloren sind , weil sie weder von Fachleuten im Zusammenhang ihrer Fundumgebung beurteilt noch wissenschaftlich publiziert werden konnten .;ADJD;publizieren;43;Full|Psp;VVPP;42
97337;NZZ_1993_04_23_a42_seg2_s1;Die Aufsatzserie unter dem Titel « Metaphysik des Autos » in der Nummer « Technologie und Gesellschaft » ( NZZ Nr. 75 ) ist einseitig und tendenziös , obwohl sie sich wissenschaftlich gibt .;ADJD;geben;33;Full|3|Sg|Pres|Ind;VVFIN;32
103557;NZZ_1993_04_24_a36_seg2_s17;Weltanschauliches tragen John Latham und Walter Dahn / Johannes Stüttgen vor , wissenschaftlich argumentierend der Nordrhodesier in der raumgreifenden Installation « The N-U Niddrie Heart » , philosophierend die Deutschen im Videofilm « Die schwimmende Tasse » .;ADJD;argumentierend;14;Pos;ADJD;13
105109;NZZ_1993_04_24_a71_seg6_s26;Die Perspektive als wissenschaftlich legitimierte Raumauffassung wurde zur Konvention menschlicher Wahrnehmung , in der sich ein Wirklichkeitsbegriff konstituiert hat , der eng verknüpft ist mit bereits geordneter Sichtbarkeit , dessen Gesetzmässigkeiten den visuellen Bereich bis heute prägen .;ADJD;legitimiert;5;Pos|Nom|Sg|Fem;ADJA;4
112024;NZZ_1993_04_26_a93_seg1_s20;Doch obwohl wissenschaftlich durchaus ein Zusammenhang zwischen Arbeitslosigkeit und Selbstmord herzustellen ist , scheint es im Einzelfall doch sehr viel schwieriger , diese Beziehungen im Detail zu rekonstruieren .;ADJD;herstellen;11;Full|zu;VVIZU;3
135447;NZZ_1993_03_31_a76_seg1_s13;Malariaimpfung auf dem Prüfstand Ein Malariaimpfstoff wird erstmals in einer wissenschaftlich kontrollierten Grossstudie auf seine Wirksamkeit geprüft .;ADJD;kontrolliert;12;Pos|Dat|Sg|Fem;ADJA;11
139386;NZZ_1993_08_02_a39_seg5_s11;Hingegen zieht er daraus keine wissenschaftlich belegbaren Beweise , die für oder gegen eine Liberalisierung der Drogengesetzgebung sprechen würden .;ADJD;belegbar;7;Pos|Acc|Pl|Masc;ADJA;6
146532;NZZ_1993_08_03_a112_seg3_s12;Und das australische Tabak-Institut hat , wie zu erwarten war , einmal mehr darauf hingewiesen , dass es wissenschaftlich nicht nachgewiesen sei , dass passives Rauchen gesundheitliche Schäden verursache .;ADJD;nachweisen;21;Full|Psp;VVPP;19
157729;NZZ_1993_08_06_a35_seg2_s2;Der scheinbar prestigegeladene Name Berufsmatur müsste einfach z. B. zu Berufsabitur abgeschwächt werden , und bei Fachhochschulreife würde ich den Begriff « wissenschaftlich » auch noch weglassen .;ADJD;weglassen;27;Full|-2;VVINF;23
167053;NZZ_1993_08_07_a152_seg2_s11;"Dieses Wesen ist wissenschaftlich noch nicht ausreichend erforscht ; sein prinzipielles Vorhandensein kann aber als gesichert gelten .";ADJD;ausreichend;7;Pos;ADJD;4
178105;NZZ_1993_08_11_a35_seg16_s1;Die wissenschaftlich interessanteste Anwendung hat Gallium zweifellos im Gran-Sasso-Neutrinodetektor östlich von Rom gefunden .;ADJD;interessant;3;Sup|Nom|Sg|Fem;ADJA;2
205880;NZZ_1993_08_19_a116_seg2_s46;Gestenreich schildert er die Anlage von Hagar Qim und lässt keinen Zweifel an seiner Überzeugung , dass zwischen dieser Tempelanlage auf Malta , Ggantija auf Gozo und Stonehenge Verbindungen bestanden haben , auch wenn sie wissenschaftlich noch nicht nachgewiesen werden könnten .;ADJD;können;41;Mod|3|Pl|Past|Subj;VMFIN;36
210031;NZZ_1993_08_21_a2_seg9_s10;Das Projekt Agruco versucht seine Erkenntnisse wissenschaftlich zu untermauern , nimmt das bäuerliche Weltbild aber auch dort ernst , wo die Wissenschaft aufhört .;ADJD;untermauern;9;Full|-2;VVINF;7
210747;NZZ_1993_08_21_a43_seg2_s23;Die bewusst nüchterne Schilderung der mittelalterlichen städtischen Strukturen bietet dem Leser solide Informationen und wissenschaftlich ausführlich belegte Erkenntnisse .;ADJD;ausführlich;16;Pos;ADJD;15
222307;NZZ_1993_08_25_a41_seg5_s2;Eine zweite Phase , in welcher begonnen wurde , Bewegungen wissenschaftlich zu analysieren .;ADJD;analysieren;13;Full|-2;VVINF;11
229697;NZZ_1993_08_27_a48_seg2_s13;Seit dem Beginn des Jahrhunderts hatten die Architekturhistoriker , Archäologen und Konservatoren wissenschaftlich definiert , welches die architektonische Kultur des Staates sei .;ADJD;definieren;14;Full|Psp;VVPP;13
244246;NZZ_1993_07_31_a92_seg6_s2;Erst nachdem sich das « Schweizerhaus » als Topos unter anderm zur Möblierung des Englischen Gartens durchgesetzt hatte , wurden die Schweizer Holzarchitekturen wissenschaftlich untersucht .;ADJD;untersuchen;25;Full|Psp;VVPP;24
250073;NZZ_1993_12_01_a51_seg4_s2;Das Hubble-Teleskop ist eines der wissenschaftlich und technisch anspruchsvollsten Instrumente , die je in den Weltraum gebracht wurden .;ADJD;und;7;Coord|-2;KON;6
263688;NZZ_1993_12_03_a157_seg5_s2;Nach wie vor wird der Einwirkung der Luftschadstoffe auf die Waldökosysteme eine Bedeutung in einem Umfang zugemessen , der anderswo als wissenschaftlich nicht stringent beweisbar teilweise bereits angezweifelt wird .;ADJD;beweisbar;25;Pos;ADJD;22
266627;NZZ_1993_12_04_a45_seg4_s8;Und ein anderer meinte , es sei wissenschaftlich belegt , dass ein gesunder Achtzigjähriger ebenso leistungsfähig sein könne wie ein Junger .;ADJD;belegen;9;Full|Psp;VVPP;8
273191;NZZ_1993_12_06_a34_seg5_s1;Der Deutsche Klassiker-Verlag ist zweifellos , was wissenschaftlich anspruchsvolle Neueditionen deutscher Klassiker angeht , der innovativste und produktivste Verlag .;ADJD;anspruchsvoll;9;Pos|Acc|Pl|Fem;ADJA;8
273192;NZZ_1993_12_06_a34_seg5_s2;Immerhin wurde in den acht Jahren pro Monat mehr als einer der wissenschaftlich aufwendig edierten und umfassend kommentierten Bände veröffentlicht .;ADJD;aufwendig;14;Pos;ADJD;13
273212;NZZ_1993_12_06_a34_seg7_s8;So wurde die auf 12 Bände geplante Edition der Werke Ludwig Tiecks sistiert - und damit der erste Versuch einer fast vollständigen , wissenschaftlich edierten und kommentierten Tieck-Ausgabe .;ADJD;ediert;25;Pos|Gen|Sg|Fem;ADJA;24
293211;NZZ_1993_12_09_a204_seg4_s3;In den Walliser Alpen bearbeiten die Archäologen auf 2500 Metern Höhe eine 4500 Jahre alte Fundstelle , und dank einem Beitrag des Nationalfonds wird im deutschen Wörlitz die Sammlung schweizerischer Glasgemälde wissenschaftlich erforscht .;ADJD;erforschen;33;Full|Psp;VVPP;32
296005;NZZ_1993_12_10_a96_seg19_s12;Ein zweites , in englischer Sprache im Wasmuth-Verlag erschienenes Überblickswerk zu Sottsass 2 gibt sich weniger emotional und handelt den italienischen Architekten korrekt wissenschaftlich neutral über die Stationen seines Lebens und Werks ab .;ADJD;neutral;25;Pos;ADJD;24
318094;NZZ_1993_12_15_a27_seg10_s13;Da sich nach Angaben von Ewert die archäologische Forschung , die von der Deutschen Forschungsgemeinschaft finanziell unterstützt wurde , auf die Moschee beschränkte , ist die Zerstörung wissenschaftlich nicht bestätigt .;ADJD;bestätigen;30;Full|Psp;VVPP;28
326996;NZZ_1993_12_16_a135_seg5_s4;Dieses Phänomen kannten die Brückenbauer 1958 noch nicht , denn es wurde erst vor zwei Jahren wissenschaftlich beschrieben .;ADJD;beschreiben;18;Full|Psp;VVPP;17
