;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
91;NZZ_1993_04_01_a5_seg3_s10;Havel sagte nach den Gesprächen , die Standpunkte der beiden Regierungen seien nicht so unterschiedlich , wie es auf den ersten Blick ausgesehen habe .;ADJD;sein;12;Sein|3|Pl|Pres|Subj;VAFIN;15
4163;NZZ_1993_04_01_a160_seg6_s5;"Bei den Industrieunternehmen können die Auswirkungen unterschiedlich sein ; hier kommt es auf das Ausmass der in Dollars denominierten Guthaben und Verbindlichkeiten an .";ADJD;sein;8;Sein|-2;VAINF;7
6914;NZZ_1993_04_02_a72_seg9_s14;So unterschiedlich , ja fast gegensätzlich die beiden Entscheide auch sind , sind sie doch Schritte auf dasselbe Ziel hin und bringen die Vision der « Bibliothek Schweiz » der Realisierung näher .;ADJD;sein;11;Sein|3|Pl|Pres|Ind;VAFIN;2
11029;NZZ_1993_04_02_a208_seg1_s7;"51 Sport Hypotheken und Chancen des SFV-Teams Nach dem zum Teil unterschiedlich gewerteten Remis der Schweizer Fussballer gegen Portugal sieht man gespannt den Neubesetzungen für den Malta-Match entgegen ; gleich vier Stammspieler müssen ersetzt werden .";ADJD;gewertet;13;Pos|Gen|Pl|Neut;ADJA;12
18726;NZZ_1993_04_05_a17_seg2_s11;Die von den Vereinigten Staaten vor anderthalb Monaten verkündete Bereitschaft , eine von allen Beteiligten akzeptierte Friedensordnung in Bosnien-Herzegowina militärisch zu sichern , hat sich auf das Verhalten der Kriegsparteien unterschiedlich ausgewirkt .;ADJD;auswirken;32;Full|Psp;VVPP;31
19682;NZZ_1993_04_05_a66_seg5_s22;Was nämlich die Schweiz als Ganzes angeht und immerhin in einer gesamtschweizerischen Streuung unterschiedlich gesehen wird , darf nicht nach traditionellem Muster auf einen kulturräumlichen Gegensatz reduziert werden .;ADJD;sehen;15;Full|Psp;VVPP;14
33191;NZZ_1993_04_07_a188_seg5_s1;So versuchte Guicciardis Untersuchung , einerseits bisher gängige Fehlschlüsse zu korrigieren und anderseits möglichst weit zu den kulturellen Netto-Leistungen der berücksichtigten Städte vorzustossen ( immer im Wissen , dass es beim Vergleich ganz unterschiedlich entstandener Kulturlandschaften keine « absolute Wahrheit » geben könne ) : Entsprechend wurden einmalige Grossinvestitionen wie etwa eine Opernhausrenovation , laufende Ausgaben wie Mieten usw. ebenso aus der Rechnung ausgeschlossen wie regional stark divergierende Zuschüsse , die im Zusammenhang mit dem Kulturleben stehen ( Eintrittsgelder , Gebühren , Subventionen von Kanton bzw. Bundesland oder von seiten des Staats ) .;ADJD;entstanden;35;Pos|Gen|Pl|Fem;ADJA;34
39137;NZZ_1993_04_08_a194_seg10_s5;Probleme und Herausforderung werden in erster Linie als « branchenspezifisch » bezeichnet , so dass die Entwicklung in den einzelnen Teilsparten sehr unterschiedlich ausfallen kann .;ADJD;ausfallen;24;Full|-2;VVINF;23
39847;NZZ_1993_04_08_a212_seg10_s2;Die schauerartigen Niederschläge auf Mittwoch haben sich regional stark unterschiedlich ausgewirkt .;ADJD;auswirken;11;Full|Psp;VVPP;10
41525;NZZ_1993_04_10_a54_seg3_s2;Eine Fülle von - unterschiedlich aussagekräftigen - Rezensionen lässt den Aufstieg vom neapolitanischen Strassensänger zum gefeierten Tenor der Metropolitan Opera als Ergebnis natürlicher Begabung und harter Selbstdisziplin erscheinen .;ADJD;aussagekräftig;6;Pos|Dat|Pl|Fem;ADJA;5
48588;NZZ_1993_04_10_a214_seg47_s2;Auf seiner Südflanke wurde mit auffrischenden Winden unterschiedlich temperierte , recht feuchte Luft in unser Land transportiert .;ADJD;temperiert;9;Pos|Acc|Pl|Fem;VVFIN;8
58787;NZZ_1993_04_14_a107_seg2_s2;Der Prozess der Wirtschaftsreformen verläuft recht harzig , regional unterschiedlich und ungleichgewichtig .;ADJD;und;11;Coord|-2;KON;10
63898;NZZ_1993_04_15_a141_seg5_s5;Die Umsatzentwicklung der Kernaktivitäten verlief indessen unterschiedlich .;ADJD;verlaufen;5;Full|3|Sg|Past|Ind;VVFIN;7
69115;NZZ_1993_04_16_a165_seg4_s3;Der Rückgang der Industrieproduktion um 19% im Vorjahr hat sich gemäss der Zeitung in den einzelnen Branchen zwar unterschiedlich ausgewirkt .;ADJD;auswirken;20;Full|Psp;VVPP;19
69848;NZZ_1993_04_16_a180_seg6_s4;Deren Haltung gegenüber drogenpolitischen Fragen war bisher sehr unterschiedlich , teilweise auch von Desinteresse und Reserviertheit geprägt .;ADJD;sein;6;Sein|3|Sg|Past|Ind;VAFIN;9
73434;NZZ_1993_04_17_a110_seg2_s17;So stark die persönlichen Visitenkarten des Erfolges die beiden Trainer verbinden , so unterschiedlich bleiben aber letztlich ihre Charaktere - ein Umstand , der gelegentlich wohl unterschätzt oder sogar verkannt wird .;ADJD;bleiben;15;Full|3|Pl|Pres|Ind;VVINF;14
75975;NZZ_1993_04_17_a171_seg3_s3;Die Tonnage hat sich in den einzelnen Produktsegmenten unterschiedlich entwickelt : Sie stieg in einem leicht wachsenden Markt bei Backmehl um 3% und in einem stagnierenden Markt um 1% bei Hartweizengriess sowie um 2% bei Haferprodukten und parallel dazu bei Futterwaren , sank aber um 3% bei Maisprodukten .;ADJD;entwickeln;10;Full|Psp;VVPP;9
79622;NZZ_1993_04_19_a123_seg9_s5;Diese Aufgabe wurde von den einzelnen Verbänden unterschiedlich gelöst .;ADJD;lösen;9;Full|Psp;VVPP;8
81053;NZZ_1993_04_19_a165_seg28_s12;Dann wie schon im Westen und Süden unterschiedlich bewölkt und zeitweise Regen .;ADJD;bewölken;9;Full|Psp;VVPP;8
106003;NZZ_1993_04_24_a78_seg3_s6;Dies deshalb nicht , weil jeweils nach vier Jahren die Wertungsvorschriften überarbeitet werden und somit die Ausgangswerte und besonderen Anforderungen eine andere Gewichtung erhalten , aber auch , weil die Resultate infolge der subjektiven Taxation durch die Kampfrichter von Wettkampf zu Wettkampf unterschiedlich hoch ausfallen .;ADJD;hoch;44;Pos;ADJD;43
106641;NZZ_1993_04_24_a113_seg5_s5;Dieser Ansatz geht also davon aus , dass es im Wirtschaftsleben , wie in der Natur , gewisse absolute zeitliche Limiten für Prozesse gibt , die zudem von Segment zu Segment unterschiedlich sind .;ADJD;sein;33;Sein|3|Pl|Pres|Ind;VAFIN;32
106665;NZZ_1993_04_24_a113_seg9_s2;Ein weiterer , unhaltbarer Vorwurf besteht in der Behauptung , dass auch dann , wenn zwei Länder ein gemeinsames Problem aufweisen , zum Beispiel eine Hyperinflation , die Gegenmassnahmen landesspezifisch und damit unterschiedlich sein müssten .;ADJD;sein;34;Sein|-2;VAINF;33
106667;NZZ_1993_04_24_a113_seg9_s4;Je nach Patient fallen allenfalls die Nebenwirkungen ( etwa ein Produktionsrückgang als Folge der Bekämpfung der Hyperinflation ) unterschiedlich stark aus .;ADJD;stark;20;Pos;ADJD;19
109700;NZZ_1993_04_24_a178_seg6_s7;Nicht nur emigrierte und zwangsexilierte Kulturschaffende aus der jungen Sowjetunion hielten sich in Berlin auf , zu Gast waren in jenen Jahren auch Schriftsteller wie Boris Pasternak , Isaak Babel , Wladimir Majakowski , die alle zurückfahren sollten , unterschiedlich tragischen Schicksalen entgegen .;ADJD;tragisch;41;Pos|Dat|Pl|Neut;ADJA;40
109866;NZZ_1993_04_24_a178_seg20_s5;Und auch wenn diese Autoren unterschiedlich « westlich » oder « russophil » ausgerichtet sind , steht doch ihre mehr oder weniger ausgesprochene Sympathie fest für jene ihrer Figuren , die gerade in Kontrastierung zu europäischen Geist vertretenden Helden als Russen gezeichnet werden .;ADJD;westlich;8;Pos;ADJD;6
111883;NZZ_1993_04_26_a87_seg2_s2;Bei diesem jüngsten Wurf kam insbesondere das Eigenverständnis der Messe Basel zum Tragen , die sich nicht nur als Vermieterin von Hallen , sondern auch als Veranstalterin von Messen betätigt und dabei auch verschiedene Branchen und unterschiedlich strukturierte Anbieter zu einem nachfrageorientierten Messekonzept zusammenführen kann .;ADJD;strukturiert;38;Pos|Acc|Pl|Masc;ADJA;37
119126;NZZ_1993_04_27_a70_seg2_s2;Bei diesem jüngsten Wurf kam insbesondere das Eigenverständnis der Messe Basel zum Tragen , die sich nicht nur als Vermieterin von Hallen , sondern auch als Veranstalterin von Messen betätigt und dabei auch verschiedene Branchen und unterschiedlich strukturierte Anbieter zu einem nachfrageorientierten Messekonzept zusammenführen kann .;ADJD;strukturiert;38;Pos|Acc|Pl|Masc;ADJA;37
