;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
20734;NZZ_1993_04_05_a99_seg3_s5;Allerdings vergebens , denn nach eingehender Besprechung annullierten die Stewards das Rennen .;ADV;denn;4;Coord|Denn;KON;2
40601;NZZ_1993_04_10_a14_seg2_s3;Wilson bezeichnete das Gespräch mit den IRA-Leuten , das auf seinen Wunsch an einem geheimgehaltenen Ort in Nordirland stattfand , als vergebens , weil die beiden IRA-Mitglieder deutlich gemacht hätten , dass ihre Organisation an der Gewalt als Mittel im politischen Kampf festhalten wolle .;ADV;haben;30;Haben|3|Pl|Past|Subj;VAFIN;22
144060;NZZ_1993_08_03_a28_seg2_s29;Sein Bemühen um kammermusikalisches Musizieren blieb allerdings vergebens , weil das am Vorabend so agile Venezianer Opernorchester unter der Leitung von Umberto Benedetti Michelangeli nun schlampig und klebrig wirkte .;ADV;bleiben;6;Full|3|Sg|Past|Ind;VVFIN;8
162428;NZZ_1993_08_07_a15_seg2_s7;Der beobachtende Soldat versuchte vergebens , das Fahrzeug mit Schüssen aus seiner Waffe noch zu stoppen .;ADV;versuchen;4;Full|3|Sg|Past|Ind;VVFIN;5
185314;NZZ_1993_08_13_a58_seg7_s23;Auf entsprechende Zuschüsse der Gewerkschaften an die bürgerlichen Parteikassen wartet man allerdings bisher noch vergebens .;ADV;warten;10;Full|3|Sg|Pres|Ind;VVFIN;15
200894;NZZ_1993_08_18_a46_seg3_s6;Das Sachbuch enthält wohl eine vollständige Sammlung der wichtigsten Betrachtungsweisen zum Thema , aber einen wirklich überzeugenden Lösungsvorschlag sucht man vergebens .;ADV;suchen;19;Full|3|Sg|Pres|Ind;VVFIN;21
230925;NZZ_1993_08_27_a108_seg5_s12;Andre Wernli versuchte es mit einem sprachenkundigen Onkel - vergebens .;ADV;versuchen;3;Full|3|Sg|Past|Ind;VVFIN;10
282848;NZZ_1993_12_07_a190_seg2_s13;Der Schriftsteller sagt über das Vorgehen der Ermittler in seinen Geschichten , sie würden zwar ihre Arbeit so gut als möglich machen , doch dabei immer im Wissen , dass ohnehin alles vergebens sei .;ADV;sein;34;Sein|3|Sg|Pres|Subj;VAFIN;33
289339;NZZ_1993_12_09_a41_seg2_s41;Die Traumgestalt , nach deren Identität ich vergebens suchte und suche , hatte meine Neigung ( Schwäche ) durchschaut und nötigte mich im Traum , oder vom Traum , zur Wirklichkeit , wodurch gerade der Traum den Charakter und den Stoff des Lebens gewann .;ADV;suchen;9;Full|1|Sg|Past|Ind;VVFIN;8
306398;NZZ_1993_12_11_a183_seg2_s3;Die Bewilligung für die Demonstration , die sich am Samstag ab 13 Uhr vom Hechtplatz quer durch die Innenstadt zum Helvetiaplatz bewegen soll , wurde auch erteilt , obwohl Neukomm sich am Donnerstag abend zusammen mit Stadträtin Ursula Koch vergebens ins Volkshaus begeben hatte , um erneut das Gespräch mit den anonym auftretenden Wohlgroth-Aktivisten zu suchen .;ADV;begeben;43;Full|Psp;VVPP;40
430155;NZZ_1993_02_11_a105_seg7_s1;Carole Merle hat in ihrer zwölfjährigen Karriere zwar schon 20 Weltcup-Rennen gewonnen , nach einem ganz grossen Sieg griff sie jedoch stets vergebens .;ADV;greifen;19;Full|3|Sg|Past|Ind;VVFIN;23
536073;NZZ_1994_04_07_a201_seg4_s6;Im Norden und Südosten Frankreichs sucht man diesen Begriff vergebens , auch in der Schweiz ist er in den französischsprachigen Kantonen Neuenburg , Waadt , Genf , Freiburg und Wallis nicht anzutreffen .;ADV;suchen;6;Full|3|Sg|Pres|Ind;VVFIN;10
581430;NZZ_1994_04_16_a128_seg47_s10;Frank Lopardo in der Rolle des abgewiesenen Liebhabers Idreno kämpft vergebens gegen die Blutleere seiner Partie .;ADV;kämpfen;10;Full|3|Sg|Pres|Ind;VVFIN;11
683361;NZZ_1994_08_06_a211_seg3_s28;Als sie der Hirtin und ihrer Gänseschar endlich entronnen waren , gab es freilich sieben lange Gesichter , und der Älteste sagte : « Nun hat unser gutes Mariechen das Hochzeitsmahl vergebens gekocht . »;ADV;kochen;33;Full|Psp;VVPP;32
696200;NZZ_1994_08_10_a113_seg3_s6;Ihre Siege gegen Puerto Rico und Ägypten waren vergebens gewesen , die Niederlage gegen Griechenland der Equipe zum Verhängnis geworden .;ADV;sein;10;Sein|Psp;VAPP;9
722341;NZZ_1994_08_16_a94_seg4_s17;"Der Papst , mit erhobenen Händen , « urbi et orbi » , stehe am offenen Fenster und flehe den Allmächtigen an , er möchte der roten Sündflut Einhalt gebieten ; aber vergebens .";ADV;flehen;19;Full|3|Sg|Pres|Subj;VVFIN;33
729448;NZZ_1994_08_17_a153_seg4_s13;Solche Informationen sucht man im vorliegenden Band jedoch vergebens .;ADV;suchen;3;Full|3|Sg|Pres|Ind;VVFIN;9
732168;NZZ_1994_08_18_a129_seg2_s3;Schon zweimal hatte uns unsere Passion für brasilianische Populärmusik vergebens an die Dufourstrasse 131 geführt !;ADV;führen;15;Full|Psp;VVPP;10
742924;NZZ_1994_08_20_a110_seg2_s8;Auf eine Antwort wartete ich vergebens .;ADV;warten;4;Full|1|Sg|Past|Ind;VVFIN;6
747681;NZZ_1994_08_20_a217_seg5_s2;In China gibt es Hautgout weder als Eigenschaft noch als Begriff , und deshalb sucht man in Wörterbüchern vergebens nach einem chinesischen Wort für Hautgout .;ADV;suchen;15;Full|3|Sg|Pres|Ind;VVFIN;19
800873;NZZ_1994_12_03_a17_seg8_s8;Seine Bemühungen waren jedoch , wie sich zeigte , vergebens .;ADV;sein;3;Sein|3|Pl|Past|Ind;VAFIN;10
810110;NZZ_1994_12_05_a98_seg4_s12;Dass es schwarze Schafe gibt , liegt auf der Hand , sie machen aber eine recht kleine Gruppe aus im Vergleich mit jenen durchaus arbeitswilligen Erwerbslosen , die sich zwar ernsthaft , aber vergebens um Arbeit bemühen .;ADV;bemühen;37;Full|3|Pl|Pres|Ind;VVFIN;34
