Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VMINF;ADV;müssen;26;NZZ_1999_07_12_a136_seg6_s8;21;Mod|-2;Über den zehnten Titelgewinn seiner Karriere freut sich der Mann aus Lerida schon deshalb, weil er wegen Rückenbeschwerden einmal beinahe seine Laufbahn hätte beenden müssen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VMFIN;ADV;müssen;11;NZZ_1996_07_05_a206_seg4_s1;12;Mod|3|Sg|Past|Subj;Wer das Meldeergebnis für das Swiss Stamp Open analysiert, müsste beinahe zu folgender Deutung kommen : Die Sammlerschaft hat geradezu auf die Offene Klasse gewartet .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADV;wecken;7;NZZ_1996_02_08_a158_seg2_s8;10;Full|3|Sg|Pres|Ind;Doch mehr Interesse als dieser Verlauf weckt das schon beinahe erotische Verhältnis zwischen der Singstimme, die sich in die Resonanzen des Begleitinstruments einschmiegt, und dem Klavier, das ob dieser Offensive seine perkussive Natur hinter sich lässt .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVFIN;ADV;bloßstellen;11;NZZ_1996_05_13_a149_seg4_s3;10;Full|3|Sg|Past|Ind;Ein überlegener Max Biaggi, der die gesamte Konkurrenz beinahe blossstellte, prägte das 250er-Rennen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADV;nehmen;3;NZZ_1995_05_10_a132_seg3_s18;9;Full|3|Sg|Past|Ind;Hans-Ulrich Jost nahm sich, überraschend, schon beinahe als ein weise wagender Vermittler aus zwischen der das behördliche Erklärungsbild noch einmal beschreibenden Position des Altdivisionärs und den immer wieder an ihre radikalen Thesen sich festklammernden jüngeren Historikern .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADV;tun;3;NZZ_1997_06_18_a156_seg7_s15;5;Full|3|Pl|Past|Ind;Immer wieder taten sich beinahe unglaublich anmutende Lücken auf .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VAFIN;ADV;haben;2;NZZ_1997_06_23_a133_seg9_s14;4;Haben|3|Sg|Pres|Ind;beispielsweise hat sich beinahe unbemerkt vor den lange gehätschelten Teamleader Francesco Casagrande geschlichen .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADV;schwappen;5;NZZ_1999_03_27_a256_seg3_s13;6;Full|3|Sg|Pres|Ind;Die Begeisterungswelle in Chur schwappt beinahe über : für das erste Spiel sind an die 4000 Karten abgesetzt worden .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADV;verdoppeln;32;NZZ_1995_03_25_a91_seg7_s11;31;Full|Psp;Die Autokonzerne sehen auch kein ernsthaftes Hindernis im Umstand, dass sich die durchschnittlichen Autopreise nach Angaben des Handelsministeriums in Washington in den letzten Jahren auf rund 20 000 $ beinahe verdoppelt haben sollen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADV;stürzen;23;NZZ_1995_05_24_a177_seg3_s3;18;Full|-2;Zwei Einzelzeitfahren sowie einige coupierte Abschnitte und eine einzige Bergankunft haben genügt, um die zweitgrösste Landesrundfahrt beinahe in die Lethargie zu stürzen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVPP;ADV;erreichen;10;NZZ_1993_12_09_a170_seg3_s3;7;Full|Psp;Vor 2 Jahren hatte der Gewinn beinahe die Milliardengrenze erreicht .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVPP;ADV;kosten;27;NZZ_1997_02_11_a8_seg4_s6;24;Full|Psp;Der Regierungschef wird in nächster Zeit alle Hände voll damit zu tun haben, die politischen Folgen eines Immobilienskandals, der ihm nun beinahe das Amt gekostet hätte, weiter einzudämmen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVFIN;ADV;entstehen;12;NZZ_1995_03_09_a181_seg4_s5;11;Full|3|Sg|Pres|Ind;"In Teilen Ihrer Aufzeichnungen wird fast eine Ferienlandschaft lebendig ; beinahe entsteht das Bild der « Tessiner Sonnenstube » .";prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
