Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVINF;ADJD;gestalten;31;NZZ_1997_02_05_a32_seg5_s3;28;Full|-2;Als man eine Alternative - beispielsweise Goldsprays - zu erwägen begann, sei die Diskussion um die Nazigelder entbrannt, und man habe beschlossen, die Lokomotive gänzlich anders zu gestalten, sagte Kräuchi gegenüber der Nachrichtenagentur SDA .;nd;nd;not of interest;ModADV;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;verzichten;3;NZZ_1999_05_22_a161_seg3_s24;5;Full|3|Sg|Pres|Ind;Die Schau verzichtet fast gänzlich auf Erklärungen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVIZU;ADJD;anheimfallen;19;NZZ_1995_07_08_a136_seg3_s10;18;Full|zu;Einmal mehr erweist sich dabei der Mut zur Lücke als der einzige Weg, den Klischees nicht gänzlich anheimzufallen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVINF;ADJD;nehmen;16;NZZ_1998_11_25_a4_seg9_s2;12;Full|-2;Man kann jedoch wohl davon ausgehen, dass die Rhetorik nicht gänzlich zum Nennwert zu nehmen ist .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVIZU;ADJD;abschneiden;26;NZZ_1998_08_10_a9_seg10_s4;18;Full|zu;Es sei der Polizei gelungen, die Aktivitäten der Islamisten stark zurückzuschrauben und die wenigen verbleibenden Gruppen gänzlich von der Versorgung mit Geld und Waffen abzuschneiden .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVINF;ADJD;verbieten;16;NZZ_1996_10_03_a46_seg11_s1;14;Full|-2;Auch im Ständerat stiess die Initiative der SP, die Ausfuhr von Kriegsmaterial gänzlich zu verbieten, auf kein Verständnis .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVPP;ADJD;übernehmen;7;NZZ_1998_10_09_a96_seg6_s3;6;Full|Psp;Zehn Banken wurden vom Fobaproa gänzlich übernommen, bei zweien wurde zeitweilig interveniert .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;unterbinden;14;NZZ_1997_08_23_a7_seg6_s1;13;Full|Psp;Zwar besitzt man in Israel einiges Verständnis dafür, dass Terrorakte nicht gänzlich unterbunden werden können .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;stehen;2;NZZ_1998_01_31_a241_seg3_s11;5;Full|3|Sg|Past|Ind;Zunächst stand es nämlich gänzlich im Schatten der ersten Kreation des Hauses mit Namen « Cour-Joie » .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;enttäuschen;11;NZZ_1995_06_19_a151_seg3_s8;14;Full|3|Sg|Past|Ind;Während der Hengst die Erwartungen als Zweiter einigermassen erfüllte, enttäuschte die Stute gänzlich .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
