Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVINF;ADJD;bewähren;17;NZZ_1996_09_25_a195_seg4_s13;15;Full|-2;Seit langem hatte sich die Equipe auf zahlreichen Ebenen und an vielen Fronten schier pausenlos zu bewähren .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;dauern;8;NZZ_1998_01_10_a172_seg3_s6;9;Full|3|Sg|Pres|Ind;« Yume », der Traum, dauert pausenlos anderthalb Stunden, 90 Minuten, die im Flug vergehen .;extern;kausal;done;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADJD;löschen;18;NZZ_1997_05_17_a72_seg1_s13;15;Full|-2;So präsentierte sich die Regierungsmannschaft Juppés von Anfang an wie eine Feuerwehr, die pausenlos budgetäre Brände löschen und gleichzeitig ganz unzimperlich an der Fiskalschraube drehen musste, damit für die laufende Periode ein Staatsdefizit von maximal 3% kein Ding der Unmöglichkeit bleibt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;schaffen;12;NZZ_1997_04_11_a225_seg48_s11;7;Full|Psp;Hatten 10 179 Besucher vorher noch pausenlos einen grossartigen akustischen Rahmen geschaffen, herrschte unvermittelt absolute Stille, welche die Spannung zusätzlich steigerte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;spielen;6;NZZ_1998_10_06_a295_seg6_s7;8;Full|3|Pl|Pres|Ind;Aber auch die anderen Figuren spielen nicht pausenlos Wie-ist-es-denn-jetzt-in-Berlin, sondern sind einfach da, eingefallen in diese Stadt und flugs wieder verschwunden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;durchlaufen;21;NZZ_1998_09_16_a179_seg4_s15;12;Full|3|Sg|Pres|Ind;Der Autor spielt mit dem Gefühlsspektrum des Lesers, der fast pausenlos ein Wechselbad zwischen Faszination, Ungeduld und Widerwillen durchläuft .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADJD;ausrufen;48;NZZ_1994_06_20_a149_seg3_s13;40;Full|3|Sg|Past|Ind;Die Indizien hatten sich mit jedem Tag dermassen gegen ihn erhärtet, dass die Polizei von Los Angeles den kurz zuvor noch mit den beiden Kindern aus besagter Ehe am Begräbnis erschienenen und danach untergetauchten « Helden » mit pausenlos an den Bildschirmen repetierten Appellen zur Suche ausrief .;nd;nd;not of interest;ModADJ;frei;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADJD;regnen;18;NZZ_1995_01_30_a132_seg4_s4;17;Full|3|Sg|Pres|Ind;Das tun sie denn auch reichlich, vor allem wenn es - wie zurzeit - fast pausenlos regnet und das Wetter nicht zu einem Stadtbummel einlädt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;tönen;15;NZZ_1998_12_03_a219_seg3_s7;8;Full|3|Pl|Pres|Ind;Nie fehlt das Radio, aus dem pausenlos die letzten Neuigkeiten und karibische Klänge tönen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;unterstützen;9;NZZ_1999_09_02_a79_seg3_s13;20;Full|3|Pl|Pres|Ind;Inzwischen forschen die von schweizerischen und amerikanischen Experten unterstützen Ermittler des kanadischen Transportation Safety Board ( TSB ) weiterhin pausenlos nach der Absturzursache .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVFIN;ADJD;laufen;4;NZZ_1994_02_23_a210_seg5_s13;8;Full|3|Sg|Pres|Ind;An manchen Tagen läuft die Waschmaschine fast pausenlos .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVFIN;ADJD;werben;6;NZZ_1999_12_07_a257_seg12_s7;11;Full|3|Sg|Pres|Ind;Coca-Cola heisst immer Coca-Cola und wirbt immer für Getränke, pausenlos .;nd;nd;not of interest;Parenthese;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVPP;ADJD;wiederholen;35;NZZ_1995_02_21_a150_seg2_s4;34;Full|Psp;Doch auf das Musikalische reduziert, erwies sich das Stück als zu substanzarm, zu sehr beherrscht von einem kurzen rhythmischen Motiv, das - bei unterschiedlicher harmonischer Dichte und Instrumentation - fast pausenlos wiederholt wird .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVPP;ADJD;bemängeln;20;NZZ_1999_10_26_a186_seg3_s20;13;Full|Psp;Wenn zum Beispiel der « Blick » -Reporter X in seinen Hetzartikeln pausenlos das technische Niveau der meisten Nationalliga-Fussballer bemängelt, so hat das weniger mit den Kritisierten selber zu tun als mit der Tatsache, dass Herr X im Grunde seines Herzens alle Berufsfussballer ausnahmslos hasst, weil er es im Zuge seiner eigenen Aktivlaufbahn nicht zum Ronaldo, sondern bloss unter dem Kosenamen « Die Blutgrätsche » bis auf die Ersatzbank der Zürcher Sportjournalisten-Auswahl gebracht hat .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVFIN;ADJD;öffnen;2;NZZ_1999_08_25_a168_seg3_s19;11;Full|3|Pl|Past|Ind;Deshalb öffneten sich bei den am Montag geladenen Herren fast pausenlos die Reissverschlüsse - wenn auch nur andeutungsweise -, und was dabei herauskam, das reizte, einem nicht umzubringenden Tabu sei Dank, fast augenblicklich zum Lachen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVINF;ADJD;hören;21;NZZ_1994_01_08_a103_seg5_s4;15;Full|-2;In den waldreichen Aussenbezirken der Stadt, wo die reichsten Wohnviertel liegen, waren pausenlos die Sirenen der Rettungsfahrzeuge zu hören .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVFIN;ADJD;reden;20;NZZ_1997_05_24_a215_seg12_s4;17;Full|3|Sg|Pres|Ind;Gewiss ist da ein Bedürfnis nach ausgleichender Gerechtigkeit spürbar, mitten in einer Gegenwart, die pausenlos von allem redet, aber höchstens drei bis vier Namen pro Sparte sich zu merken bereit ist .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
18;VVPP;ADJD;beschäftigen;13;NZZ_1999_06_19_a265_seg6_s3;11;Full|Psp;Wichtig ist nicht zuletzt auch der vierte Mann, der pausenlos damit beschäftigt ist, mit einem Plasticbehälter Wasser aus dem Boot zu schöpfen, das in Brechern über die Bordwand schiesst und durch sämtliche Ritzen eindringt .;nd;nd;not of interest;prädikativ ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
19;VVFIN;ADJD;fliegen;2;NZZ_1995_06_24_a210_seg3_s4;3;Full|3|Pl|Pres|Ind;Sie fliegen pausenlos durch die Luft und krächzen so laut, dass sich der treue Johannes die Ohren zuhalten muss .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVFIN;ADJD;gehen;2;NZZ_1996_11_08_a77_seg13_s1;9;Full|3|Sg|Pres|Ind;Trotzdem geht die Kampagne gegen die Schweiz fast pausenlos weiter, zum Teil mit immer abstruseren Ansinnen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
21;VVFIN;ADJD;fahren;15;NZZ_1995_01_09_a18_seg6_s12;11;Full|-2;Zu Fuss geht es zum grossen Lagertor, durch das pausenlos Mannschafts- und Zisternenwagen fahren und die Umstehenden mit einem feinen Dreckschleier überziehen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
22;VVPP;ADJD;verhören;11;NZZ_1994_12_24_a33_seg4_s2;10;Full|Psp;Der Untersuchungsrichter hatte Conde während der ganzen Woche praktisch pausenlos verhört und kam zum Schluss, dass hinreichender Verdacht auf Betrug und Veruntreuung bestehe, um die Haft zu verfügen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
23;VVFIN;ADJD;wechseln;11;NZZ_1994_06_06_a120_seg3_s13;12;Full|1|Sg|Pres|Ind;Variante 2 : Ich setzte die dunkle Sonnenbrille auf und wechsle pausenlos den Kiosk .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
24;VVPP;ADJD;ausrufen;12;NZZ_1998_07_30_a118_seg3_s7;4;Full|Psp;Wenn in Amerika pausenlos die « era of sound bites » ausgerufen wird, dann sind damit allerdings nicht in erster Linie die Politiker gemeint, sondern die Medien : Nicht nur die Redenschreiber in Washington sind stolz auf ihre Klangbissen - so lautet die wörtliche Übersetzung von « sound bites » -, sondern auch Journalisten .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
25;VVINF;ADJD;hinweisen;8;NZZ_1995_09_08_a10_seg3_s9;6;Full|-2;Die Gegner der Sezession werden pausenlos darauf hinweisen, dass man über eine neue Partnerschaft mit dem Rest Kanadas nicht in der Provinz allein entscheiden könne .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
26;VVFIN;ADJD;preschen;9;NZZ_1999_11_22_a144_seg4_s9;13;Full|3|Sg|Past|Subj;Denn das Kraftpaket auf der rechten Luzerner Aussenbahn preschte von Beginn weg pausenlos vor, forderte ein ums andere Mal energisch den Ball, weckte damit seine Kollegen aus einer gewissen Lethargie, und mit der ersten Chance, natürlich von Lubamba schon nach sechs Minuten perfekt vorbereitet ( von Frei aber noch nicht genutzt ), stieg auch der Glaube an einen Sieg sprunghaft an .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VMFIN;ADJD;müssen;15;;11;Mod|3|Pl|Pres|Ind;, Genf ) fragt sich, ob tatsächlich grundsätzliche Überzeugungen pausenlos Referendumsdrohungen geopfert werden müssen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
28;VVINF;ADJD;verfolgen;17;NZZ_1999_12_21_a209_seg3_s9;14;Full|-2;Seit den Hallenturnieren vom letzten Januar konnten wir quer durch die Jahreszeiten praktisch pausenlos in Echtzeit verfolgen, wie irgendwo auf dieser Erde gerade auf Gras, Dreck, Wasser oder Eis von jemandem magistral, mittelmässig oder mies Ball gespielt worden ist .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
29;VVPP;ADJD;weitertreiben;6;NZZ_1997_12_12_a1_seg6_s3;5;Full|Psp;Die Rentenreform jedoch wurde pausenlos weitergetrieben, und am frühen Donnerstagmorgen konnte der Durchbruch bekanntgegeben werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
30;VVFIN;ADJD;schreien;2;NZZ_1998_04_14_a201_seg3_s18;3;Full|3|Sg|Past|Ind;Gress schrie pausenlos « vite, vite », doch der Antreiber war ein Rufer in der ( Schnee- ) Wüste .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
31;VVPP;ADJD;herausfordern;10;NZZ_1993_08_14_a80_seg7_s19;9;Full|Psp;Der Chor ist dynamisch und im Ambitus fast pausenlos herausgefordert, mit Bezügen zum Dies-irae-Motiv .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
32;VVPP;ADJD;besetzen;12;NZZ_1996_12_24_a27_seg7_s3;11;Full|Psp;Die Telefonlinie der beiden Auskunftspersonen ist jedenfalls in der Vorweihnachtszeit pausenlos besetzt .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VVFIN;ADJD;finden;9;NZZ_1995_05_17_a107_seg7_s9;10;Full|3|Pl|Past|Ind;Hiervon boten die Euro-Pop-Days immense Anwendungsmöglichkeiten : Tagsüber fanden pausenlos Listening Sessions statt, deren « Experten-Moderation » allerdings vor allem die Beliebigkeit der meisten popmusikalischen Bewertungskriterien unterstrich .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
34;VVFIN;ADJD;versuchen;9;NZZ_1993_04_21_a43_seg8_s9;10;Full|3|Pl|Pres|Ind;"Der Rest der Tiere ist unbrauchbar ; sie versuchen pausenlos aus den Zuchtbecken zu entweichen und fressen fast nichts .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
35;VVFIN;ADJD;ziehen;2;NZZ_1999_11_09_a143_seg3_s20;3;Full|3|Sg|Pres|Ind;"Er zieht pausenlos um, mit Schwerpunkten zuerst in Norddeutschland, später in Hessen ; einigermassen sesshaft wird er erst 1941 : in Göttingen, wo ihn vor allem die Bibliothek festhält ; denn immer mehr wird er zum Universalgelehrten - ohne darüber zu vergessen, dass er ( soll man sagen : « eigentlich » ? )";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
36;VVFIN;ADJD;suchen;9;NZZ_1997_01_09_a133_seg3_s15;8;Full|3|Pl|Past|Ind;Fast pausenlos waren die Telefonleitungen besetzt, pausenlos suchten Autohalter um Rat nach .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
37;VVFIN;ADJD;schaffen;13;NZZ_1999_07_01_a153_seg8_s11;11;Full|3|Sg|Pres|Ind;Das passt nicht schlecht zu einer Musik, die einerseits pausenlos Bedeutung schafft, andererseits als Rohstoff für den Dancefloor einem sympathisch profanen Verwendungszweck dient und inzwischen die höchsten Ebenen des Recyclings erreicht hat .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
38;VVPP;ADJD;beschäftigen;39;NZZ_1997_08_23_a221_seg7_s46;38;Full|Psp;Zum Sammeln der Tiere holperte er mit Jeep und Lastwagen 47 000 Kilometer über ausgewaschene Pisten, während Emy im Camp mit heisser Asche gegen Treiberameisen kämpfte und mit dem Füttern und Beobachten der vielen Tiere fast pausenlos beschäftigt war .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
39;VVFIN;ADJD;sitzen;37;NZZ_1994_10_17_a106_seg7_s6;34;Full|3|Sg|Pres|Ind;Die Zahl der Beratungsgespräche 1993 stieg auf 1802 ( davon 7 Prozent mit Ausländern ) - was immer wieder dazu führt, dass die Tagesberaterin oder der Tagesberater alles andere liegenlassen muss und pausenlos am Telefon sitzt oder Leute in Empfang zu nehmen hat, die ebenso hilflos wie unangemeldet vor der Türe stehen oder auch mit Geldwünschen kommen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
