Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVINF;ADJD;kreisen;48;NZZ_1998_01_05_a88_seg3_s30;46;Full|-2;Die Arie Henry Purcells, die der Butler alias Lynton Black ( noch nie hat man einen Opernsänger so hervorragend spielen gesehen und so wenig singen gehört ) unter dem Porträt des Komponisten ( links ) leiert, kommt noch arg ins Schlottern und beginnt unablässig zu kreisen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;gelangen;13;NZZ_1996_07_19_a69_seg6_s2;20;Full|3|Pl|Pres|Ind;Während das belgische Parlament im Eiltempo Sondervollmachten für die Regierung absegnet, gelangen aus den Reihen des schwarz-roten Kabinetts unablässig « Versuchsballons » in die Öffentlichkeit, die ausschliesslich mit neuen Steuerideen befrachtet sind .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADJD;stören;9;NZZ_1994_10_25_a78_seg3_s4;11;Full|3|Pl|Pres|Ind;Hehre Erbauung lassen sie nicht zu, sie stören sie unablässig durch jene erfrischende Respektlosigkeit, die an Bernard Shaws Deutung von Wagners « Ring » erinnert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;predigen;10;NZZ_1999_03_16_a90_seg13_s9;5;Full|Psp;Schon seit Jahren wird unablässig eine Diversifizierung der Produktionsstruktur gepredigt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;ziehen;43;NZZ_1997_10_14_a20_seg4_s3;40;Full|3|Pl|Pres|Ind;Regenfälle und günstige Windverhältnisse haben gleichzeitig auch der malaysischen Hauptstadt Kuala Lumpur etwas Erleichterung gebracht, doch während der gut sechs Stunden dauernden Eisenbahnfahrt von Singapur nach Kuala Lumpur dominieren zwei Farben, das Grün der Palmölplantagen, die unablässig am Zugfenster vorbeziehen, sowie das eintönige Grau des dichten Dunstschleiers, der nach wie vor wie Hochnebel über weiten Gebieten der malaysischen Halbinsel liegt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;fordern;34;NZZ_1996_10_08_a152_seg2_s20;33;Full|3|Sg|Past|Ind;Passarela nominierte daraufhin Berrizo und Galvan ( von Racing ) nach, die Medienkritiker erinnerten Bilardo an jene glorreichen Zeiten, als er selber das Amt des « Seleccionador » innehatte und unablässig forderte, die Klubs müssten sich den Interessen der Nationalmannschaft unterordnen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADJD;schwadronieren;3;NZZ_1997_11_04_a121_seg3_s15;5;Full|3|Sg|Pres|Ind;Und dann schwadroniert er unablässig : Die Rezitation eines Rilke-Gedichts - « passend zur Dekoration » - kündigt er an, unterlässt sie aber immer wieder, wirft Zitattrümmer von verschiedenen Autoren ein, hat Lebensweisheiten im Sechserpack parat und kokettiert ohne Ende mit seinem Alter .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADJD;vervielfachen;35;NZZ_1999_09_30_a140_seg5_s18;34;Full|3|Pl|Pres|Ind;"Es impliziert bereits ein Stück Kulturkritik - eine Phänomenologie der sogenannten Globalisierung ; des ungehemmt sich entfaltenden Kapitalismus ; der funktional gesteigerten Arbeitswelt ; schliesslich der virtual reality, welche die neuen Medien unablässig vervielfachen .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;warnen;8;NZZ_1997_09_17_a72_seg6_s2;10;Full|3|Pl|Pres|Ind;Vor allem Wirtschaftsminister Wijers und Finanzminister Zalm warnen jedoch unablässig vor überzogener Selbstzufriedenheit, die angesichts der überschäumenden Bewunderung aus dem Ausland nur allzu verlockend ist .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVIMP;ADJD;zitieren;18;NZZ_1998_11_20_a142_seg3_s11;22;Full|3|Sg|Pres|Ind;"« Mädchen sind wie Blumen ; setzen wir sie der Sonne aus, verwelken sie », zitiert der sehbehinderte Vater unablässig die in lyrische Phrase verklärte Regel der traditionellen persischen Lebensweise .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVFIN;ADJD;nehmen;9;NZZ_1999_12_16_a18_seg6_s4;11;Full|3|Pl|Pres|Ind;Die russischen Truppen haben die Stadt eingekesselt und nehmen sie unablässig unter Beschuss .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVFIN;ADJD;schlagen;53;NZZ_1994_09_16_a19_seg10_s8;49;Full|3|Pl|Past|Ind;"Der Anblick von Nato-Truppen wie jenen der Amerikaner in Polen mutete gleichwohl ganz ungewöhnlich an ; auf der militärischen Alltagsebene schien sich für die Teilnehmer aus ehemals konträren Bündnissystemen fast schon eine Routine eingespielt zu haben, nicht zuletzt dank den vielen amerikanischen Reserveoffizieren polnischer Herkunft, die unablässig als Sprachpioniere Brücken schlugen .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVFIN;ADJD;begleiten;36;NZZ_1999_07_29_a132_seg6_s3;43;Full|Psp;Herr Direktor Strasser - André Jung mit einer Bananenschale in der Hand - schlurfte durch die Szene und brach auf der Rezeptions-Kanzel seines heruntergekommenen Etablissements in Tränen aus, derweil Jürg Kienberg am Tasteninstrument, begleitet vom Gejaule der beiden Angestellten, unablässig « Don ' t cry for me Argentina » wummerte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVFIN;ADJD;anpreisen;33;NZZ_1997_06_13_a181_seg3_s13;31;Full|3|Sg|Pres|Ind;Bedeutung und Glanz werden angestrebt, wenn das Hamburger Management in Tateinheit mit dem live übertragenden Bezahl-Kanal « Premiere », zu Zeiten der RTL-Ikone Maske immer zweiter Sieger, unablässig Einmaligkeiten anpreist .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
