Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVIZU;ADJD;aufladen;18;NZZ_1998_01_03_a36_seg2_s39;17;Full|zu;Die Nachführung der Verfassung zum Anlass staatlicher oder gesellschaftlicher Neuorientierungen zu machen und sie auf Parlamentsebene politisch aufzuladen wäre töricht .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVINF;ADJD;bekennen;20;NZZ_1993_08_07_a12_seg8_s3;18;Full|-2;Danach dürfte die Koalition an ihrem Programm feilen , denn früher oder später wird die neue Regierung politisch Farbe bekennen müssen .;prozess;methodenorientiert;done;ambig F/M;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVIZU;ADJD;ausnutzen;27;NZZ_1994_12_23_a6_seg6_s8;26;Full|zu;Die wichtigste spanische Oppositionspartei , der konservative Partido Popular ( PP ) , hat den überraschend wieder aktuell gewordenen « Fall GAL » bisher nicht politisch auszunutzen versucht .;prozess;methodenorientiert;done;Stellung;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;kaltstellen;32;NZZ_1998_06_08_a178_seg5_s8;31;Full|Psp;In der Biographie wird auch erwähnt , dass Sarabhai , die Jawaharlal Nehru ein Leben lang tief verehrt hat , von ihm in den fünfziger Jahren unter Hausarrest und damit politisch kaltgestellt wurde , weil sie im Kaschmir-Konflikt die falsche , nämlich die muslimische Seite unterstützt hatte .;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;fühlen;2;NZZ_1997_03_11_a65_seg2_s5;4;Full|3|Sg|Pres|Subj;Er fühle sich politisch unterdrückt , gab er laut dem Geschäftsführer der Fluglinie an .;proposition;Frameadverbial;done;ambig F/M;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;engagieren;5;NZZ_1999_10_19_a147_seg25_s2;4;Full|3|Pl|Pres|Ind;Warum sich Junge politisch engagieren .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVPP;ADJD;motivieren;24;NZZ_1998_11_28_a11_seg5_s2;23;Full|Psp;Nach dem Gespräch teilte Cook mit , er habe Insulza versichert , dass weder die Festnahme Pinochets noch die daraus erfolgten Entscheidungen politisch motiviert gewesen seien .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;verpflichten;8;NZZ_1993_12_30_a48_seg8_s10;6;Full|Psp;Dazu hat sich die Landesregierung politisch bereits verpflichtet .;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVIZU;ADJD;einstehen;15;NZZ_1999_04_29_a181_seg8_s2;13;Full|zu;Fritschi ermunterte seine Fliegerkollegen , für die Sache der Leichtfliegerei , auch politisch , einzustehen und sich durch Anfechtungen nicht aus der Ruhe bringen zu lassen .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;verhalten;2;NZZ_1998_05_09_a31_seg13_s34;8;Full|3|Pl|Past|Ind;Wie verhielten sich die palästinensischen Araber Israels politisch ?;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
