Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
42;VVFIN;ADV;--;16;NZZ_1996_06_06_a174_seg3_s18;12;Full|1|Sg|Pres|Ind;Und : « Ich arbeite hart für mein Geld, und anders als viele andere versteuere ich es auch . »;nd;nd;not of interest;false hit;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
139;VVPP;ADV;--;24;NZZ_1998_10_31_a55_seg7_s5;15;Full|Psp;Die Folge war, dass die Sektionen zu einer Routineangelegenheit wurden und dass - anders als heute - damals grundsätzlich jeder verstorbene Klinikpatient obduziert wurde .;nd;nd;not of interest;"Vergleich; Parenthese; wrong head";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
41;VVIZU;ADV;abwenden;15;NZZ_1999_01_23_a55_seg4_s2;13;Full|zu;Dürfen wir es dann, wenn es schwere Krankheiten gibt, die anders nicht abzuwenden wären ?;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VVPP;ADV;anführen;11;NZZ_1996_10_31_a22_seg6_s13;6;Full|Psp;Nie habe er eine Mission anders als an der Spitze angeführt .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
127;VVPP;ADV;angehören|anhören;35;NZZ_1996_09_20_a7_seg15_s2;17;Full|Psp;Die Palästinenser verstehen solche Gesten der Regierung Netanyahu als Hinweis darauf, dass sie nun, anders als in den Zeiten von Rabin und Peres, bei strategischen Entscheiden über Cisjordanien überhaupt nicht mehr angehört werden, sondern weiter unten in der Stufenleiter ausführender Organe angesiedelt sind .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
148;VMFIN;ADV;anwenden;20;NZZ_1994_08_20_a119_seg24_s35;19;Mod|2|Pl|Pres|Ind;Wenige Tage vor seinem Tod beklagt er : « Ach könnte ich mein Leben wieder zurückrufen, wie anders wollt ' ich ' s anwenden !;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVINF;ADV;aufbringen;29;NZZ_1998_06_08_a23_seg8_s15;13;Full|-2;Befürchtet wird zudem, dass der neue Wirtschafts- und Finanzminister Baca - anders als sein eiserner Vorgänger Camet - nicht genügend Standfestigkeit gegenüber den Begehrlichkeiten von Präsident Fujimori aufbringen wird .;nd;nd;not of interest;"Vergleich; Parenthese";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADV;ausdrücken;3;NZZ_1999_07_31_a204_seg8_s18;2;Full|Psp;Oder anders ausgedrückt : Das kontrollierte Doping ist wohl schon alltäglich .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVPP;ADV;ausdrücken;26;NZZ_1994_06_23_a185_seg8_s1;25;Full|Psp;Auch nach dem Seitenwechsel blieb das Spiel offen, wobei die Schweizer mehrheitlich das Geschehen bestimmten - zweikampfstark, organisiert und mutig - oder anders ausgedrückt : wie in guten alten Zeiten .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADV;ausdrücken;32;NZZ_1994_10_01_a80_seg9_s7;31;Full|Psp;Mambelli führt in ihrer Arbeit aus, dass heutzutage nicht die Qualität der gebotenen Leistung ausschlaggebend sei, ob Restaurants und Bars frequentiert werden, sondern die Ambiance oder, anders ausgedrückt, die Freundlichkeit, welche im Lokal vorherrsche .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
200;VVPP;ADV;ausdrücken;3;NZZ_1993_04_06_a72_seg2_s25;2;Full|Psp;Oder anders ausgedrückt : Dass der VfB Stuttgart als Titelhalter auf dem neunten Tabellenplatz rangiert - ist dies wirklich keinem einzigen Stuttgarter Spieler anzukreiden ?;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVINF;ADV;ausfallen;17;NZZ_1999_03_25_a14_seg5_s16;16;Full|-2;Nunmehr könnte seine Gewichtung angesichts des von den Lordrichtern ausgelösten weitgehenden Kollapses der spanischen Anklage anders ausfallen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVPP;ADV;ausfallen|ausgefallen;6;NZZ_1998_01_19_a110_seg3_s20;5;Full|Psp;Vielleicht wäre die Umfrage anders ausgefallen, hätte sie der Stadtrat nach der Annahme der verlängerten Ladenöffnungszeiten durch das Stadtzürcher Stimmvolk durchgeführt .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
25;VVINF;ADV;ausgehen;5;NZZ_1999_08_24_a80_seg6_s2;4;Full|-2;Dass die Hauptsache anders ausgehen kann als das Verfahren auf Erlass einer einstweiligen Massnahme, ist eine Binsenwahrheit, wenn sich neue Tatsachen ergeben .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
110;VMINF;ADV;ausgehen;9;NZZ_1996_02_13_a120_seg3_s32;6;Mod|-2;Dass immer alles auch ganz anders hätte ausgehen können, das wissen wir zwar, das lassen wir uns aber gerne noch einmal erzählen und beweisen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
135;VVINF;ADV;ausmachen;21;NZZ_1999_09_14_a127_seg3_s12;20;Full|-2;Braun gehört zu jenen Dichter-Stimmen, deren scheinbar unzeitgemässes Lamentieren sich unter dem wachsenden Abstand der Zeit vielleicht einmal anders ausmachen wird - auch in bezug auf die literarische Gewichtung .;prozess;rein;not of interest;sd;;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
28;VVINF;ADV;aussehen;6;NZZ_1996_09_21_a186_seg9_s13;5;Full|-2;Sie würde auch ganz anders aussehen, aber nun habe ich die « 24 besten Spieler der Welt » und mit denen arbeite ich .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
40;VVFIN;ADV;aussehen;6;NZZ_1998_03_06_a228_seg4_s27;5;Full|3|Sg|Pres|Ind;Ob das dann ganz anders aussieht in Old Trafford ?;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
48;VVINF;ADV;aussehen;6;NZZ_1999_03_18_a35_seg10_s12;5;Full|-2;Die Realität wird jedoch anders aussehen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
50;VVINF;ADV;aussehen;13;NZZ_1998_09_15_a173_seg4_s28;12;Full|-2;Millionenteure Entschädigungszahlungen an die betroffenen Grundeigentümer würden die Rechnung am Flughafen anders aussehen lassen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
51;VVPP;ADV;aussehen;25;NZZ_1998_11_18_a3_seg6_s2;24;Full|Psp;Im Jahre 1994, nach dem grossen Sieg Gingrichs und seiner Mitkämpfer für die « Republican Revolution », hatte alles noch ganz anders ausgesehen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VVFIN;ADV;aussehen;15;NZZ_1994_08_30_a44_seg5_s15;14;Full|-2;Politisch mag das Bild, wie das Beispiel Polens zeigt, unter Umständen anders aussehen .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVFIN;ADV;aussehen;20;NZZ_1999_08_11_a208_seg11_s4;19;Full|3|Sg|Pres|Subj;Professor Willke bedauert, dass gerade in bezug auf Zuständigkeit und Verantwortung im Betrieb die Praxis oft ganz anders aussehe als bei Mettler-Toledo .;prozess;rein;done;;notwendig;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
142;VVFIN;ADV;äußern;3;NZZ_1997_04_12_a9_seg4_s4;10;Full|3|Sg|Past|Ind;Offensichtlich verstimmt äusserte sich Erdmann zur Entscheidung Griechenlands, anders als die übrigen EU-Staaten seinen Botschafter in Teheran nicht zur Berichterstattung zurückzurufen .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
154;VVINF;ADV;bearbeiten;38;NZZ_1993_12_04_a64_seg14_s18;37;Full|-2;Als der Verlagslektor von einem Abdruck der für die « Wanderer » -Sammlung eingereichten, in nüchtern-lakonischem Berichtsstil gehaltenen Geschichte abrät, lässt Böll ihn wissen, er werde « wahrscheinlich das schöne Thema irgendwann einmal anders bearbeiten » - was dann im achten Kapitel von « Wo warst du, Adam ? »;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
22;VVFIN;ADV;befinden;10;NZZ_1999_06_07_a23_seg8_s4;6;Full|3|Sg|Pres|Ind;Heute ist das politische Umfeld anders : Am Ruder befindet sich als stärkere Regierungspartei seit anderthalb Jahren die Solidarität .;nd;nd;not of interest;"prädikativ; wrong head";;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
54;VVPP;ADV;begegnen;14;NZZ_1999_02_26_a215_seg3_s3;13;Full|3|Sg|Pres|Ind;Es liegt auf der Hand, dass man mir als FCZ-Trainer jetzt anders begegnet .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
140;VVPP;ADV;behandeln;23;NZZ_1996_02_22_a45_seg2_s2;20;Full|Psp;Die Anrufer, so Hänsenberger, seien nun gewarnt und könnten keine Illusionen darüber haben, dass ihre Anliegen anders als spasseshalber behandelt würden .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
88;VVFIN;ADV;beleuchten;31;NZZ_1999_11_23_a130_seg3_s39;30;Full|3|Sg|Past|Ind;Wie er die Motivik in Thelonious Monks « Blue Monk » oder « ' Round Midnight » auseinandernahm und auf völlig überraschende Weise neu zusammensetzte, Monks Harmonik ganz anders beleuchtete, das war hohe Schule der Standard-Improvisation .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
163;VVPP;ADV;benutzen;27;NZZ_1994_12_05_a29_seg12_s1;26;Full|3|Sg|Pres|Ind;"Hält jemand der regierenden Partei vor, dass sie auf die Presse Druck ausübt und dass Präsident Tudjman das Fernsehen zur Absicherung seiner Macht nicht anders benutzt als der serbische Präsident in Belgrad, dann erhält man die Antwort, dass die Vorwürfe ungerechtfertigt seien ; die Verfassung garantiere die Pressefreiheit .";prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
183;VVPP;ADV;besetzen;17;NZZ_1997_04_14_a126_seg4_s17;16;Full|Psp;Die Interpreten und Interpretinnen der verschiedenen Rollen - in den folgenden Aufführungen werden sie teilweise anders besetzt - wusste das Kammerensemble Junge Schweizer Musiker ( Leitung : Veronica Scully ) trotz einigen technischen Unsauberkeiten mit dem Gefühl für die knappe und treffende Formulierung sorgfältig zu begleiten .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
87;VVFIN;ADV;betrachten;12;NZZ_1997_05_09_a179_seg3_s12;23;Full|3|Pl|Pres|Ind;Die Deutschen, Tschechen, Belgier und Holländer von Schalke 04 betrachten sich und ihre Art Fussball, speziell in solchen Europacup-Nächten anders .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
182;VVPP;ADV;beurteilen;50;NZZ_1998_03_11_a149_seg3_s16;49;Full|Psp;Deutlich hat dies Lyall Watson in seinem Buch über die « Naturgeschichte des Bösen » hervortreten lassen : Wir müssten an der Menschheit verzweifeln, wenn wir ihre destruktiven Kräfte nicht irgendwie als etwas auffassen könnten, das bereits seinen Lauf in der Natur genommen hat und daher anders beurteilt werden muss als rein moralisch .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
