Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;säuseln;6;NZZ_1995_08_15_a142_seg3_s14;10;Full|3|Sg|Pres|Ind;Nach dem Druck aufs Knöpfchen säuselt der gebläsegekühlte Einzylinder-Viertaktmotor leise vor sich hin .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;lachen;14;NZZ_1993_02_20_a152_seg2_s57;15;Full|3|Sg|Pres|Ind;Wie ein Kind, murmelt er, der Hüter ihres Schlafs, und lacht leise .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADJD;sprechen;3;NZZ_1999_07_13_a193_seg3_s11;4;Full|3|Sg|Pres|Ind;Der Gefragte spricht leise und in knappen Sätzchen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVFIN;ADJD;ausfallen;7;NZZ_1994_09_06_a131_seg4_s16;9;Full|3|Sg|Past|Ind;Der Zwischenruf eines Journalisten im Hintergrund fiel derart leise aus, dass er kaum vernommen wurde : « Wenn einzelne Mitglieder des Zürcher Stadtrates weniger prozessierten und mehr politisierten, dann bliebe sogar noch Zeit für Bern . »;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;reden;2;NZZ_1995_04_01_a214_seg3_s135;4;Full|3|Pl|Pres|Ind;Sie reden so leise miteinander, dass der Mann nichts verstehen kann .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVINF;ADJD;singen;7;NZZ_1998_11_26_a138_seg3_s1;6;Full|-2;ch. h. Jewel kann sehr leise singen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADJD;diskutieren;12;NZZ_1999_11_27_a268_seg10_s17;13;Full|3|Pl|Past|Ind;[ ... ] Gelegentlich zogen sie sich wie Richter zurück und diskutierten leise .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADJD;rieseln;4;NZZ_1995_12_09_a163_seg3_s5;3;Full|3|Sg|Pres|Ind;Ob er leise rieselt oder stumm, dort, hat niemand je gehört, weitab von den Häusern und den Warenhäusern .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;bewegen;38;NZZ_1994_07_12_a9_seg6_s11;35;Full|3|Sg|Past|Ind;Vielen « Alt-Belgiern » dürfte es am Sonntag einen Stich ins Herz gegeben haben, als er an der Seite des aktivistischen flämischen Ministerpräsidenten beim Absingen der Hymne an den « flämischen Löwen » leise die Lippen mitbewegte .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;klappern;4;NZZ_1993_04_17_a137_seg2_s50;5;Full|3|Sg|Past|Ind;Sein weisser Beinring klapperte leise an den Maschendraht, so nah war er getrippelt .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
115;VVPP;ADJD;aussprechen;30;NZZ_1999_02_04_a192_seg3_s7;29;Full|Psp;Nicht ganz zufriedenstellend - aber das ist an der Generalversammlung, die von Stadtrat Thomas Wagner in Vertretung des erkrankten Präsidenten Peter Stüber geleitet worden ist, nur leise ausgesprochen worden - war auch der Publikumszuspruch .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVFIN;ADJD;sprechen;2;NZZ_1994_06_29_a18_seg5_s1;3;Full|3|Sg|Pres|Ind;Ljubijankic spricht leise und in gebrochenem Englisch .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVFIN;ADJD;gehen;15;NZZ_1998_11_14_a197_seg3_s3;17;Full|3|Sg|Past|Ind;Diese habe der junge Luc Bondy übersetzt, « aber niemals laut - es ging sehr leise zu und her » .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVPP;ADJD;anschwemmen;53;NZZ_1995_06_19_a107_seg4_s9;49;Full|Psp;Bizarr, weil eben viele Londoner sich immer noch nicht von einer anderen Illusion zu trennen vermögen : vom längst Erinnerung gewordenen Nebel am Fluss, vom unheimlichen Tuten der Schiffssirenen aus den Docks, vom Bösen, das - Cholera, Typhus oder was auch immer - leise auf dem Wasser angeschwemmt wurde, kurz : von den dunklen Geheimnissen der Themse, wie sie in Dickens ' Büchern weiterleben .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVFIN;ADJD;unterhalten;20;NZZ_1998_02_07_a170_seg13_s2;22;Full|3|Pl|Pres|Ind;Regie : Amido Hoffmann Zwei Flüchtlinge, ein Arbeiter und ein Intellektueller, sitzen im Bahnhofsrestaurant von Helsinki und unterhalten sich leise .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVFIN;ADJD;bewegen;39;NZZ_1999_11_17_a139_seg3_s1;38;Full|Psp;Als die hitzespendende Sonne / in ihrem Lauf über glitzernde Felsen / noch sichtbar war an den Flanken Merus, / da strahlte das Abendrot, / Rubinenstaub unter den Hufen der Sonnenpferde, / vom Wind leise bewegt .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVFIN;ADJD;klingen;18;NZZ_1997_10_27_a87_seg3_s24;19;Full|3|Sg|Pres|Ind;In den Erinnerungen Anna Pouzarovás, die einige Wochen später Nachfolgerin der Adressatin dieser Zeilen wurde, klingt leise an, dass in ihrem Fall wohl « spinnenfädenfeine » Bande zwischen ihr und dem « jungen Herrn » bestanden haben .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
