id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;;;;;;;;;;;
1;nzz_1995_03_09_a176_seg4_s4_hit1;Der Ärger , den Roy Hodgson im Zusammenhang mit dieser Vorbereitungspartie ohne sichtbare Regung zu schlucken hatte , akzentuierte sich auf dem Rasen nicht , wie vielleicht da oder dort befürchtet , denn die individuellen Leistungen entsprachen selbst zu diesem frühen Saisonzeitpunkt den persönlichen Standards , wenn sie im einen oder anderen Falle nicht gar höher ( als erwartet ) anzusiedeln waren . ;schlucken;regung;;done;yes;yes;rein;frei;;;;;;;;;;;
2;nzz_1995_03_14_a125_seg6_s8_hit1;Dass dieses « Divertimento » so matt und uninspiriert wirkte , hängt nicht unerheblich mit den sechs Musikerinnen und Musikern zusammen , die Mozarts Komposition ohne Konturen und ohne formgebende Phrasierung der Spur nach und mit unüberhörbaren Intonationsproblemen spielten und so den Tanz eher behinderten als stützten und befeuerten . ;spielen;phrasierung;;done;yes;yes;rein;frei;;;;;;;;;;;
3;nzz_1995_05_24_a142_seg3_s7_hit1;Die steile Karriere des Advokaten verlief ohne Knick : Mit 25 sass er im Gemeinderat , 22 Jahre später nahm er Einsitz in die Landesregierung . ;verlaufen;knick;;done;yes;yes;rein;notwendig;;;;;;;;;;;
4;nzz_1995_03_04_a57_seg5_s6_hit1;Die Kutter trieben nach den Überfällen ohne Mannschaft auf hoher See . ;treiben;mannschaft;;done;yes;yes;rein;frei;;;;;;;;;;;
5;nzz_1998_05_25_a194_seg26_s2_hit1;Die ( später auch in Bern und Zürich vertretene ) Theorie des Wirtschaftsrechts fragt ohne ideologische Verankerung nach den « rein rechtlichen » Erfordernissen der Organisation des menschenwürdigen Wirtschaftens . ;fragen;verankerung;;done;yes;yes;methode;frei;;;;;;;;;;;
6;nzz_1998_03_03_a183_seg30_s1_hit1;Investitionen ohne Konzept ;investition;konzept;;not_of_interest;no;;;;;;;;;;;;;;
7;nzz_1998_04_30_a43_seg6_s2_hit1;Das Stadtwerk kauft den nachgefragten Solarstrom auf dem freien Markt ein , um diesen an interessierte Kunden ohne Aufschlag weiterzuleiten . ;weiterleiten;aufschlag;;done;yes;yes;rein;frei;;;;;;;;;;;
8;nzz_1998_05_16_a36_seg7_s2_hit1;Einzig die CVP steht ohne Vorbehalt hinter dem Beschluss des Bundesrates , der Initiative einen Gegenvorschlag gegenüberzustellen . ;stehen;vorbehalt;anim_like;done;yes;yes;agens;frei;;;;;;;;;;;
9;nzz_1997_08_25_a139_seg3_s1_hit1;Dass nach dem 4. Spieltag der Bundesliga der Leader 1. FC Kaiserslautern heissen und der Aufsteiger als einziges Team in der Tabelle noch ohne Gegentor dastehen würde , hätte vor ein paar Wochen keiner der zahlreichen Experten getippt . ;dastehen;gegentor;;done;yes;yes;rein;notwendig;;;;;;;;;;;
10;nzz_1997_12_08_a155_seg5_s6_hit1;Die Statements der Beteiligten sind jedoch klar : Gross , Spadaro und Türkyilmaz dementieren ohne Vorbehalt . ;dementieren;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
11;nzz_1995_11_09_a176_seg2_s15_hit1;Die Tessiner , mit einem Shorthander - dem ersten in dieser Saison - zum 2 : 2-Ausgleich erfolgreich , präsentieren sich seit fünf Durchgängen ohne Niederlage . ;präsentieren;niederlage;;done;yes;yes;rein;möglich;;;;;;;;;;;
12;nzz_1995_11_04_a188_seg9_s12_hit1;"In Polen ging es darum , ob der Adler wie 1919-1945 mit oder wie 1945-1989 ohne Krone fungieren soll ; auch hier gewannen die Kronen-Anhänger . ";fungieren;krone;ambig INSTR;done;yes;yes;rein;notwendig;;;;;;;;;;;
13;nzz_1995_03_17_a17_seg6_s4_hit1;Am Dienstag erklärte Chirac ohne Vorbehalt , dass die Verträge von Maastricht nicht in Frage gestellt werden dürften und dass Frankreich , zusammen mit Deutschland , sich « imperativ » für die volle Verwirklichung der Wirtschafts- und Währungsunion einsetzen müsse , wobei er allerdings kein Stichdatum nannte . ;erklären;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
14;nzz_1995_11_04_a7_seg3_s2_hit1;Präsident Ernesto Samper gab über Radio und Fernsehen bekannt , dass die Sicherheitskräfte ermächtigt seien , Verhaftungen und Hausdurchsuchungen ohne richterlichen Befehl vorzunehmen sowie den Verkehr von Personen und Fahrzeugen im ganzen Land einzuschränken . ;vornehmen;befehl;ambig INSTR;done;yes;yes;methode;frei;;;;;;;;;;;
15;nzz_1995_06_17_a111_seg5_s12_hit1;Mit dem Regisseur stimmt der Dirigent insofern überein , als er zur handwerklichen Meisterschaft des Werks ohne Vorbehalt zu stehen scheint . ;stehen;vorbehalt;anim;done;yes;yes;agens;frei;;;;;;;;;;;
16;nzz_1996_06_08_a238_seg8_s33_hit1;Das Gift wurde wieder vergraben , diesmal ohne Plan . ;vergraben;plan;;done;yes;yes;methode;frei;;;;;;;;;;;
17;nzz_1996_06_20_a230_seg12_s5_hit1;Sie stehen meist ohne Komma . ;stehen;komma;;done;yes;yes;rein;notwendig;;;;;;;;;;;
18;nzz_1996_06_08_a57_seg7_s1_hit1;In der Sache gelangt auch das Bundesgericht einstimmig und ohne Vorbehalt zum Schluss , dass « das Verwenden eines Plagiats durch einen Lehrer im Unterricht an einer höheren Schule die Voraussetzungen für eine fristlose Auflösung des Arbeitsverhältnisses erfüllt » . ;gelangen;vorbehalt;anim_like;done;yes;yes;agens;frei;;;;;;;;;;;
19;nzz_1996_06_21_a75_seg3_s3_hit1;Die Nationalbank identifiziere sich ohne Vorbehalt mit dem BIZ-Projekt , sagte Gehrig . ;identifizieren;vorbehalt;anim_like;done;yes;yes;agens;frei;;;;;;;;;;;
20;nzz_1996_05_03_a190_seg11_s7_hit1;- Die Chicago Bulls und die New York Knicks haben die zweite Runde der NBA-Play-offs ohne Niederlage erreicht . ;erreichen;niederlage;;done;yes;yes;rein;frei;;;;;;;;;;;
21;nzz_1995_05_22_a86_seg4_s10_hit1;Karl Im Obersteg legte sich seine Sammlung ohne Berater an , liess sich allein von seinem eigenen Wissen und Empfinden tragen , kaufte Werke ohne Konzept und ohne Willen zur kunstgeschichtlichen Vollständigkeit , setzte da Schwerpunkte und liess dort Lücken . ;kaufen;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
22;nzz_1994_08_29_a39_seg4_s5_hit1;Doch dieses « Ventil » wurde der Gruppenleitung in einer den Genossenschaftern ohne konkretes Konzept vorgelegten Konsultativabstimmung 1981 verweigert . ;vorgelegt;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
23;nzz_1997_10_28_a154_seg3_s10_hit1;Der Aussenseiter aus Colorado , der vor den Play-offs sechs der letzten sieben Spiele verloren hatte und dann beinahe sensationell ohne Niederlage ins Endspiel gekommen war , gab sich alle Mühe , mutig mitzuspielen , doch am Ende machte sich die fehlende fussballerische Klasse bemerkbar . ;kommen;niederlage;;done;yes;yes;rein;frei;;;;;;;;;;;
24;nzz_1997_10_20_a102_seg9_s5_hit1;Weil fast alles ohne wirkliches Konzept zusammengeliehen ist , bleiben die Ensembles von Modigliani bis Damien Hirst additiv . ;sein;konzept;;done;yes;yes;methode;frei;;;;;;;;;;;
25;nzz_1997_09_04_a174_seg2_s8_hit1;Wenn nun die schottischen Nationalspieler dem Beispiel von Torhüter Goram und der beiden Stürmer McCoist und Durie folgen , steht Schottland am Samstag in Aberdeen ohne Mannschaft da . ;stehen;mannschaft;;done;yes;yes;rein;notwendig;;;;;;;;;;;
26;nzz_1997_10_11_a183_seg4_s5_hit1;Kaum einer der zwölf Schweizer WM-Teilnehmer ist daher ohne Erfolgserlebnis nach San Sebastián gereist . ;reisen;erfolgserlebnis;;done;yes;yes;rein;frei;;;;;;;;;;;
