Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;spinnen;17;NZZ_1994_11_03_a108_seg15_s2;14;Full|3|Sg|Pres|Ind;Die Goldmarie hat bei ihrer Stiefmutter ein hartes Leben, obwohl sie unermüdlich fleissig am Brunnenrand spinnt, bis der Finger blutet und die Spindel in den Brunnen fällt .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVIMP;ADJD;rüsten;26;NZZ_1994_11_01_a4_seg11_s12;28;Full|3|Sg|Pres|Ind;China hat sich zudem vorderhand darauf versteift, eine Einigung könne nur in individuellen, nicht in gemeinsamen Verhandlungen der Anrainerstaaten gefunden werden - und rüstet derweil fleissig weiter auf .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADJD;lektorieren;6;NZZ_1998_03_24_a120_seg3_s19;4;Full|Psp;In Berlin wurde fleissig daran lektoriert .;prozess;agensorientiert;done;ambiguous;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;arbeiten;33;NZZ_1996_03_23_a191_seg3_s15;32;Full|Psp;So ganz wohl scheint Müller dabei jedoch nicht gewesen zu sein, haben doch die Aufführungen ( fast ein Jahr später ) gezeigt, dass ganz speziell an den Frauenfiguren noch fleissig gearbeitet worden ist : Auf die Frage des alten Peer, wo denn sein Ich sein ganzes Leben über gesteckt habe, antwortet Solveig zwar Ibsen-konform « In meinem Glauben, in meinem Hoffen, in meinem Lieben », doch nun abgewandt und mit monotoner Stimme .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADJD;mitschreiben;22;NZZ_1999_08_25_a174_seg3_s9;21;Full|Psp;Zwei, drei Fragen zum Befinden, zur Hitze, zur zurückliegenden Krankheitsgeschichte, nichts Neues also, auch wenn fleissig mitgeschrieben wird, wenn Kipketer mit einem Lächeln im Gesicht erklärt, dass jedes Rennen ein perfektes Rennen sei - so what ?;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;bewirtschaften;20;NZZ_1994_07_04_a83_seg5_s7;16;Full|3|Pl|Past|Ind;Matthias bleibt ein Anarch, wie es Vater und Grossvater schon waren, obwohl sie fleissig einen mageren Boden bewirtschafteten .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVPP;ADJD;musizieren;21;NZZ_1996_09_14_a194_seg2_s6;17;Full|Psp;- Erstaunlich - und gewiss Musik in den Ohren der Klavierlehrkräfte - ist auch, wie fleissig in der Schweiz musiziert wird : Ein Drittel der befragten 15- bis 74jährigen Spielerinnen und Spieler greift täglich in die Tasten, und im Durchschnitt wird an fünf Tagen pro Woche, Stunden gespielt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;panaschieren;5;NZZ_1999_03_16_a232_seg4_s15;4;Full|Psp;Nicht nur wird fleissig panaschiert und kumuliert und auf den Wahllisten gestrichen .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVINF;ADJD;geben;13;NZZ_1994_08_06_a208_seg5_s13;12;Full|-2;Wer wünsche, dass er nicht wie Mozart ende, möge fleissig geben .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVPP;ADJD;produzieren;7;NZZ_1999_01_22_a174_seg6_s1;6;Full|Psp;In England wird zurzeit besonders fleissig produziert - u. a. auch ein neuer Bond-Film .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
