Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVPP;ADJD;beschicken;14;NZZ_1997_07_11_a181_seg3_s9;13;Full|Psp;Gewisse Verbände, zum Beispiel der deutsche, haben den Anlass sehr grosszügig beschickt, andere, vor allem jene aus dem Osten, denen das Geld zusehends fehlt, sind nur mit ihren Medaillenkandidaten in Finnland vertreten .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVPP;ADJD;bauen;3;NZZ_1997_04_03_a203_seg9_s14;2;Full|Psp;Wie grosszügig gebaut wurde, zeigt sich schon daran, dass hier der Autoverkehr selbst heute nicht als Anomalie empfunden wird .;prozess;agensorientiert;done;unknown;ambig rein;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADJD;attestieren;6;NZZ_1993_08_09_a69_seg3_s4;5;Full|Psp;Luganos Torhüter Walker wurde grosszügig attestiert, seine Aufgabe ausgezeichnet zu lösen .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVFIN;ADJD;versorgen;3;NZZ_1998_02_19_a152_seg2_s4;16;Full|3|Sg|Past|Ind;Die Nationalbank versorgte auch am Mittwoch, dem vierten Handelstag in Folge, den Geldmarkt grosszügig mit Liquidität .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADJD;sanieren;16;NZZ_1995_10_25_a25_seg7_s11;15;Full|Psp;Die geplünderte Geisterstadt Latschin wird seit kurzem wieder besiedelt, und die Verbindungsstrasse wird grosszügig saniert .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;sorgen;8;NZZ_1998_05_13_a27_seg11_s11;10;Full|3|Sg|Past|Ind;Für die unehelichen Kinder und ihre Mütter sorgte er grosszügig .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVINF;ADJD;nachsehen;24;NZZ_1996_07_25_a53_seg7_s4;23;Full|-2;Da sie mit dem vorgebrachten Anliegen aber anscheinend dem Volk aus der Seele gesprochen hat, wird man ihr diese Kompetenzüberschreitung wohl grosszügig nachsehen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;ansehen;20;NZZ_1997_11_20_a87_seg6_s4;19;Full|Psp;Die Bewertung entspricht einem Aufpreis von fast 32% auf den letzten Schlusskurs und wird in Börsenkreisen als sehr grosszügig angesehen .;nd;nd;not of interest;;vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;kommen;4;NZZ_1995_08_31_a146_seg3_s9;7;Full|3|Pl|Past|Ind;Die St. Galler kamen ihnen insofern grosszügig entgegen, als sie sich Ballverluste in Serie leisteten - in Zweikämpfen wie durch ( Fehl- ) Pässe .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADJD;vergeben;27;NZZ_1996_07_05_a73_seg3_s5;20;Full|Psp;Hintergrund ist der Skandal um die Bangkok Bank of Commerce ( BBOC ), die in den vergangenen Jahren grosszügig Darlehen an hohe Militär- und Regierungsangehörige vergeben hat und nun auf 77 Mrd. Baht ( rund, Mrd. Fr . );prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVPP;ADJD;umgehen;17;NZZ_1997_02_12_a20_seg8_s3;7;Full|Psp;Das Kiewer Aussenministerium, das bisher grosszügig mit chauvinistischen Appellen von Moskauer Politikern auf der Krim umgegangen war, hat denn auch seinen Kurs verschärft .;prozess;agensorientiert;done;anim_like;;möglich;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVINF;ADJD;werfen;21;NZZ_1998_08_22_a227_seg3_s10;15;Full|-2;So sieht sich etwa die EAA gar nicht in der Lage, finanziell ähnlich grosszügig mit Geld um sich zu werfen, wie dies die IAAF im Moment ( noch ) tun kann .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVPP;ADJD;einrichten;9;NZZ_1994_06_28_a137_seg3_s13;8;Full|Psp;Der geräumige Küchenwagen ist in der Tat grosszügig eingerichtet und mit zweckmässigen Apparaturen bestückt .;nd;nd;not of interest;;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVFIN;ADJD;zusprechen;28;NZZ_1994_04_23_a200_seg4_s61;25;Full|3|Pl|Past|Ind;Am 6. Juli, einem späten Sonntagnachmittag, trafen nach Niederbergers Schilderung zwei Eisenbahnwagenladungen Polizisten aus David in El Volcán ein, wo sie grosszügig dem Alkohol zusprachen, bevor sie sich in der Nacht nach Cotito aufmachten .;prozess;agensorientiert;done;anim;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVFIN;ADJD;nutzen;3;NZZ_1999_03_15_a14_seg6_s6;9;Full|3|Pl|Pres|Ind;Die Amerikaner nutzen umgekehrt den Vorwand irakischer Herausforderungen grosszügig aus .;prozess;agensorientiert;done;anim;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVFIN;ADJD;umgehen;42;NZZ_1995_01_28_a219_seg7_s18;41;Full|3|Sg|Past|Ind;In der Sprache zeigt sich deutlich die ambivalente Einstellung zum Senf : « J ' adore ce qui me brûle » ist eine Erfahrung, die wohl jeder schon einmal gemacht hat, wenn er mit der scharfen Würze allzu grosszügig umging, so dass sie ihm gewaltig in die Nase stieg .;prozess;agensorientiert;done;anim;;notwendig;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVINF;ADJD;bestreuen;16;NZZ_1999_06_26_a260_seg3_s9;13;Full|3|Pl|Pres|Ind;Vor dem Servieren die Grillstäbe im Backofen glühend erhitzen, den Auflauf grosszügig mit Puderzucker bestreuen und kurz unter den Grillstäben caramelisieren .;prozess;agensorientiert;done;unknown;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
18;VVPP;ADJD;einräumen;17;NZZ_1993_12_24_a95_seg2_s7;15;Full|Psp;Seiner Kritik am immer noch kolonialistischen Vokabular vieler englischer Cricketer wurde in seriösen Blättern grosszügig Platz eingeräumt .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
19;VVIZU;ADJD;auslegen;12;NZZ_1995_12_14_a42_seg7_s12;11;Full|zu;"Campiche vertritt die Auffassung, dass diese Ausnahmebestimmung auch heute grosszügig auszulegen ist ; dies vor dem Hintergrund der Flüchtlingskonvention, wonach eine Bestrafung zu unterbleiben hat, wenn der Flüchtling unmittelbar aus dem Verfolgerstaat kommt, sich unverzüglich den hiesigen Behörden stellt und triftige Gründe für die illegale Einreise vorzuweisen hat .";prozess;agensorientiert;done;anim;;notwendig;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVPP;ADJD;anerkennen;14;NZZ_1998_03_14_a4_seg3_s29;13;Full|Psp;"1991/92 haben sie die früheren jugoslawischen Teilrepubliken Kroatien, Slowenien, Bosnien-Herzegowina grosszügig anerkannt ; damit wurde dem Prinzip der Selbstbestimmung vor der Unverletzbarkeit bestehender Staatsgrenzen der Vorzug gegeben .";prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
