Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;reagieren;6;NZZ_1999_11_25_a14_seg6_s7;17;Full|3|Sg|Past|Ind;Vor allem die Europäische Union reagierte über den Kommissar für Fragen der Erweiterung, Verheugen, vehement .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;lehnen;14;NZZ_1998_02_05_a19_seg9_s7;17;Full|3|Pl|Past|Ind;Die mit Unterstützung des Präsidenten in die Regierung aufgenommenen Kräfte aus der Enklave lehnten diesen Kurs vehement ab .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADJD;wenden;20;NZZ_1998_09_10_a13_seg4_s1;18;Full|Psp;B. A. Pörtschach, 9. September Die Freiheitliche Partei Österreichs ( FPÖ ) hat sich am Mittwoch vehement dagegen gewandt, die Europäische Union ( EU ) nach Osten zu erweitern .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;bestreiten;44;NZZ_1998_11_28_a215_seg3_s1;43;Full|Psp;( si ) Die medizinischen Analysen der Haar- und Blutproben der neun Festina-Fahrer während der Tour de France haben ergeben, dass alle Dopingprodukte zu sich nahmen, also auch die Franzosen Richard Virenque und Pascal Hervé, welche die Dopingvergehen bisher vehement bestritten haben .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADJD;äußern;16;NZZ_1997_10_10_a161_seg6_s12;15;Full|Psp;"Das Gegenteil ist natürlich der Fall : Selten hat sich der Moralist Kieslowski so vehement geäussert wie in dieser ganz freien Paraphrase der zehn Gebote ; selten auch hat im Kino ein moralischer Impetus zu formal derart beeindruckenden Darstellungen existentieller religiöser Fragestellungen gefunden .";prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;sprechen;2;NZZ_1998_10_02_a1_seg4_s3;8;Full|3|Sg|Pres|Ind;Da spricht sich zum Beispiel ein Politiker vehement gegen eine lange Untersuchung aus, « die teuerste, die ein Präsident oder überhaupt ein Mensch » je habe erdulden müssen, und fährt fort : « Kann jemand all diese Untersuchungen überstehen, ohne dass ein Hinweis auf eine fragwürdige Erklärung oder sogar einige Fehler ans Tageslicht kommen ? »;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADJD;vertreten;6;NZZ_1997_02_08_a215_seg23_s11;3;Full|3|Sg|Past|Ind;Während es vehement die Minderheitenrechte vertrat, übersah es das Verschwinden der stärksten jugoslawischen Minderheit : der national Nichtdefinierten, mehr noch, das Verschwinden der Minderheiten ganz allgemein .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADJD;fühlen;4;NZZ_1994_05_14_a30_seg14_s2;6;Full|3|Pl|Pres|Ind;Die meisten aber fühlen sich vehement als Simbabwer .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADJD;wehren;12;NZZ_1996_09_10_a80_seg3_s13;5;Full|Psp;Die Gewerkschaften hatten sich vehement gegen das neue 3-Stufen-Modell für Lohnverhandlungen gewehrt, das sie erst auf der 2 .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;ablehnen;41;NZZ_1993_08_24_a9_seg8_s10;40;Full|-2;Zu dieser Unentschlossenheit trägt gewiss der Umstand bei, dass alle Nachbarstaaten des Nordiraks - die Türkei, Iran und Syrien - aus Angst vor Autonomiebestrebungen der eigenen kurdischen Minderheiten auch den Gedanken einer Autonomie für die irakischen Kurden vehement ablehnen .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVPP;ADJD;führen;7;NZZ_1997_08_23_a211_seg4_s11;6;Full|Psp;Sie wird nicht deshalb so vehement geführt, weil es um einen wissenschaftlich interessanten Gegensatz ginge, sondern weil es um die existentielle Frage nach jüdischer Identität im Zeitalter der Krise - nicht nur des Zionismus selbst, sondern der westlichen Gesellschaft insgesamt - geht .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVFIN;ADJD;wehren;29;NZZ_1998_09_17_a40_seg9_s6;24;Full|3|Sg|Pres|Ind;Diese pauschale Abgabe hat marktwirtschaftlich total falsche Signale gesetzt und wurde nur eingesetzt, weil sich die Lastwagenlobby seit mehr als 15 Jahren vehement gegen die leistungsabhängige Abgabe wehrt .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVPP;ADJD;bekämpfen;9;NZZ_1995_03_07_a59_seg18_s8;8;Full|Psp;Wer heute « Bahn 2000 » so vehement bekämpft, müsste sich die Frage gefallen lassen, wie er es mit der sechsspurigen Autobahn Bern-Zürich hält .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVPP;ADJD;fordern;37;NZZ_1996_04_03_a17_seg7_s1;36;Full|Psp;Auffällig an der Erklärung der Regierung jetzt ist vor allem der Umstand, dass darin mit keinem Wort auf die umstrittene Frage des Nato-Beitritts eingegangen wird, der von der Opposition und von Präsident Scheljew vehement gefordert wird .;prozess;agensorientiert;done;clash of coordination;anim+anim_like;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVPP;ADJD;zurückweisen;39;NZZ_1997_11_19_a69_seg4_s1;38;Full|Psp;Mit seinem Übernahmeangebot an die französische Versicherungsgruppe Assurances Générales de France ( AGF ) hat der deutsche Allianz-Konzern vor allem auf die zuvor von der italienischen Generali an die AGF ergangene unfreundliche Kaufofferte reagiert, welche letztere vehement zurückgewiesen hatte .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVFIN;ADJD;plädieren;6;NZZ_1997_09_09_a194_seg3_s1;15;Full|1|Sg|Past|Ind;Bereits vor rund 20 Jahren plädierte ich als Sicherheits-Fachjournalist in verschiedenen Funktionen und Organen vehement für eine konsequente Risikoseparation als generelle Risk-Management-Strategie zur Vermeidung sogenannter Klumpenrisiken .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVINF;ADJD;bekämpfen;16;NZZ_1997_05_28_a41_seg3_s15;15;Full|-2;Die Minderheit, darunter das Gros der SP-Vertreter, will die Verfassungsgerichtsbarkeit im Plenum vehement bekämpfen .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
18;VVFIN;ADJD;bestreiten;4;NZZ_1993_12_13_a22_seg6_s8;10;Full|3|Pl|Pres|Ind;Bewohner des Pamir bestreiten die Existenz eines umfangreichen Drogenhandels vehement .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
19;VVFIN;ADJD;ablehnen;25;NZZ_1997_07_05_a25_seg8_s3;24;Full|3|Sg|Pres|Ind;Schwartz ist ein führender Vertreter der amerikanischen Sektion der Neturei Karta, einer orthodox-jüdischen Bewegung, die den Staat Israel und den Zionismus vehement ablehnt .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVINF;ADJD;jagen;11;NZZ_1995_03_24_a198_seg4_s29;7;Full|-2;« Wenn ich Goldlights nicht mehr vehement über die Hindernisse jagen muss, wird er flach und begeht Fehler » .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
21;VVFIN;ADJD;lehnen;4;NZZ_1993_04_17_a161_seg1_s11;10;Full|3|Sg|Pres|Ind;Auch die Belegschaft lehnt eine allfällige Fusion ihrer Gesellschaft vehement ab und droht mit Kampfmassnahmen .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
22;VVFIN;ADJD;sperren;28;NZZ_1994_08_05_a23_seg4_s5;20;Full|3|Pl|Past|Ind;Das erstaunt insofern wenig, als Kutschma schon während seiner Zeit als Ministerpräsident zu jenen gehörte, die sich vehement gegen eine rasche und umfassende nukleare Abrüstung sperrten .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
23;VVPP;ADJD;verändern;9;NZZ_1996_05_22_a125_seg6_s2;8;Full|Psp;Ihre Inhalte haben sich seit der Frauenbewegung vehement verändert, doch das Klischee der Trivialität ist ihnen geblieben .;prozess;rein;done;inanim;ambig degree;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
