Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;scheinen;12;NZZ_1996_09_09_a2_seg8_s3;11;Full|3|Pl|Pres|Ind;Obwohl die Auswirkungen für europäische Unternehmen in der Praxis relativ geringfügig scheinen, ist dies für die Europäer eine wichtige Grundsatzfrage .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVPP;ADJD;einstufen;11;NZZ_1995_03_20_a64_seg3_s19;10;Full|Psp;Die makroökonomischen Gesamteffekte des Kobe- Erdbebens werden hingegen als geringfügig eingestuft .;nd;nd;not of interest;vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVINF;ADJD;erhöhen;18;NZZ_1995_03_20_a10_seg8_s6;13;Full|-2;Unter ihren Erwartungen blieben indes die Grünen, die ihren Stimmenanteil nur geringfügig auf knapp 2 Prozent erhöhen konnten .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;erhöhen;25;NZZ_1994_10_28_a34_seg3_s3;22;Full|Psp;Der Anteil der Befragten, der seinen Auftragsbestand als gut bezeichnet, hat sich zwischen dem zweiten und dritten Quartal nur geringfügig auf 40% erhöht .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVINF;ADJD;steigern;25;NZZ_1994_02_12_a34_seg15_s1;24;Full|-2;Die Neue Aargauer Bank ( NAB ) hat als Folge grösserer Wertberichtigungen für früher von der Niederlassung Zürich gewährte Kredite ihren Reingewinn nur geringfügig steigern können .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;reduzieren;15;NZZ_1995_09_27_a91_seg4_s15;17;Full|3|Sg|Past|Ind;"Der Rückgang des Betriebsgewinns ist voll den Paritätsänderungen zuzuschreiben ; die Marge zum Umsatz reduzierte sich geringfügig .";prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVINF;ADJD;steigern;27;NZZ_1997_07_09_a89_seg9_s1;22;Full|-2;Trotz den negativen Auswirkungen des kontinuierlich steigenden Kurses der britischen Währung hat der Konzern den Gewinn vor Steuern und aussergewöhnlichen Posten geringfügig auf 01 Mrd. £ steigern können .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADJD;beschädigen;10;NZZ_1998_08_29_a211_seg3_s2;15;Full|3|Sg|Past|Ind;Häkkinen rutschte auf dem Randstein einer Linkskurve aus, beschädigte jedoch den McLaren nur geringfügig .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADJD;verletzen;7;NZZ_1998_05_25_a124_seg3_s4;6;Full|Psp;Der fehlbare Lenker wurde dabei geringfügig verletzt, seine Mitfahrerin hingegen erheblich .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVPP;ADJD;aktivieren;22;NZZ_1996_02_14_a187_seg2_s7;21;Full|Psp;Bisher war es sehr schwierig, Antikörper gegen MAP zu erhalten, denn das Antigen wird durch konventionelle Adjuvantien nur geringfügig aktiviert .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
