Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADV;gehen;4;NZZ_1997_04_14_a210_seg12_s7;6;Full|3|Pl|Pres|Ind;Von der Bevölkerungsentwicklung gehen regional sehr unterschiedliche Effekte aus .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADV;fallen|fällen;2;NZZ_1996_02_05_a131_seg3_s28;7;Full|3|Sg|Pres|Ind;Da fällt es auch nicht so sehr ins Gewicht, dass der Nachwuchs noch etwas zurückbleibt .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADV;nehmen;2;NZZ_1994_09_30_a89_seg14_s4;4;Full|1|Pl|Pres|Ind;Wir nehmen dies sehr ernst .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVINF;ADV;schaffen;47;NZZ_1994_02_12_a92_seg8_s4;45;Full|-2;Im Unterschied zum frankophonen Westen vollzog sich dort die anglo-ägyptische Kolonisation von Norden nach Süden und hinterliess im unabhängigen Sudan, dem afrikanischen Staat mit der grössten Ausdehnung, als neue hauseigene Kolonialherrschaft jene nördlich-islamische Macht, die den Briten in Khartum einst so sehr zu schaffen gemacht hatte .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADV;verbreiten;18;NZZ_1997_10_31_a89_seg3_s9;17;Full|Psp;Das Vertrauen, dass die Polizei in Japan für Ordnung sorgen könnte, scheint jedenfalls nicht sehr verbreitet zu sein .;nd;nd;not of interest;Modpräd/Partikel;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVPP;ADV;unterschätzen;36;NZZ_1999_07_05_a109_seg7_s1;35;Full|Psp;Die Idee der Überlegenheit der eigenen Kultur über jene der Fremden, der « Barbaren », war angesichts chinesischer Leistungen in Wissenschaft und Technik ( die im Westen nach Ansicht von Joseph Needham sehr unterschätzt werden ) gar nicht einmal unverständlich .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADV;kümmern;22;NZZ_1998_02_19_a77_seg7_s4;27;Full|3|Sg|Past|Ind;Wie sehr die ausgedrückte halbe Zitrone schmerzen musste, die die Frau seiner Meinung nach über den Muttermund schieben sollte, kümmerte ihn wohl nicht allzu sehr .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADV;achten;26;NZZ_1999_12_14_a140_seg10_s11;25;Full|3|Sg|Past|Ind;Die zweite Amtszeit hatte erwiesen, dass der Präsident massiver öffentlicher Kritik nicht enthoben war und dass seine Ehre, auf die Washington so sehr achtete, in Gefahr geriet, « von einem Haufen infamer Skribenten » besudelt zu werden .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VMFIN;ADV;können;2;NZZ_1994_05_21_a69_seg4_s6;3;Mod|3|Sg|Past|Ind;Damit konnte sehr viel kostengünstiger als in den zerstreuten Handwerksbetrieben gefertigt werden .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADV;schwertun;7;NZZ_1997_05_22_a2_seg7_s3;6;Full|-2;Tshisekedi dürfte sich aber erfahrungsgemäss sehr schwertun, ein anderes Amt als jenes des Premierministers zu übernehmen .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
