Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVINF;ADJD;erfolgen;20;NZZ_1999_11_04_a207_seg8_s5;17;Full|-2;Zu den Vorteilen einer Nordseeinsel als Flughafen zählt eine gute Umweltverträglichkeit, da An- und Abflug vollständig über Wasser erfolgen würden und ein relativ ungehindertes Wachstum des Verkehrs möglich wäre .;prozess;Gradadverbial;done;syntaktisch ambig;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVINF;ADJD;präsentieren;21;NZZ_1997_08_25_a84_seg5_s2;19;Full|-2;Der « Villa Stuck », heute ein Museum, ist das Jubiläum Anlass, seine umfangreichen Bestände vollständig zu präsentieren .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADJD;ausbrennen;14;NZZ_1996_02_12_a46_seg3_s2;13;Full|3|Sg|Past|Ind;Die Feuerwehr musste mit Atemschutzgerät zu einem brennenden Personenwagen vordringen, der vollständig ausbrannte .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVPP;ADJD;leerpumpen;26;NZZ_1996_03_06_a55_seg4_s2;25;Full|Psp;( dpa ) Der vor der Küste von Südwales auf Grund gelaufene und nur unter grossen Schwierigkeiten geborgene Supertanker « Sea Empress » ist vollständig leergepumpt worden .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADJD;zerstören;11;NZZ_1996_12_02_a71_seg2_s3;10;Full|Psp;Das aus dem Jahr 1611 stammende sogenannte Badhaus wurde vollständig zerstört .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVPP;ADJD;zerstören;20;NZZ_1994_09_03_a101_seg11_s5;19;Full|Psp;Bitola liegt etwa 100 Kilometer südlich der Hauptstadt Skopje, die im Juli 1963 bei einem Erdbeben nahezu vollständig zerstört worden war .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVINF;ADJD;umwandeln;10;NZZ_1999_05_19_a218_seg3_s33;7;Full|-2;Dieser würde sich innerhalb kurzer Zeit vollständig in Hydrat umwandeln .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;zerstören;31;NZZ_1995_12_11_a70_seg3_s2;30;Full|Psp;Ursache dafür ist vor allem das tragische Schicksal seines Ouvres : etwa 60 000 Negative und der grösste Teil der Positive wurden bei einem Bombenangriff im August 1943 nahezu vollständig zerstört, der Hauptteil seines Werkes ging damit verloren .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVINF;ADJD;unterbinden;21;NZZ_1993_02_24_a79_seg1_s5;20;Full|-2;Ein generelles Verbot der Tierversuche, wie es die Initiative vorsehe, würde die medizinisch-biologische Forschung in gewissen Bereichen vollständig unterbinden .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVFIN;ADJD;kooperieren;28;NZZ_1999_12_20_a27_seg4_s2;27;Full|3|Sg|Pres|Subj;Zudem erklärte das Uno-Führungsgremium seine Absicht, die Sanktionen gegen den Irak zu suspendieren, falls er mit der neuen Kommission und der Wiener Atomenergiebehörde IAEA vollständig kooperiere .;prozess;Gradadverbial;done;;frei;+;nd;+;nd;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
