;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVPP;ADJD;bewässern;17;NZZ_1995_07_21_a85_seg4_s3;16;Full|Psp;Die trockenen Felder in der Tiefebene Osttransvaals und an der Grenze zu Swaziland müssen allerdings konstant bewässert werden , und selbst an Nordnatals Küste stehen für einen Teil der Felder Bewässerungsanlagen zur Verfügung .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;verschlechtern;9;NZZ_1995_06_07_a3_seg2_s8;12;Full|3|Sg|Pres|Ind;Die Lage sei derzeit noch nicht dramatisch , verschlechtere sich aber konstant .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVFIN;ADJD;halten;11;NZZ_1993_08_10_a135_seg1_s7;13;Full|3|Sg|Pres|Ind;37 Sport Bolivien erstaunlich sicher auf WM-Kurs Das bolivische Nationalteam hält sich konstant in den Schlagzeilen der Südamerika-Qualifikation zur Fussball-WM .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVFIN;ADJD;arbeiten;3;NZZ_1997_10_17_a148_seg3_s14;4;Full|3|Sg|Pres|Ind;Das Archiv arbeitet konstant daran , die Filmrollen sicher aufzubewahren , zu katalogisieren und für Wissenschafter und Publizisten zugänglich zu machen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;spielen;2;NZZ_1999_03_24_a223_seg5_s2;3;Full|3|Sg|Past|Ind;Krajicek spielte konstant auf gutem Niveau und erreichte immerhin neun Punkte mehr .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;aussprechen;35;NZZ_1994_09_10_a33_seg4_s3;28;Full|3|Sg|Pres|Ind;Dieser wäre allerdings keineswegs als Auftrag zur Durchführung der Sezession aufzufassen , da sich eine Mehrheit der Befragten ( und sogar ein Drittel der präsumtiven PQ-Wähler ) konstant gegen eine Trennung Quebecs von Kanada ausspricht .;extern;frequenziellEXT;done;;frei;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd
7;VVINF;ADJD;nehmen;21;NZZ_1993_04_29_a90_seg2_s6;17;Full|-2;Vizepräsidentin Mathilde Jolidon hielt fest , es gehe nicht an , dass ein Teil der Bevölkerung konstant Einkommensausfälle in Kauf nehmen müsse , während andere Teuerungszulagen erhielten .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVINF;ADJD;halten;18;NZZ_1999_02_02_a120_seg6_s6;14;Full|-2;Dagegen konnten sich die Notierungen des staatlich kontrollierten Crédit Lyonnais ( 26% ) konstant auf der Gewinnerseite halten .;prozess;frequenziellPROZ;done;ambig AuW;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADJD;messen|missen;6;NZZ_1995_08_18_a110_seg9_s12;9;Full|3|Sg|Pres|Ind;In etwa 15 Metern Tiefe misst das Wasser konstant 4 Grad .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADJD;halten;25;NZZ_1997_03_12_a66_seg5_s5;24;Full|3|Pl|Pres|Ind;Gemäss einer breit angelegten Umfrage der National Association of Manufacturers ( NAM ) wollen 55% der erfassten Unternehmen im laufenden Jahr ihre Personalbestände konstant halten , und 33% planen eine Erhöhung .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
