Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;tagen;4;NZZ_1994_07_23_a16_seg12_s7;5;Full|3|Sg|Pres|Ind;Vor dem Hotel tagt ununterbrochen eine Meute von rwandischen Militärs und Milizionären .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVFIN;ADJD;sprechen;5;NZZ_1998_05_08_a202_seg3_s22;4;Full|3|Pl|Past|Ind;Während die einen ununterbrochen sprachen , waren andere völlig in sich gekehrt , und eine dritte Gruppe lief pausenlos nervös hin und her .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVINF;ADJD;helfen;27;NZZ_1994_12_16_a184_seg4_s15;21;Full|-2;Auf jeden Fall rechtfertigt es den Verzicht auf jede spielerische Ästhetik nach der Pause , als sich die Mannschaft fast ununterbrochen nur mehr mit Befreiungsschlägen zu helfen wusste und kaum mehr zu konstruktivem Zusammenspiel fand .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVINF;ADJD;leben;30;NZZ_1997_11_22_a67_seg7_s14;24;Full|-2;Und der Rockstar John Bon Jovi verkündete in New York nach der Rückkehr von einem Konzert in Brasilien : « Die Brasilianer scheinen ununterbrochen wie auf einem Fest zu leben . »;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVPP;ADJD;erfassen;13;NZZ_1999_01_15_a222_seg21_s5;12;Full|Psp;Dies hat den Vorteil , dass z. B. auch umfangreiche Wertschriftenverzeichnisse ununterbrochen erfasst und geordnet werden können , ohne dass man auf Seitenumbrüche achten muss .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;führen;16;NZZ_1996_03_28_a14_seg7_s1;14;Full|3|Sg|Past|Ind;Offenbar geniessen hohe Offiziere in dem Land , das seit seiner Entstehung fast ununterbrochen Kriege führte , hohes Ansehen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADJD;senden;2;NZZ_1995_07_08_a124_seg8_s11;3;Full|1|Pl|Pres|Ind;Wir senden ununterbrochen Faxe hin und her , und wir ringen um verschiedene Dispositionen , weil ich ja nicht nur das Schaffen von Gubaidulina und Suslin berücksichtigen darf , sondern auch alle Interpreten zu Wort kommen lassen will .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;besetzen;29;NZZ_1995_01_30_a35_seg4_s3;21;Full|Psp;Erstmals seit Jahrzehnten konnte die Vaterländische Union ( VU ) den Bürgermeistersitz in der Residenz Vaduz , der seit 1927 ununterbrochen von der Fortschrittlichen Bürgerpartei ( FBP ) besetzt worden war , für sich gewinnen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVINF;ADJD;halten;35;NZZ_1996_09_12_a71_seg5_s2;31;Full|-2;In der Tat hat sie die britische Wirtschaft seit dem Debakel vor vier Jahren , als das Pfund Sterling unzeremoniell aus dem Wechselkursmechanismus des europäischen Währungssystems ausscheiden musste , praktisch ununterbrochen auf einem Wachstumspfad halten können .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADJD;beobachten;20;NZZ_1999_08_12_a70_seg3_s14;19;Full|-2;Ab halb zwölf Uhr liess sich die allmähliche Bedeckung der Sonne durch den Mond trotz gelegentlichen Schauern fast ununterbrochen beobachten .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
