Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADJD;taugen;52;NZZ_1993_02_25_a56_seg3_s4;54;Full|3|Sg|Pres|Subj;"Lenkungsabgaben - so die Quintessenz der BHK - vertragen sich nicht mit fiskalischen Zielsetzungen ; entweder bringe eine Abgabe ökologische Erfolge ( also die Reduktion der Emissionen und damit des Steuersubstrates ) , dann nütze sie fiskalisch ( als Einnahmequelle ) wenig ; oder eine Umweltabgabe sei fiskalisch motiviert , dann tauge sie ökologisch nichts .";proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVINF;ADJD;verbrämen;12;NZZ_1995_01_28_a70_seg6_s6;10;Full|-2;Einige Politiker suchten eine solche fiskalisch motivierte Abgabe gar ökologisch zu verbrämen und dem Publikum als umweltpolitische Massnahme oder zumindest als Vorstufe dazu beliebt zu machen , so etwa auch die neue Umweltministerin Angela Merkel .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADJD;gewinnen;19;NZZ_1993_03_31_a173_seg6_s6;11;Full|Psp;Sägesser dagegen begründete sein Nein zur Initiative damit , dass ökologisch mit einem Moratorium für den Flughafen nichts gewonnen sei und man damit das Gegenteil von dem täte , was in dieser wirtschaftlich schwierigen Zeit unter dem Stichwort « Revitalisierung » gefordert wird .;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVIMP;ADJD;umfassen;21;NZZ_1997_10_15_a169_seg16_s10;22;Full|2|Pl;China , in dem sich die agrarische Nahrungsproduktion etwa zur gleichen Zeit wie im Nahen Osten autochthon entwickelt hatte , umfasst ökologisch weniger anfällige und daher auch heute noch von intensiver Landwirtschaft genutzte Gebiete .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVIZU;ADJD;aufbessern;10;NZZ_1993_12_02_a37_seg14_s5;9;Full|zu;Immerhin hat die Kommission versucht , diesen etwas ökologisch aufzubessern , allerdings auch äusserst problematische Bestimmungen aufgenommen , etwa bezüglich Aufweichung des bäuerlichen Bodenrechts .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVPP;ADJD;meinen;19;NZZ_1995_11_09_a206_seg4_s36;18;Full|Psp;» ( Schätzen , um zu schützen ) lautet die Kurzformel dieses Programms , die nicht nur ökologisch gemeint ist .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVPP;ADJD;motivieren;6;NZZ_1998_11_04_a41_seg2_s1;5;Full|Psp;Ja zur LSVA war ökologisch motiviert;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJD;ausrichten;24;NZZ_1996_09_18_a26_seg5_s10;23;Full|Psp;- Für Ruedi Baumann bestraft der Bundesrat mit den vorgeschlagenen Massnahmen die Falschen , nämlich jene Bauern , die ihre Fleischproduktion bereits ökologisch ausgerichtet hätten .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADJD;sehen;3;NZZ_1998_09_15_a157_seg1_s1;2;Full|Psp;Opfikon ökologisch gesehen;nd;nd;not of interest;unvollständiger Satz;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVPP;ADJD;verstehen;5;NZZ_1996_07_03_a47_seg5_s1;4;Full|Psp;Autarkie kann auch ökologisch verstanden werden : Die Verringerung weiträumiger Abhängigkeit durch Regionalisierung begünstigt kurze und geschlossene Stoffkreisläufe und eine unterschiedlichen natürlichen Rahmenbedingungen angepasste kulturelle Vielfalt .;prozess;methodenorientiert;done;;frei;+;nd;+;nd;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVFIN;ADJD;gehen;12;NZZ_1998_11_23_a104_seg10_s14;11;Full|3|Sg|Pres|Ind;Doch nicht nur die Geldfrage ist sauber geregelt , auch ökologisch geht alles mit ungeheuer rechten Dingen zu .;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVFIN;ADJD;legen;24;NZZ_1997_07_23_a28_seg3_s1;25;Full|3|Sg|Pres|Ind;Ein von der Betreiberin und vom Kanton Solothurn unterzeichnetes Sanierungsprogramm stellt die Einhaltung der Umweltschutzgesetzgebung durch das Stahl- und Walzwerk Gerlafingen sicher und legt ökologisch sinnvolle und wirtschaftlich tragbare Teilschritte fest .;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVFIN;ADJD;sehen;3;NZZ_1995_10_02_a43_seg6_s4;19;Full|3|Sg|Pres|Ind;Das CIPRA-Thesenpapier sieht den Alpenraum in einer Vorreiterrolle in Europa : « Durch ein frühzeitiges und konsequentes Unterlassen ökologisch nicht verträglichen Handelns kann der Alpenraum eine beispielhafte Vorreiterrolle in Europa einnehmen und dadurch gewisse Standortnachteile gegenüber der Ebene ausgleichen . »;nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVFIN;ADJD;fallen;19;NZZ_1999_09_03_a32_seg3_s6;16;Full|3|Sg|Pres|Subj;De facto verhindere dieser Entscheid aber eher die Diskriminierung der EU-Transporteure , als dass er ökologisch ins Gewicht falle .;proposition;Frameadverbial;done;;frei;nd;nd;nd;nd;nd;nd;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVPP;ADJD;ausführen;52;NZZ_1999_02_08_a130_seg4_s9;43;Full|Psp;"Man erhält den zweiten Preis für den Wettbewerbsentwurf der Pariser Bibliothèque nationale ; und im Londoner Vorort Islington entsteht zwischen Patrizierbauten ein Glashaus als Villa , welche die wesentlichen Axiome von Future Systems klar formuliert : fern der kontinentalen Holzeuphorie wird hier ökologisch durchdachte Architektur in Stahl , Aluminium und Glas ausgeführt , möglichst nach dem Prinzip der Präfabrikation .";nd;nd;not of interest;ModADJ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
