Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVFIN;ADV;suchen;8;NZZ_1996_12_21_a95_seg16_s6;13;Full|3|Sg|Pres|Ind;Eine Lehre nach deutschem oder schweizerischem Muster sucht man in Spartanburg allerdings vergebens .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVPP;ADV;versuchen;5;NZZ_1998_07_29_a178_seg3_s6;4;Full|Psp;1991 hatte er vergebens versucht, bei den Berufsfahrern ein Helmobligatorium durchzusetzen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVINF;ADV;erklären;31;NZZ_1995_04_20_a147_seg3_s31;29;Full|-2;Leider gibt es keine Tabellen über ballistische Flugbahnen, und leider liessen sich die beiden Holländer auch nicht von den geometrischen Thesen des Gymnasten Ricken beeinflussen, der vergebens zu erklären versuchte, « dass ein Ball, hart mit dem Spann geschlagen, über eine bestimmte Distanz in geradem Winkel und niemals eine solche Kurve fliegt » .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVFIN;ADV;suchen;14;NZZ_1997_12_13_a98_seg6_s7;21;Full|3|Sg|Pres|Ind;Geht man an die Jahrespressekonferenz der Anglo American Corporation of South Africa, sucht man in der Exekutive des Konzerns vergebens nach schwarzen Häuptern, und auch die anwesenden Wirtschaftsjournalisten und Analytiker sind so weiss wie ihre Hemden .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADV;suchen;4;NZZ_1998_09_19_a248_seg3_s25;9;Full|3|Sg|Pres|Ind;Fernsehen und Radio sucht man in den Zimmern vergebens .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADV;warten;30;NZZ_1998_07_09_a111_seg3_s4;25;Full|3|Sg|Pres|Ind;So haben sie die kreative Craziness des 57jährigen eher eingedämmt denn entfacht : Ein musikalisch hochstehendes Album ist das Resultat, bei dem man vergebens auf den zündenden Funken wartet .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADV;lassen;3;NZZ_1998_02_12_a162_seg3_s5;11;Full|3|Sg|Pres|Ind;Die Mutter lässt ein letztes Mal ihre Autorität walten - vergebens .;nd;nd;not of interest;Parenthese;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADV;suchen;7;NZZ_1998_10_06_a8_seg19_s2;9;Full|3|Sg|Pres|Ind;Nach der einstigen multikulturellen literarischen Produktivität sucht man vergebens .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVFIN;ADV;suchen;5;NZZ_1999_06_02_a141_seg5_s16;8;Full|3|Sg|Pres|Ind;Sichtbare Spuren von Gewaltanwendung sucht man aber vergebens .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVINF;ADV;suchen;15;NZZ_1999_09_07_a137_seg7_s19;14;Full|-2;( ... ) Nach einer einheitlichen Theorie wird man auf den folgenden Seiten vergebens suchen, weil diese der Widersprüchlichkeit der Befunde kaum gerecht werden würde . »;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVFIN;ADV;suchen;2;NZZ_1997_10_14_a134_seg4_s4;4;Full|3|Sg|Pres|Ind;Blumenarrangements sucht man vergebens .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
