id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;externe Referenz;;;;;;;;;;
1;nzz_1994_12_05_a137_seg3_s19;Das Modell mag bei entsprechender Besetzung bestimmter Positionen zwar Vorzüge haben , im FCZ sind die für diese Taktik prädestinierten Spieler jedoch nicht ** in der nötigen Zahl ** anzutreffen . ;antreffen;Zahl;;done;yes;yes;degree;frei;;;;;;;;;;;
2;nzz_1996_11_09_a211_seg4_s2;Dabei gehen wir nicht ** in der Weise ** vor , [ ... ] dass wir seine tausendjährige Vergangenheit beleuchten . ;vorgehen;Weise;;done;yes;yes;rein;notwendig;X;;;;;;;;;;
3;nzz_1996_11_09_a212_seg7_s6;Bei alledem sah er seine Tätigkeit aber nie ** in einem politischen Kontext ** . ;sehen;Kontext;Frame;done;yes;no;;;;;;;;;;;;;
4;nzz_1996_11_09_a187_seg4_s13;Erst 1984 dirigierte er die London Sinfonietta in der endgültigen Fassung seiner Phantasieoper ** in einem Akt ** am Londoner National Theatre unter den Auspizien der Glyndebourne Festival Opera im Design von Maurice Sendak und in der Regie und Choreographie von Frank Corsaro . ;dirigieren;Akt;;done;yes;yes;methode;frei;;;;;;;;;;;
5;nzz_1994_08_13_a126_seg9_s31;Das Verfahren des seriellen Komponierens als eines Komponierens « von unten » , bei dem Gestalten in der Regel nicht direkt Gegenstand der Erfindung sind , sondern Resultat der Verknüpfung von Reihenverläufen , fordert nun allerdings den Interpreten als Subjekt und Darstellenden ** in einer Weise ** , wie sie Musik bis dahin kaum gekannt hatte . ;fordern;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
6;nzz_1994_08_12_a171_seg3_s6;Der Katalog der « unzulässigen Sendungen » wurde durch eine vor allem auf Reality3-TV gemünzte Bestimmung erweitert : Programme über ein tatsächliches Geschehen , bei denen sterbende oder schwer leidende Menschen ** in einer würdeverletzenden Weise ** dargestellt werden , dürfen künftig nicht mehr gezeigt werden - es sei denn , ein « überwiegendes berechtigtes Interesse gerade an dieser Form der Berichterstattung » liegt vor . ;darstellen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
7;nzz_1996_08_19_a21_seg6_s6;** In einer radikalen Kehrtwendung ** verbündete sich der Caudillo jetzt mit Peña Gómez gegen Fernández . ;verbünden;Kehrtwendung;;done;yes;yes;rein;frei;;;;;;;;;;;
8;nzz_1993_10_07_a48_seg3_s15;Das Miteinander der unterschiedlichen Sphären berührt sich ** in einem eindrucksvollen Konzept ** . ;berühren;Konzept;;done;yes;yes;rein;frei;;;;;;;;;;;
9;nzz_1993_06_23_a61_seg6_s6;Die damit zusammenhängende Frage des Minderheitenschutzes stelle sich zwar nicht überall ** in der gleichen Weise ** und in derselben Schärfe , wichtig sei jedoch , dass man sich damit in allen Ländern frühzeitig genug befasse . ;stellen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
10;nzz_1993_06_23_a42_seg6_s14;Die Markerregion der Dickdarmkrebszellen ist ** in einer anderen Weise ** verändert . ;sein;Weise;ModPräd;not_of_interest;no;;;;;;;;;;;;;;
11;nzz_1994_11_19_a139_seg6_s13;** In einer raschen und unmerklichen Wendung ** wechselt der Erzähler die Position . ;wechseln;Wendung;Instrument? Rein?;problem;yes;yes;methode;frei;;;;;;;;;;;
12;nzz_1994_11_19_a171_seg3_s10;** In einer Weise ** und Konzentration , die man von dem Ensemble unter der Leitung von Eve Trachsel , Peter Hauri und Stefan Sägesser seit längerer Zeit nicht mehr gesehen und doch von seinen frühen Jahren her in Erinnerung hat . ;?;Weise;unvollständig;not_of_interest;yes;;;;;;;;;;;;;;
13;nzz_1994_11_19_a141_seg4_s1;Alle Frauen , das ist wirklich interessant , insgesamt alle Frauen , die Frauen , die Frauen in der Gesamtheit , alle Frauen , wenn man von ihnen spricht , einmal ** in einer Zusammenfassung ** , die Frauen , wirklich alle , natürlich geht das nicht , aber es wird gesagt , es wird ja gesagt , die Frauen , und gemeint sind alle Frauen , was das alles bedeutet , insgesamt alle Frauen , nicht nur etwa hier und keineswegs eine Auswahl . ;sprechen;Zusammenfassung;;done;yes;yes;rein;frei;;;;;;;;;;;
14;nzz_1995_06_03_a41_seg6_s2;Diese Grenzen hätten sich nach kurzer Zeit ** in einer Weise ** gezeigt , mit der er allerdings nicht gerechnet habe . ;zeigen;Weise;;done;yes;yes;rein;notwendig;;;;;;;;;;;
15;nzz_1995_06_03_a217_seg6_s8;Ich würde es begrüssen , wenn das Projekt ** in der gleichen umfassenden und grosszügigen Weise ** weitergeführt werden könnte . ;weiterführen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
16;nzz_1995_01_16_a84_seg3_s2;Jetzt wird das Werk ** in einer brillanten Neuinszenierung ** gezeigt . ;zeigen;Neuinszenierung;;done;yes;yes;methode;frei;;;;;;;;;;;
17;nzz_1995_05_20_a170_seg7_s19;Ich kann morgen aufwachen und alles ändern , was ich bisher ** in einer bestimmten Weise ** gemacht habe . » ;machen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
18;nzz_1996_03_20_a180_seg2_s2;Dabei genügt es nicht , dass am richtigen Ort das richtige Protein ohne Fehler hergestellt wird , es muss auch noch ** in der richtigen Menge ** produziert werden . ;produzieren;Menge;;done;yes;yes;degree;frei;;;;;;;;;;;
19;nzz_1996_03_20_a197_seg4_s14;Den zentralen Teil von Washington durchquert er ** in einer S-förmigen Kurve ** . ;durchqueren;Kurve;;done;yes;yes;rein;frei;;;;;;;;;;;
20;nzz_1995_10_30_a30_seg4_s2;Hochdorf , 25. Oktober Schweröl fällt in den beiden schweizerischen Raffinerien Cressier und Collombey bei der Aufbereitung von Rohöl zu Benzin und Heizöl ** in einer Menge ** von 870 000 Tonnen pro Jahr als Restprodukt an . ;anfallen;Menge;;done;yes;yes;degree;frei;;;;;;;;;;;
21;nzz_1999_12_14_a59_seg11_s28;Als Gegenleistung wird das Controlling ** in einer Weise ** ausgebaut , dass es dem Parlament möglich bleibt , seine Aufsichtsfunktionen wahrzunehmen . ;ausbauen;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
22;nzz_1999_12_14_a155_seg104_s2;Oper ** in einem Akt ** . ;? ;Akt;headline;not_of_interest;no;;;;;;;;;;;;;;
23;nzz_1998_11_13_a18_seg10_s4;Der Schriftsteller denkt ** in der moralischen Kategorie ** des nach Wahrheit strebenden Individuums und seines Gewissens . ;denken;Kategorie;;done;yes;yes;rein;frei;;;;;;;;;;;
24;nzz_1998_11_12_a154_seg3_s9;Der 1953 geborene Basler Andreas Nick andererseits verdichtet die Gedichte Meyers zu lyrischen Miniaturen , lässt die Baritonstimme ( Samuel Zünd ) intim aussingen und ** in einer akkordischen Weise ** begleiten , die die Mitte hält zwischen tonalem Anklang und klanglichem Eigenwert . ;begleiten;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
25;nzz_1998_11_12_a248_seg3_s13;Hier wurde vor allem manifestiert , dass die Freiheit des Zugangs zu Felsen und Klippen und das Klettern ** in einer verantwortlichen Weise ** ein grundlegendes menschliches Recht seien . ;klettern;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
26;nzz_1998_05_14_a246_seg7_s9;Der Unterricht ** in der zweiten Landessprache ** wurde zu einem zentralen Ziel der Schulkoordination erklärt . ;Unterricht;Landessprache;;not_of_interest;no;;;;;;;;;;;;;;
27;nzz_1998_05_14_a246_seg7_s7;Die breit angelegten pädagogischen und sprachwissenschaftlichen Studien und die politische Konsensarbeit führten 1975 zu einem Paket von « Empfehlungen und Beschlüssen betreffend Einführung , Reform und Koordination des Unterrichts ** in der zweiten Landessprache ** für alle Schüler während der obligatorischen Schulzeit » . ;;Landessprache;;not_of_interest;no;;;;;;;;;;;;;;
28;nzz_1998_05_14_a244_seg4_s34;Zudem ist kein Abbau an Unterrichtszeit ** in der zweiten Landessprache ** geplant . ;;Landessprache;;not_of_interest;no;;;;;;;;;;;;;;
29;nzz_1998_05_14_a245_seg8_s23;Sie forderte , dass der Unterricht ** in einer ersten Fremdsprache ** ausschliesslich von Lehrpersonen erteilt wird , die diese tatsächlich beherrschen und auch lieben ( native speakers ) . ;;Fremdsprache;;not_of_interest;no;;;;;;;;;;;;;;
30;nzz_1999_03_31_a224_seg3_s13;Um Atome nicht nur zu reflektieren , sondern auch zu bündeln , musste das Videoband noch ** in der richtigen Weise ** gekrümmt werden . ;krümmen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
31;nzz_1997_08_02_a87_seg2_s4;Erst am Ende der Vormittagssitzung gelang es , das System wieder zu aktivieren und den Handel danach ** in der gewohnten Weise ** wieder aufzunehmen . ;aufnehmen;Weise;;done;yes;yes;rein;frei;?;;;;;;;;;;
32;nzz_1997_07_26_a186_seg8_s6;Dadurch wirkt dieser Roman überaus dicht , oft aber auch unübersichtlich - etwa dann , wenn zum Zeichen der unauflösbaren Entfremdung des Erzählers dieser nicht mehr in der « Ich » -Form von sich selber spricht , sondern seine Hochzeit ** in der dritten Person ** Singular dargestellt wird . ;darstellen;Person;;done;yes;yes;methode;frei;;;;;;;;;;;
33;nzz_1997_07_28_a69_seg4_s7;Der Serail ist eine Schnittstelle der Kulturen , es gibt hier noch die hölzernen Haremserker , das türkische Bad , Kissen , Teppiche und Wasserpfeifen , aber auch Transistorradios , Videokameras und Zigaretten , und der Bassa selbst tritt zuerst ** in einem westlichen Anzug ** auf . ;auftreten;Anzug;;done;yes;yes;rein;frei;;;;;;;;;;;
34;nzz_1999_05_04_a3_seg8_s3;Abgeordnete der DSP klatschten ** in einer Geste ** des Protests in die Hände und forderten die junge Parlamentarierin zum Verlassen des Saals auf . ;klatschen;Geste;;done;yes;yes;rein;frei;;;;;;;;;;;
35;nzz_1999_04_15_a160_seg3_s2;"Umgekehrt liesse sich eine solcherart totalitäre Literatur ** in der Weise ** definieren , dass ihre Produzenten im Unterschied zu den echten Literaten die Grenze zwischen Fiktion und Wirklichkeit in einem bestimmten Moment aus den Augen verlieren oder von vornherein nicht respektieren : D &apos; Annunzio versuchte einst tatsächlich , in militärischer Verkleidung die Stadt Rijeka/ Fiume dem italienischen Ganzen einzuverleiben ; Mussolini schrieb Gedichte und machte sich dann daran , den Traum der Futuristen von der Herrschaft der Maschinenmenschen und Aeroplanes in die Realität umzusetzen ; und der kläglichste aller Glücksritter , die die Welt bisher mit ihren Visionen heimgesucht haben , beschrieb seinen « Kampf » mit diversen halluzinierten Monstern in einem Buch , bevor er aufbrach , um leibhaftig gegen sämtliche Windmühlen in allen vier Himmelsrichtungen anzurennen - genau das , was der Schöpfer des Don Quijote im wirklichen Leben nie getan hätte , selbst als er noch beide Arme besass . ";definieren;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
36;nzz_1998_01_31_a44_seg8_s3;Dies ermöglicht die Frage , unter welchen Bedingungen es gelingen könnte , « die Menschheit » politisch ** in einer Weise ** zu verfassen , dass ein durchlässiger globaler Raum entstünde , in dem dann die optimale Verwirklichung der Menschen- und Bürgerrechte und die Kontrollen von Gewaltmitteln anzustreben wäre . ;verfassen;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
37;nzz_1998_01_31_a44_seg17_s23;Die Ordnung der Welt ist ** in einer Weise ** aus den Fugen geraten , wie man sich das vor einem Jahrzehnt noch nicht vorstellen konnte . ;geraten;Weise;;done;yes;yes;rein;frei;X;;;;;;;;;;
38;nzz_1998_10_31_a185_seg5_s19;Die Anweisungen der beiden Lehrkräfte , die sich in den Unterricht der Klasse teilen , erfolgten ausnahmslos ** in der Fremdsprache ** . ;erfolgen;Fremdsprache;;done;yes;yes;rein;notwendig;;;;;;;;;;;
39;nzz_1999_08_14_a226_seg4_s43;« Man kann ihnen erzählen , was man will : dass sie keine Arbeit bekommen , dass sie unerwünscht sind , dass sie sofort ausgeschafft würden - es hilft nichts : sie wollen dahin , um jeden Preis , für sie ist die Schweiz ... » Calpiaghi rudert hilfesuchend mit den Armen in der Luft und hebt die Schultern ** in der typischen italienischen Geste ** , die heisst : « Was kann man schon machen ? » ;heben;Geste;;done;yes;yes;rein;frei;;;;;;;;;;;
40;nzz_1998_05_30_a244_seg9_s10;Die Proklamation des Rechts , ** in der ersten Person ** zu sprechen , brachte der « Neuen Linken » zwar einerseits mehr Zulauf , bedeutete aber andererseits eine enorme Erweiterung des Begriffs des Politischen . ;sprechen;Person;;done;yes;yes;methode;frei;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
